label_slug	label_title	label_author	誤ISBN	他在数	真題	真著	真作slug(既存)	空化	計画
4teen	4TEEN	海埜ユウコ;石田衣良	33	33	14歳（11）	楳図カズオ	14	空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
happy	ハッピー!	波間信子	23	0	Happy！（4）	浦沢直樹			CREATE_NEW(真作をDBに新規作成して保全)
gogo-monster	GOGOモンスター	松本大洋	18	18	MONSTER（1）	浦沢直樹	monster	空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
5-2000	5	芳原ノゾミ	15	15	ファイブ（3）	フルカワシオリ	five	空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
peanuts-essence-1996	ピーナッツ・エッセンス	チャールズmシュルツ	15	0	何かあったら	チャールズモンローシュルツ;		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
arc-the-lad-ii	Arc The Lad Ⅱ	藤凪カオル	10	10	アークザラッド2（1）	西川秀明		空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
pocket-monster-pipipi-adventure	ポケットモンスターpipipi☆アドベン	ツキリノユミ	10	0	ポケットモンスターpipipi・アド	月梨野ユミ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
gurazeni-pa-riiguhen	グラゼニ～パ・リーグ編～	コージィ城倉	9	9	グラゼニ～東京ドーム編～	アダチケイジ;森高夕次	gurazeni-tokyo-doomuhen		DELETE(全て他作に在り=消すだけ)
hop-suteppushou-selection	ホップ☆ステップ賞SELECTION	光原伸	9	0	ホップ★ステップ賞selection	ジャンプ編集部			CREATE_NEW(真作をDBに新規作成して保全)
saint-bladers	聖闘士BLADERS	印照;宮崎マサル	8	8	SAINT　第5巻	赤石路代		空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
ring-inagaki-1999	リング	稲垣ミサオ;鈴木光司;高橋洋	7	7	RING　第1巻 銀竜の神殿	市野治美		空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
change-kitamura-2005	ちぇんじ!	篠塚ヒロム	6	6	Change！（2）	タイラハジメ	change-hashiba-2000	空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
shounen-esuefu-tanpen	少年SF短篇	藤子不二雄	6	0	宇宙人	藤子f不二雄		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
garfield-1990	Garfield	jimdavis;natsukoto	5	0	ガーフィールド（vol．2）	ジムデーヴィス;戸田奈津子		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
pingu-comic	Pingu Comic	ミッシェルニー	5	0	ピングー・コミック（vol．4）	ミシェルニー			CREATE_NEW(真作をDBに新規作成して保全)
rewrite-side-r	Rewrite: SIDE-R	川上修一	5	0	Rewrite:SIDE-B	key;東条サカナ			CREATE_NEW(真作をDBに新規作成して保全)
blazblue	BLAZBLUE	アークシステムワークス;吉岡榊	4	4	ブレイブルー リミックスハート	スメラギ;森利道;森利道(ア	bureiburuu	空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
gurazeni-tokyo-doomuhen	グラゼニ～東京ドーム編～	アダチケイジ;コージィ城倉	4	4	グラゼニ～パ・リーグ編～	森高夕次;足立金太郎			DELETE(全て他作に在り=消すだけ)
muumin-no-bouken	ムーミンのぼうけん	janssontove	4	0	ムーミンとたのしいなかまたち	トーベヤンソン;ミンナパルク		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
nagi	椰	流水凜子	4	0	梛（ナギ）（2）	流水リンコ			CREATE_NEW(真作をDBに新規作成して保全)
tales-of-destiny-inomata-2000	Tales of Destiny	杉基イクラ	4	4	テイルズオブデスティニー（5）	啄木鳥シンキ	tales-of-destiny		DELETE(全て他作に在り=消すだけ)
tales-of-destiny2	Tales of Destiny2	makoto2号	4	4	テイルズオブデスティニー（5）	啄木鳥シンキ	tales-of-destiny		DELETE(全て他作に在り=消すだけ)
two-hearts-1995	Two Hearts	宮川匡代	4	0	2　hearts（1）	松本嵩春		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
all-star-project	オールスター・プロジェクト	獸木野生	3	0	オールスター★プロジェクト（3）	伸タマキ			CREATE_NEW(真作をDBに新規作成して保全)
dragon-knight4	Dragon Knight4	冨樫	3	0	ドラゴンナイト4（chapter　2	富樫		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
iwanami-bunko-1927-1996-kaisetsu-soumokuroku	岩波文庫1927-1996解説総目録	(unknown)	3	0	岩波文庫解説総目録（中）	岩波書店		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
kaze-no-darutaniyan	風のダルタニヤン	ウサトサヤ	3	0	風のダルタニャン（3）	田中雅子(漫画家)			CREATE_NEW(真作をDBに新規作成して保全)
last-man	ラストマン	vivésbastien	3	3	LASTMAN	下山隆;二宮裕次	lastman		DELETE(全て他作に在り=消すだけ)
let-gourmet	Let'sぐるめ	南雲ジュリ	3	0	Let’sぐるめ（2）	河名尚子		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
manga-sangokushi	マンガ三国志	トミ新蔵	3	0	マンガ三國志（上（覇権をめぐる野望篇	守屋洋;臣新蔵			CREATE_NEW(真作をDBに新規作成して保全)
pantera	パン★テラ	ゴツボ×リュウジ	3	0	パン・テラ（003）	ゴツボリュウジ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
pocket-monster-chamo-chamo-pretty	ポケットモンスターチャモチャモ☆ぷりてぃ	ツキリノユミ	3	0	チャモチャモ・ぷりてぃ（1）	月梨野ユミ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
power-bomb-theater	パワーボムtheater	青山広美	3	0	パワーボムシアター（4）	青山パセリ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
ringo-takamochi	リンゴ	タカモチゲン	3	3	Ringo（1）	恋緒ミナト		空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
shounen-ninja-basara-kun	少年忍者バサラくん	ada;ヨシミイク	3	0	少年忍者バサラ君戦国群笑伝（1）	義見依久		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
anima-1987	Anima	新岡浩美	2	0	アニマ（1）	寿限無		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
aya-2004	絢	ヤマネアヤノ	2	2	AYA	克亜樹	aya-1999	空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
eyes-kingin-youdou	Eyes金銀妖瞳	高橋ユキ	2	0	Eyes（アイズ）2	高橋由紀		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
face-2019	フェイス	サカワキヒロ太;村生ミオ	2	2	Face（1）	逢坂ミヤ	face-osaka-1998	空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
fight-1996	ファイト!	国樹由香	2	2	Fight！（第2巻）	説話社;阿部ユタカ	fight-1990	空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
fukkokuban-shounen-magazine-dai-zenshuu	復刻版少年マガジン大全集	ジョージ秋山	2	1	少年マガジン大全集（1）復刻版	講談社		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
fukkokuban-shounen-magazine-daizenshuu	復刻版少年マガジン大全集	赤塚不二夫	2	1	少年マガジン大全集（2）復刻版	講談社		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
garou-densetsu-special-bakusho-4-koma-game-gag-comics	餓狼伝説SPECIAL 爆笑4コマゲーム	ヤマシタタカヒロ	2	0	餓狼伝説スペシャル（1巻）	山下高弘		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
gift-2009	ぎふと	山田j太	2	2	Gift（2）	秋本尚美	gift-hirose-2003	空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
home-sugihara-2010	HOME	杉原マチコ	2	2	ホーム（1）	上田倫子	home-ueda-2000	空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
hotel	ホテル	石ノ森章太郎	2	0	HOTEL（第37巻）	石森章太郎プロ			CREATE_NEW(真作をDBに新規作成して保全)
hpurasup	ひめぱら H+P	林フミノ;風見周	2	0	Blood＋A（1）	スエカネクミコ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
majo-wa-hot-nao-toshigoro	魔女はホットなお年頃	竹宮惠子	2	0	竹宮恵子作品集（4）	竹宮恵子		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
niihao-jiangshi-kun	〔ニイ〕好キョンシーくん	西東栄一	2	0	にい好キョンシーくん（第1巻）	斎藤栄一(1952生)		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
purple	Purple	竹下ケンジロウ	2	0	パープルー紫の神話	真崎春望		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
shounen-ninja-basara-kun-fuyouhime-taikutsuki	「少年忍者バサラくん」芙蓉姫退屈記	ada;ヨシミイク	2	0	少年忍者バサラ君芙蓉姫退屈記（1）	義見依久		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
stallion	STALLION	captainscarlet	2	0	スタリオン（2）	キャプテンスカーレット		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
star-wars	STAR WARS	camkennedy;davedor	2	0	ダーク・エンパイア（2）	キャムケネディ;トムヴィーチ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
super-suto-4	スーパーストⅡ　4コマ決定版	(unknown)	2	0	ス-パ-スト2（1）	コミックゲ-メスト編集部		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
superman-for-tomorrow	Superman for tomorro	石川裕人	2	0	スーパーマン：フォー・トゥモロー　＃	brianazzarello		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
you-2003	陽	上条明峰	2	2	Yoh（2）	菊池トシヲ	yoh	空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
za-doraemons-special	ザ☆ドラえもんズスペシャル	三谷幸広;宮崎マサル	2	0	ザ・ドラえもんズスペシャル（12）	藤子f不二雄			CREATE_NEW(真作をDBに新規作成して保全)
27sai	27歳	ワタナベ志穂	1	1	Sigh	遊人		空	DELETE(全て他作に在り=消すだけ) +RE_ISBN(ラベル本物要)
7-ji-o-wataru-7nin	虹を渡る7人	サクラモモコ;吉住渉;柊アオイ;矢沢	1	0	りぼん新人まんが傑作集（3）	一条ユカリ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
7mai-no-pootoreeto	7枚のポートレート	ホーム社	1	0	りぼん新人まんが傑作集（8）	一条ユカリ		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
8-miri-no-akuma-vs-tokumeihan	8ミリの悪魔vs特命班	笠原倫	1	0	プロジェクトX挑戦者たち（〔17〕）	日本放送協会		空	CREATE_NEW(真作をDBに新規作成して保全) +RE_ISBN(ラベル本物要)
