db_slug	db_title	db_author	誤ISBN数	真の作品	真の著者
4teen	4TEEN	海埜ユウコ;石田衣良	33	14歳（13）	楳図カズオ
happy	ハッピー!	波間信子	23	Happy！（23）	浦沢直樹
gogo-monster	GOGOモンスター	松本大洋	18	MONSTER（18）	浦沢直樹
5-2000	5	芳原ノゾミ	15	ファイブ	フルカワシオリ
peanuts-essence-1996	ピーナッツ・エッセンス	チャールズmシュルツ	15	いつまでも	チャールズモンローシュルツ;谷川俊太
arc-the-lad-ii	Arc The Lad Ⅱ	藤凪カオル	10	ア-クザラッド2（10）	西川秀明
pocket-monster-pipipi-adventure	ポケットモンスターpipipi☆アドベン	ツキリノユミ	10	ポケットモンスターpipipi・アドベン	月梨野ユミ
gurazeni-pa-riiguhen	グラゼニ～パ・リーグ編～	コージィ城倉	9	グラゼニ～東京ドーム編～	アダチケイジ;森高夕次
hop-suteppushou-selection	ホップ☆ステップ賞SELECTION	光原伸	9	ホップステップ賞受賞作SELECTION	ジャンプ編集部
saint-bladers	聖闘士BLADERS	印照;宮崎マサル	8	SAINT（3）	赤石路代
ring-inagaki-1999	リング	稲垣ミサオ;鈴木光司;高橋洋	7	RING　第7巻 海羊の耳飾	市野治美
change-kitamura-2005	ちぇんじ!	篠塚ヒロム	6	Change!	]冨山玖呂;冨山玖呂;晋平太;曽田正
shounen-esuefu-tanpen	少年SF短篇	藤子不二雄	6	アン子大いに怒る	藤子f不二雄
garfield-1990	Garfield	jimdavis;natsukoto	5	ガーフィールド（vol．5）	ジムデーヴィス;戸田奈津子
pingu-comic	Pingu Comic	ミッシェルニー	5	ピングー・コミック（vol．6）	ミシェルニー
rewrite-side-r	Rewrite: SIDE-R	川上修一	5	Rewrite:SIDE-B	key;東条サカナ
blazblue	BLAZBLUE	アークシステムワークス;吉岡榊	4	ブレイブルー リミックスハート	スメラギ;森利道;森利道(アークシス
gurazeni-tokyo-doomuhen	グラゼニ～東京ドーム編～	アダチケイジ;コージィ城倉	4	グラゼニ～パ・リーグ編～	森高夕次;足立金太郎
muumin-no-bouken	ムーミンのぼうけん	janssontove	4	ムーミンとたのしいなかまたち	トーベヤンソン;ミンナパルクマン
nagi	椰	流水凜子	4	梛（ナギ）（3）	流水リンコ
tales-of-destiny-inomata-2000	Tales of Destiny	杉基イクラ	4	テイルズオブデスティニー	啄木鳥シンキ;嬉野秋彦
tales-of-destiny2	Tales of Destiny2	makoto2号	4	テイルズオブデスティニー	啄木鳥シンキ;嬉野秋彦
two-hearts-1995	Two Hearts	宮川匡代	4	2　hearts（4）	松本嵩春
all-star-project	オールスター・プロジェクト	獸木野生	3	オールスター★プロジェクト（3）	伸タマキ
dragon-knight4	Dragon Knight4	冨樫	3	ドラゴンナイト4（3）	富樫
iwanami-bunko-1927-1996-kaisetsu-soumokuroku	岩波文庫1927-1996解説総目録	(unknown)	3	岩波文庫解説総目録（下）	岩波書店
kaze-no-darutaniyan	風のダルタニヤン	ウサトサヤ	3	風のダルタニャン（4）	田中雅子(漫画家)
last-man	ラストマン	vivésbastien	3	LASTMAN	下山隆;二宮裕次
let-gourmet	Let'sぐるめ	南雲ジュリ	3	Let’sぐるめ（3）	河名尚子
manga-sangokushi	マンガ三国志	トミ新蔵	3	マンガ三國志（下（最後の死闘篇））	守屋洋;臣新蔵
pantera	パン★テラ	ゴツボ×リュウジ	3	パン・テラ（003）	ゴツボリュウジ
pocket-monster-chamo-chamo-pretty	ポケットモンスターチャモチャモ☆ぷりてぃ	ツキリノユミ	3	チャモチャモ・ぷりてぃ（3）	月梨野ユミ
power-bomb-theater	パワーボムtheater	青山広美	3	パワーボムシアター（5）	青山パセリ
ringo-takamochi	リンゴ	タカモチゲン	3	Ringo（3）	恋緒ミナト
shounen-ninja-basara-kun	少年忍者バサラくん	ada;ヨシミイク	3	少年忍者バサラ君戦国群笑伝（3）	義見依久
anima-1987	Anima	新岡浩美	2	アニマ（2）	寿限無
aya-2004	絢	ヤマネアヤノ	2	AYA	克亜樹
eyes-kingin-youdou	Eyes金銀妖瞳	高橋ユキ	2	Eyes（アイズ）2	高橋由紀
face-2019	フェイス	サカワキヒロ太;村生ミオ	2	Face（2）	逢坂ミヤ
fight-1996	ファイト!	国樹由香	2	Fight！（第2巻）	説話社;阿部ユタカ
fukkokuban-shounen-magazine-dai-zenshuu	復刻版少年マガジン大全集	ジョージ秋山	2	少年マガジン大全集（3）復刻版	講談社
fukkokuban-shounen-magazine-daizenshuu	復刻版少年マガジン大全集	赤塚不二夫	2	少年マガジン大全集（2）復刻版	講談社
garou-densetsu-special-bakusho-4-koma-game-gag-comics	餓狼伝説SPECIAL 爆笑4コマゲーム	ヤマシタタカヒロ	2	餓狼伝説スペシャル（2巻）	山下高弘
gift-2009	ぎふと	山田j太	2	Gift（2）	秋本尚美
home-sugihara-2010	HOME	杉原マチコ	2	ホーム（2）	上田倫子
hotel	ホテル	石ノ森章太郎	2	HOTEL（第37巻）	石森章太郎プロ
hpurasup	ひめぱら H+P	林フミノ;風見周	2	BLOOD　〓＋〓　A　（2）	aniplex;production
majo-wa-hot-nao-toshigoro	魔女はホットなお年頃	竹宮惠子	2	竹宮恵子作品集（4）	竹宮恵子
niihao-jiangshi-kun	〔ニイ〕好キョンシーくん	西東栄一	2	にい好キョンシーくん（第2巻）	斎藤栄一(1952生);雪室俊一
purple	Purple	竹下ケンジロウ	2	パープル（2）	竹下堅次朗
shounen-ninja-basara-kun-fuyouhime-taikutsuki	「少年忍者バサラくん」芙蓉姫退屈記	ada;ヨシミイク	2	少年忍者バサラ君芙蓉姫退屈記（2）	義見依久
stallion	STALLION	captainscarlet	2	スタリオン（2）	キャプテンスカーレット
star-wars	STAR WARS	camkennedy;davedor	2	ダーク・エンパイア（2）	キャムケネディ;トムヴィーチ
super-suto-4	スーパーストⅡ　4コマ決定版	(unknown)	2	スーパースト2（2）	コミックゲーメスト編集部
superman-for-tomorrow	Superman for tomorro	石川裕人	2	スーパーマン：フォー・トゥモロー　＃2	brianazzarello
you-2003	陽	上条明峰	2	Yoh（2）	菊池トシヲ
za-doraemons-special	ザ☆ドラえもんズスペシャル	三谷幸広;宮崎マサル	2	ザ・ドラえもんズスペシャル（12）	藤子f不二雄
27sai	27歳	ワタナベ志穂	1	Sigh	遊人
7-ji-o-wataru-7nin	虹を渡る7人	サクラモモコ;吉住渉;柊アオイ;矢沢	1	りぼん新人まんが傑作集（3）	一条ユカリ
7mai-no-pootoreeto	7枚のポートレート	ホーム社	1	りぼん新人まんが傑作集（8）	一条ユカリ
8-miri-no-akuma-vs-tokumeihan	8ミリの悪魔vs特命班	笠原倫	1	プロジェクトX挑戦者たち（〔17〕）	日本放送協会
82okushoku-no-kiseki	82億食の奇跡	加藤唯史	1	プロジェクトX挑戦者たち（〔5〕）	日本放送協会
ahondara	あほんだら	ササヤナナエコ	1	ささやななえ作品集（1）	ササヤナナエ
alexandros	アレクサンドロス	安彦良和	1	文明の道（1）	日本放送協会
all-stars	All stars	眠田直	1	ミンディランド　オールスターズ	ミンダナオ
ao-no-otoko	蒼の男	ベルネ	1	譚詩（バラ-ド）	belne
arisa	ARISA	安藤ナツミ	1	亜里砂	辻村弘子
astro-twin	アストロツイン	竹宮惠子	1	竹宮恵子作品集（1）	竹宮恵子
banana-sisters	バナナ❤シスターズ!!	ミヤスノンキ	1	バナナシスターズ	ヒロモリシノブ
battle-staff	BATTLE STAFF	唯登詩樹	1	バトルスタッフ	加藤雅基
biijiiemu-ga-kikoenai	B.G.M.がきこえない	九月姫	1	BGMがきこえない	イクザワノブコ
bright-no-yuuutsu	ブライトの憂鬱	竹宮惠子	1	ブライトの憂欝（2）	竹宮恵子
c-live	C-live	内田美奈子	1	C-ライブ（4）	田中正仁
case-b	Case B	雨宮淳	1	ケ-スB	雨宮ジュン
chronicle-2012	CHRONICLE	森山大輔	1	Rくろにくる	アヅマユキ;数多ヒロ
cinderella-express	シンデレラ・エクスプレス	弓月光	1	シンデレラ特急	松本洋子(漫画家)
club-crime	Club crime	厘ノミキ	1	クラブクライム（vol．1）	凛野ミキ
coyote	コヨーテ	座裏屋蘭丸	1	coyote	淡田青
crescent	CRESCENT	葉月シノブ	1	クレッセント　5	筒井百々子
crown	CROWN	和田慎二;氷栗優	1	クラウン（1）	中西達郎
crystalize	Crystalize	ミナミ遥	1	クリスタライズ	南カズカ
daruma-tanaka-2004	達摩	所十三;田中誠一	1	Daruma	山中健司
david	David	syufo	1	デイビッド　1	板橋シュウホウ
debut	デビュー	長浜幸子	1	DEBUT	日渡早紀
desire-1989	デザイアー	森園ミルク	1	Desire（2）	金沢有倖
detsudohiito-shiyun	デッドヒート瞬	スガヤミツル;モロガ卓	1	なんと孫六（9）	サダヤス圭
dog-tory	ドッグ・トーリィ	桑田二郎	1	ビッグ・ト-リィ＋アンドロイド・ピニ	桑田次郎
doubles-1992	Doubles	小谷憲一	1	ダブルス	佐野未央子
doubt-tonogai-2008	Doubt	外海良基	1	ダウト	桑田真澄;立沢克美
enjou-otokotachi-wa-tobikonda	炎上男たちは飛び込んだ	篠原トオル	1	プロジェクトX挑戦者たち（〔8〕）	日本放送協会
escape-kano-2014	ESCAPE	鹿乃シウコ	1	エスケープ	矢沢アイ
exhiibition	EXHIIBITION	スエヒロガリ	1	エキシビション	末広雅里
feauei-no-samurai	フェアウェイの侍	池沢早人師	1	フェアウエイの侍（1）	池沢サトシ
five	ファイブ	フルカワシオリ	1	5	芳原ノゾミ
flowers-2010	Flowers	今井康絵	1	フラワーズ	田中美菜子
fuji-san-reedaa-kyodai-taifuu-kara-nippon-o-mamore	富士山レーダー巨大台風から日本を守れ	高岩ヨシヒロ	1	プロジェクトX挑戦者たち（〔20〕）	日本放送協会
furansu-mado-dayori	フランス窓便り	田渕由美子	1	田淵由美子作品集（1）	田淵由美子
gakushuu-comic-sengoku-no-bushou	学習コミック 戦国の武将	広岡球志	1	豊臣秀吉と天下統一のたたかい	三原一晃
