slug	title	authors	巻数	先頭ISBN	楽天booksGenreId	scope判定
2-hearts	2 hearts	松本嵩春	4	9784198300166	001001012	漫画(001001)
3rdstreet	サードストリート	本そういち	1	9784575932065	001001003026	漫画(001001)
anima-1452	Anima	寿限無	2	9784403611452	001001012	漫画(001001)
arukiripurofuairu	ヴァルキリープロファイル	土方悠	1	9784757504226	001001001002	漫画(001001)
bananashisutazu	バナナ❤シスターズ!!	ひろもりしのぶ	1	9784938256821	001001012	漫画(001001)
basara-2592	「少年忍者バサラくん」芙蓉姫退屈記	義見依久with Madara Project	2	9784334802592	001001012	漫画(001001)
basara-3001	戦国群笑伝少年忍者バサラくん	義見依久with Madara Project	3	9784334803001	001001012	漫画(001001)
bgmgakikoenai	BGMがきこえない	いくざわのぶこ	1	9784253081597	001001012	漫画(001001)
biggu-toriiandoroido-pini	ビッグ・ト-リィ+アンドロイド・ピニ	桑田次郎	1	9784775910665	001001012	漫画(001001)
buraitono	ブライトの憂鬱	竹宮惠子	1	9784592142003	001001003010	漫画(001001)
buru	死刑執行人ブル	司敬	1	9784061025639	001001003004	漫画(001001)
chamochamo-puritei	チャモチャモ・ぷりてぃ	月梨野ゆみ	3	9784091318428	001001004006/001001002013/001001002008	漫画(001001)
coyote-3593	coyote	淡田青	1	9784864683593	001001012	漫画(001001)
craibu	C-live	田中正仁 他	1	9784895840057	001001012	漫画(001001)
daruma-0303	Daruma	山中健司	1	9784088710303	001001001008	漫画(001001)
dauto	ダウト	桑田真澄 監修	1	9784087927054	001001012	漫画(001001)
debut-8914	デビュ	倉持知子	1	9784592138914	001001003010	漫画(001001)
doragonnaito	ドラゴンナイト	富樫 作画	3	9784073058281	001001012	漫画(001001)
ekishibishon	エキシビション	末広雅里	1	9784893674166	001001012	漫画(001001)
esukepu	エスケープ	矢沢あい	1	9784088534589	001001002007	漫画(001001)
eyes	Eyes	高橋由紀	2	9784592123644	001001002009	漫画(001001)
fueaueino	フェアウエイの侍	池沢さとし	1	9784529030052	001001012	漫画(001001)
furawazu	フラワーズ	田中美菜子	1	9784088471556	001001002006	漫画(001001)
garu	天馬の空	司敬	1	9784592130222	001001003010	漫画(001001)
happy-4010	Happy!	浦沢直樹	23	9784091834010	001001003009	漫画(001001)
hoppu	ホップ	さんげりあ ほか	9	9784088711119	001001001008	漫画(001001)
horaizon	ホライゾン	伊藤悶	1	9784091393319	001020014/001001012	非コミック?:001020014/001001012
iyorimosetsunakute	思い出よりもせつなくて	石井まゆみ	1	9784061783485	001020014/001001012	非コミック?:001020014/001001012
justice-peace-spirits	J.P.S	山本夜羽	1	9784821197095	001001003011	漫画(001001)
karutetto	かるってと	山崎花子	1	9784088750620	001001003005	漫画(001001)
kesub	Case B	雨宮じゅん	1	9784765921350	001001012	漫画(001001)
kingu-obu-hasura	キング・オブ・ザ・ハスラ	谷津太朗	1	9784063110272	001001012	漫画(001001)
