slug	title	std_vols	covered	missing	covered_pct	gap_start_vol	type	missing_volumes	missing_isbns
rekka-no-honoo	烈火の炎	33	32	1	97	33	北斗型	33	9784099410742
shouta-no-sushi	将太の寿司	28	27	1	96	29	北斗型	29	
hokuto-no-ken	北斗の拳	30	27	3	90	28	北斗型	28,29,30	9784107700964,9784107701008,9784107701114
shin-kootaroo-makaritooru	新・コータローまかりとおる!	27	26	1	96	27	北斗型	27	9784063129458
sanshirou-no-jijou	三四郎²	20	19	1	95	20	北斗型	20	9784253052733
hana-no-deka	花の慶次	19	18	1	95	20	北斗型	20	9784107700902
otoyan	音やん	17	16	1	94	19	北斗型	19	
uanpaia-game	吸血遊戯	15	14	1	93	15	北斗型	15	9784403617782
cobra-1995	Cobra	13	12	1	92	15	北斗型	15	9784040675268
mesu-yo-kagayake	メスよ輝け!!	15	12	3	80	13	北斗型	13,14,15	9784834283938,9784834283945,9784834283952
tokyo-juliet	東京ジュリエット	13	12	1	92	13	北斗型	13	9784091377234
shouwa-genroku-rakugo-shinjuu	昭和元禄落語心中	19	10	9	53	11	北斗型	11,12,13,14,16,17,18,19,20	
the-last-man	ラストマン	12	10	2	83	11	北斗型	11,12	9784063369311,9784063369403
rasen-no-kakera	螺旋のかけら	10	9	1	90	10	北斗型	10	9784403614873
b-t-x-1999	B'T X-ビート・エックス-	11	8	3	73	13	北斗型	13,14,15	9784047132696,9784047132849,9784047133020
josanin-e-oideyo	助産院へおいでよ	10	8	2	80	9	北斗型	9,10	9784063190083,9784063190311
juuou-bio	獣王バイオ	9	8	1	89	9	北斗型	9	9784253041966
perman	パーマン	12	7	5	58	8	北斗型	8,9,10,11,12	9784124101829,9784124101942,9784124102024,9784124102062
perman-fujiko-1979	パーマン	11	7	4	64	8	北斗型	8,9,10,12	9784124101829,9784124101942,9784124102062
shin-gal-boy	新ギャルボーイ!	10	7	3	70	8	北斗型	8,9,10	9784063190045,9784063190250,9784063190281
tenshi-no-uta	天使の唄	9	7	2	78	8	北斗型	8,9	9784063411355,9784063411485
esprit	エスプリト	8	7	1	88	8	北斗型	8	9784861278587
someday	SOMEDAY	8	7	1	88	8	北斗型	8	9784091521880
tachibana-kiku-no-amaeta-kankei	立花菊の甘えた関係	8	7	1	88	8	北斗型	8	9784063259292
seiden-rg-veeda	聖伝 RG VEDA	8	6	2	75	8	北斗型	8,10	9784403613500,9784403614163
love-god	Love god	9	6	3	67	7	北斗型	7,8,9	9784063369328,9784063369540,9784063369656
amaenaideyotsu	あまえないでよっ!!	7	6	1	86	7	北斗型	7	9784847035913
crossroad	crossroad	7	6	1	86	7	北斗型	7	9784253192972
goumaden-shuten-douji	降魔伝 手天童子	7	6	1	86	7	北斗型	7	9784253230698
kagemusha-tokugawa-ieyasu	影武者徳川家康	7	6	1	86	7	北斗型	7	9784107701299
shinsei-motemote-oukoku	神聖モテモテ王国	7	6	1	86	7	北斗型	7	9784090060687
date-masamune	伊達政宗	8	5	3	62	6	北斗型	6,7,8	9784061043459,9784061043466,9784061043473
ryouma-e	龍馬へ	7	5	2	71	6	北斗型	6,7	9784063129519,9784063129854
shiro-no-jouken	白の条件	7	5	2	71	6	北斗型	6,7	9784063274134,9784063274219
sore-wa-enokida	それはエノキダ!	7	5	2	71	6	北斗型	6,7	9784063374681,9784063374698
behind-master	BEHIND MASTER	6	5	1	83	6	北斗型	6	9784757515581
gouhou-lilac	豪放ライラック	6	5	1	83	6	北斗型	6	9784847036002
koizumi-san-no-katei-no-jijou	小泉さんちの「家庭の事情」	6	5	1	83	6	北斗型	6	9784088470054
onna-daitarou	女大太郎	6	5	1	83	6	北斗型	6	9784063129861
sangokushi-yamasaki-2005	さんごくし	6	5	1	83	6	北斗型	6	9784253208369
ryuutei-no-mon	竜蹄の門	5	4	1	80	6	北斗型	6	9784845858262
shin-obake-no-qtarou	新オバケのQ太郎	7	4	3	57	5	北斗型	5,6,7	9784124102468,9784124102505,9784124102543
