slug	title	db_nums	class	collection_title	foreign_titles
ai-no-shin-tairiku	愛の新大陸	[6]	CLEAN_SINGLE		
akushumi-na-bigaku	悪趣味な美学	[7]	CLEAN_SINGLE		
aporon-ha-shit-suru	アポローンは嫉妬する	[2]	CLEAN_SINGLE		
awayukishou	淡雪抄	[3]	CLEAN_SINGLE		華夜叉（巻之三）
best-obu-tezuka-osamu	ベスト・オブ・手塚治虫	[2]	CLEAN_SINGLE		
danna-sama-no-shitsukekata-next	だんな様のしつけ方 next	[2]	CLEAN_SINGLE		
doridorikyasusan	ドリドリキャス子さん	[2]	NO_S2		
eien-o-miru-musume	永遠を見る娘	[5]	CLEAN_SINGLE		
emerald-ha-kidoriya	エメラルドは気取り屋	[10]	CLEAN_SINGLE		
gokujou-rakuen-otoko	極上楽園男子	[2]	CLEAN_SINGLE		
goudan-araki-mataemon	豪談荒木又右衛門	[1, 6]	CLEAN_SINGLE		
goudan-gotou-matabee	豪談後藤又兵衛	[4]	CLEAN_SINGLE		
goudan-hidari-jingorou	豪談左甚五郎	[9]	CLEAN_SINGLE		
goudan-iwami-juutarou	豪談岩見重太郎	[7]	CLEAN_SINGLE		
goudan-kirigakure-saizou	豪談霧隠才蔵	[1, 2]	CLEAN_SINGLE		
goudan-musashibou-benkei	豪談武蔵坊弁慶	[1, 10]	CLEAN_SINGLE		
goudan-raiden-tameemon	豪談雷電為右衛門	[8]	CLEAN_SINGLE		
goudan-sanada-gunki	豪談真田軍記	[1, 5]	CLEAN_SINGLE		
goudan-sarutobi-sasuke	豪談猿飛佐助	[1, 3]	CLEAN_SINGLE		
hakujou-ga-hakuhyou-o-fumu	薄情が薄氷を踏む	[12]	CLEAN_SINGLE		
hana-arashi	華あらし	[5]	CLEAN_SINGLE		華夜叉（巻之五）
hana-ikusa	華いくさ	[6]	CLEAN_SINGLE		華夜叉（巻之六）
hana-kariudo	花狩人	[13]	CLEAN_SINGLE		華夜叉（巻之十三）
hana-omoi	華想ひ	[8]	CLEAN_SINGLE		華夜叉（巻之八）
hanabi-ga-agattara	花火が上がったら	[2]	CLEAN_SINGLE		
himawari-ga-koi-o-shita-noha-dare	向日葵が恋をしたのは誰?	[4]	CLEAN_SINGLE		
himitsu-ha-barashitemo-ii	秘密はバラしてもいい	[9]	CLEAN_SINGLE		
hisauchi-michio-kenkyuu-2-ai-no-tabou-ni-tsuite-sukebe-wa-tsurai-yotsu	ひさうちみちお研究2 愛の多忙について スケベはつらいよっ!	[2]	CLEAN_SINGLE		
hitsukurikaetsuta-omochiyabako	ひっくりかえったおもちゃ箱	[1, 2]	COLLECTION	山本鈴美香作品集（2）中公愛蔵版	山本鈴美香作品集（2）中公愛蔵版
hohoemi-o-kaeshitara	微笑みを返したら	[3]	CLEAN_SINGLE		
honkon-tokusou-lady	香港特捜Lady	[2]	CLEAN_SINGLE		
hoozuki-yo	鬼灯夜	[7]	CLEAN_SINGLE		華夜叉（巻之七）
iki-doll	生き人形	[1, 2]	CLEAN_SINGLE		
inu-go	いぬ五	[5]	CLEAN_SINGLE		
itokoi-chidori	愛恋千鳥	[2]	CLEAN_SINGLE		
junai-rakuen-otoko	潤愛楽園男子	[3]	CLEAN_SINGLE		
juuou-mujin-no-kaze	縦横無尽の風	[11]	CLEAN_SINGLE		
kaerenai-futari	帰れないふたり	[4]	CLEAN_SINGLE		海街diary（4)
kago-no-naka-no-ohime-sama	籠の中のお姫様	[8]	CLEAN_SINGLE		
kifujin-ha-unazukanai	貴婦人は頷かない	[3]	CLEAN_SINGLE		
konoshitayami	木下闇	[14]	CLEAN_SINGLE		華夜叉（巻之十四）
kunpuuki	薫風記	[10]	CLEAN_SINGLE		華夜叉（巻之十）
kuro-no-koutaishi	黒の皇太子	[5]	CLEAN_SINGLE		
magatsuhi-boshi	禍津日星	[15]	CLEAN_SINGLE		華夜叉（巻之十五）
magatte-soorou	曲がってそーろう	[3]	CLEAN_SINGLE		
magic-knight-rayearth	魔法騎士レイアース	[1, 2, 3]	MULTI		
motto-otona-no-asobi	もっとオトナのアソビ	[2]	CLEAN_SINGLE		
ninpou-juuban-shoubu-shirato	忍法十番勝負	[2]	CLEAN_SINGLE		
ninpou-juuban-shoubu	忍法十番勝負	[1, 3]	CLEAN_SINGLE		
r-4443774	前線と銃後	[2]	NO_S2		
raigeki-shindo-juukutengo	雷撃深度一九・五	[5]	CLEAN_SINGLE		
reppuu-juukitai-nimaru-san	烈風!!獣機隊二○三	[3]	CLEAN_SINGLE		烈風！！獣機隊二〇三
setsuenshou	雪焔抄	[4]	CLEAN_SINGLE		華夜叉（巻之四）
