slug	title	edition	cnt	nums
17sai	17歳	通常版	1	[2]
4-zun-yon	シーズン4	通常版	1	[4]
40-made-ni-shitai-10-no-koto	40までにしたい10のこと	デラックス版	1	[2]
5-nenburi-ni-tsunagaru-moto-kare-ishi-kara-tsutawaru-atsui-netsu	5年ぶりに繋がる元カレ医師から伝わる熱い熱	通常版	1	[2]
ai-no-fujitsubo	愛のふじつぼ	通常版	1	[2]
ai-no-shin-tairiku	愛の新大陸	通常版	1	[6]
aitora	#アイトラ	デラックス版	1	[3]
aku-no-hana-2011	悪の華	通常版	1	[3]
akushumi-na-bigaku	悪趣味な美学	通常版	1	[7]
akuyaku-reijou-ni-tensei-shitara-risou-no-heya-ga-te-ni-hairimashita	悪役令嬢に転生したら理想の部屋が手に入りました!	通常版	1	[2]
amida-shizuku	阿弥陀しずく	通常版	1	[2]
angel	Angel	通常版	1	[7]
ano-hi-no-aozora	あの日の青空	通常版	1	[7]
aoi-fuyuko	アオイ冬子	通常版	1	[2]
aozora-kazoku	あおぞら家族	通常版	1	[2]
aporon-ha-shit-suru	アポローンは嫉妬する	通常版	1	[2]
arakure-neverland	荒くれネバーランド	デラックス版	1	[2]
arashi-to-ibuki	あらしといぶき	通常版	1	[2]
ashita-ai-kamoshirenai	あした愛かもしれない	通常版	1	[2]
atai-to-nechikoyan	あたいとネチコヤン	通常版	1	[2]
awayukishou	淡雪抄	通常版	1	[3]
ayashii-iyashi-no-yakumo-san	あやしい癒しの八雲さん	通常版	1	[2]
b-boy-luv	B-boy luv	通常版	1	[2]
b-boy-petit	B-boyぷち	通常版	1	[2]
banchou-kami-eshi-koitsu-desu	番長!神絵師コイツです!	通常版	1	[2]
baroque-2017	バロック	通常版	1	[3]
batsutsu	バツッ!!	通常版	1	[2]
be-free	Be free!	デラックス版	1	[2]
best-obu-tezuka-osamu	ベスト・オブ・手塚治虫	通常版	1	[2]
besuteia	ベスティア	standard	1	[4]
biba-usagi-kozou	ビバ☆うさぎ小僧	通常版	1	[5]
biiparu-kozou-no-autodoa-kyouhon	ビーパル小僧のアウトドア教本	通常版	1	[2]
black-jack-oavban	BLACK JACK OAV版	文庫版	1	[2]
black-sweep-sisters	ブラック・スイープ・シスターズ	通常版	1	[3]
bloody-monday-season-2-zetsubou-no-hako	Bloody Monday season 2 絶望ノ匣	通常版	1	[8]
blush-dc	/Blush-DC	愛蔵版	1	[10]
bocchi-jieikee-wa-obentou-o-tsukuru-koto-ni-shita	ぼっちJKはお弁当を作ることにした。	デラックス版	1	[2]
bolts-and-nuts-prologue	BOLTS AND NUTS!Prologue	通常版	1	[20]
bon-kudo	ボン	通常版	1	[2]
byakuyou-no-musume	白妖の娘	愛蔵版	1	[3]
card-game-usagi	カードゲームうさぎ	通常版	1	[2]
chi-chotto-dake-kaettekita-kita-dokutaa-slump	ちちょっとだけかえってきたDr.SLUMP	通常版	1	[2]
chotto-matou-yo-harutora-kun	ちょっと待とうよ、春虎くん	通常版	1	[2]
cielo	Cielo	通常版	1	[3]
comic-hero	Comic HERO	通常版	1	[6]
comic-indeep	COMIC INDEEP	通常版	1	[3]
contradict	コントラディクト	通常版	1	[2]
cool	COOL	文庫版	1	[4]
craibu	C-live	通常版	1	[4]
dai-chouhen-doraemon	大長編ドラエもん	通常版	1	[2]
daikazoku-gohan-monogatari	大家族ごはん物語	通常版	1	[2]
dainiji-chousen-sensou-yugio	第二次朝鮮戦争ユギオ	通常版	1	[2]
dakara-katte-ni-yuusha-toka-haou-ni-nintei-sunno-yameroyo	だから勝手に勇者とか覇王に認定すんのやめろよ!	通常版	1	[2]
dakarete-tamaruka	抱かれてたまるか!	通常版	1	[2]
dakedo-kurasedo-suki-ga-ienai	抱けど暮らせど「好き」が言えない	通常版	1	[2]
danna-sama-no-shitsukekata-next	だんな様のしつけ方 next	通常版	1	[2]
danshaku-kouchou-hai	男爵校長high!	通常版	1	[2]
daphne	ダフネー	通常版	1	[29]
daruma-tanaka-2004	達摩	通常版	1	[3]
david	David	通常版	1	[2]
deki-no-ii-kiss-warui-kiss	できのいいキス悪いキス	通常版	1	[2]
dfk	DFK	通常版	1	[2]
dokkiri-doctor	どっきりドクター	ワイド版	1	[2]
doridorikyasusan	ドリドリキャス子さん	通常版	1	[2]
dr-typhoon-1996	Dr.Typhoon	ワイド版	1	[2]
dragon-efekuto-sakamoto-ryouma-ibun	ドラゴンエフェクト 坂本龍馬異聞	通常版	1	[3]
eien-o-miru-musume	永遠を見る娘	通常版	1	[5]
elysion	エリュシオン	通常版	1	[5]
emerald-ha-kidoriya	エメラルドは気取り屋	通常版	1	[10]
f1-sokuhou-guranpuri-tengoku	F1速報グランプリ天国	通常版	1	[7]
feauei-no-samurai	フェアウェイの侍	通常版	1	[2]
feroumerou	フェロウメロウ	通常版	1	[2]
fight-2006	ファイト!	通常版	1	[3]
flcl	フリクリ	文庫版	1	[3]
fudanshi-no-ore-ga-youkya-osananajimi-ni-semarareteru-ken	腐男子の俺が陽キャ幼馴染に迫られてる件	通常版	1	[2]
fujiko-efu-fujio-ishoku-tanpenshuu	藤子・F・不二雄 異色短編集	文庫版	1	[2]
fushigi-no-mori-no-monogatari	不思議の森の物語	文庫版	1	[3]
fusoku-no-renjou	不測ノ恋情	通常版	1	[3]
futago-saien	双子菜園	デラックス版	1	[5]
futarijime-under-dog	ふたりじめアンダードッグ	デラックス版	1	[2]
gakuran-hachinengumi	ガクラン八年組	ワイド版	1	[3]
game-comic-collection	ゲームコミックコレクション	通常版	1	[2]
garou-densetsu-kumocho-1996	餓狼伝説	通常版	1	[3]
garu	天馬の空	通常版	1	[4]
ginga-tetsudou-no-yoru	銀河鉄道の夜	通常版	1	[2]
girl	ガール	通常版	1	[2]
gokudou-domu-sabu	極道dom/sub	通常版	1	[2]
gokujou-rakuen-otoko	極上楽園男子	通常版	1	[2]
gokuraku-houshinden	極楽封神伝	通常版	1	[3]
goudan-araki-mataemon	豪談荒木又右衛門	通常版	1	[6]
goudan-gotou-matabee	豪談後藤又兵衛	通常版	1	[4]
