slug	title	edition	cnt	nums
100-man-doru-kid	100万＄キッド	デラックス版	3	[5, 6, 7]
16-nen-kimi-o-omou-to-konnani-ookiku	16年、君を想うとこんなに大きく…♡	通常版	4	[2, 3, 4, 5]
3-byougo-yajuu	3秒後、野獣。	通常版	6	[2, 3, 4, 5, 6, 7]
3-daa-surii	サンダー3	デラックス版	2	[7, 8]
3-three	3 THREE	文庫版	4	[5, 6, 7, 8]
31-sai-jimi-megane-ol-san	31歳地味眼鏡OLさん	通常版	4	[2, 3, 4, 5]
36	36-サンジュウロク-	通常版	2	[2, 3]
aburabu	あぶらぶ	通常版	2	[2, 3]
adonisu-no-yuuutsu-na-hibi	アドニスの憂欝な日々	通常版	3	[3, 4, 5]
agapes-1999	Agapes	通常版	4	[6, 7, 8, 9]
ahoudori-no-tomarigi	あほう鳥の止り木	通常版	2	[2, 3]
ai-1995	愛	通常版	2	[2, 4]
air-gear-unlimited	エア・ギアUNLIMITED	通常版	13	[7, 8, 9, 10, 11, 12, 13, 14]
akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	通常版	5	[3, 4, 5, 6, 7]
akatsuki-no-majo-reishii-wa-jiyuu-ni-ikitai	暁の魔女レイシーは自由に生きたい	通常版	2	[2, 3]
akiraka-ni-nenrei-o-sashou-shite-iru-joshi-joshikousei-vtuber	あきらかに年齢を詐称している女子高生VTuber	通常版	2	[2, 3]
akumade-majo-no-yuuwaku-desu-kara	あくまで魔女の誘惑ですから	通常版	3	[2, 3, 4]
akuyaku-reijou-route-kara-kaihou-saremashita	悪役令嬢ルートから解放されました!	通常版	3	[2, 3, 4]
alfheim-no-kishi	妖精国の騎士	文庫版	22	[6, 7, 8, 9, 10, 11, 12, 13]
ame-no-hi-wa-koi-o-suru	雨の日は恋をする	通常版	6	[2, 3, 4, 5, 6, 7]
anata-ni-miren-wa-arimasen	貴方に未練はありません!	通常版	3	[2, 3, 4]
anata-ni-mo-angel	アナタにもAngel	通常版	2	[2, 4]
anata-no-oshiro-no-kobito-san	あなたのお城の小人さん	通常版	3	[2, 3, 4]
angel-beat	ANGEL❤BEAT	デラックス版	13	[2, 3, 4, 5, 6, 7, 8, 9]
arekusandaa-eiyuu-senki	アレクサンダー英雄戦記	デラックス版	2	[2, 3]
ariel-comic	ARIEL COMIC	通常版	5	[2, 3, 4, 5, 8]
asakusa-young-youhinten	浅草ヤング妖品店	デラックス版	2	[2, 4]
asami-mitsuhiko-mystery-and-ryojou-suspense	浅見光彦ミステリー＆旅情サスペンス	通常版	13	[3, 4, 5, 6, 7, 8, 9, 10]
ashita-e-hashire	明日へ奔れ	通常版	2	[3, 4]
atena-no-sotsugyoushiki	アテナの卒業式	通常版	3	[2, 3, 4]
ateuma-chara-no-kuseshite-supadari-ouji-ni-chouai-sarete-imasu	当て馬キャラのくせして、スパダリ王子に寵愛されています。	通常版	3	[2, 3, 4]
atori-show	アトリ抄	通常版	2	[4, 6]
baito-kun	バイトくん	通常版	2	[2, 3]
bake-bake-bake	ベイク・ベイク・ベイク	通常版	2	[2, 3]
barubaro	バルバロ!	通常版	2	[2, 3]
bastard	BASTARD!!	愛蔵版	8	[2, 3, 4, 5, 6, 7, 8, 9]
batchiri-scratch	ばっちりスクラッチ	通常版	2	[2, 3]
bats-terry	バツ＆テリー	ワイド版	2	[2, 4]
beyblade-soul-taku-ando-show	ベイブレード魂(ソウル)タク&ショウ	通常版	3	[2, 4, 5]
bikkuriman-omoshiro-land	ビックリマンおもしろランド	通常版	2	[4, 9]
bird-black-maaketto	バード	通常版	7	[3, 4, 5, 6, 7, 8, 9]
blife	BLife	通常版	3	[2, 3, 4]
bodo-kan	ボドカン!	通常版	2	[2, 3]
boku-to-senpai-no-tekken-kousai	僕と先輩の鉄拳交際	通常版	3	[2, 3, 4]
bon	Bon	通常版	2	[3, 5]
booska-plus	ブースカプラス	通常版	2	[2, 3]
