slug	title	edition	cnt	nums
1-tai-2-kousai-wa-rabukome-ni-hairimasuka	1: 2交際はラブコメに入りますか?	通常版	2	[1, 3]
1	1・2作戦	通常版	2	[1, 3]
12-no-kekkon-monogatari	12の結婚物語	通常版	5	[1, 2, 3, 5, 6]
2-tengojigen-no-ririsa	2.5次元の誘惑(リリサ)	通常版	23	[1, 2, 3, 4, 5, 6, 7, 8]
20-jisugi-no-houkokukai	20時過ぎの報告会	通常版	3	[1, 3, 5]
311-anohi-o-wasurenai	3.11あの日を忘れない	通常版	2	[1, 4]
4-gun-kun-kari	4軍くん〈仮〉	通常版	10	[1, 2, 3, 4, 5, 6, 7, 10]
aan-kremlin-iq200-no-soap-story	あぁん・クレムリン　IQ200のソープ・ストーリー	通常版	4	[1, 3, 5, 6]
abashiriikka	あばしり一家	文庫版	6	[1, 2, 3, 4, 5, 7]
after-midnight-skin	アフター・ミッドナイト・スキン	通常版	5	[1, 2, 3, 6, 7]
afurete-koborete-gaman-dekinai	溢れて零れて、我慢できない	通常版	2	[1, 3]
aimu-namu	アイムナム	通常版	2	[1, 3]
aio-ageyou	愛をあげよう	通常版	5	[1, 2, 7, 8, 9]
aisanai-to-iwaremashitemo	愛さないといわれましても	通常版	5	[1, 2, 3, 6, 7]
akahishi-no-eleven	赤菱のイレブン	通常版	3	[1, 4, 5]
akako	吾可子	通常版	2	[1, 3]
akashiro-tamago	赤白たまご	文庫版	6	[1, 2, 5, 6, 7, 8]
akimoto-osamu-no-naisu-na-choice-kochikame-live	秋本治のナイス!なチョイスこち亀live!!	通常版	13	[1, 2, 7, 8, 9, 10, 12, 13]
akuma-to-keiyaku	アクマと契約	デラックス版	2	[1, 3]
akuninzura-shita-biikyuu-boukensha	悪人面したB級冒険者	通常版	3	[1, 2, 4]
akuu-no-seijo	亜空の聖女	通常版	3	[1, 2, 4]
akuyaku-reijou-ni-naritakunai-node-ouji-sama-to-isshokenmei-ni-kanpeki-reijou-o-mezashimasu	悪役令嬢になりたくないので、王子様と一緒に完璧令嬢を目指しま	通常版	3	[1, 2, 4]
alfheim-no-kishi-ballad	妖精国(アルフヘイム)の騎士Ballad	通常版	9	[1, 2, 3, 4, 5, 6, 7, 9]
alice-no-ochakai	アリスのお茶会	通常版	5	[1, 2, 3, 4, 6]
amakute-atsukute-iki-mo-dekinai	甘くて熱くて息もできない	通常版	3	[1, 2, 4]
anata-o-korosu-tabi	あなたを殺す旅	通常版	2	[1, 3]
anmitsuhime	あんみつ姫	文庫版	2	[1, 3]
another-furonteia-online-seisankei-skill-o-kiwametara-cheat-na-enupiishii-o-yatoeru-youni	アナザー・フロンティア・オンライン～生産系スキルを極めたらチ	通常版	8	[1, 2, 3, 4, 5, 6, 7, 9]
ao-no-hako	アオのハコ	通常版	21	[1, 2, 3, 4, 5, 6, 7, 8]
ao-no-otoko	蒼の男	通常版	4	[1, 2, 4, 5]
arafoo-kenja-no-isekai-seikatsu-nikki	アラフォー賢者の異世界生活日記	通常版	16	[1, 2, 3, 4, 5, 6, 7, 8]
arasu-kagayakeru-tsubasa	Alas～輝ける翼	通常版	10	[1, 2, 3, 4, 5, 6, 7, 8]
arms	ARMS	ワイド版	8	[1, 2, 3, 4, 9, 10, 11, 12]
aru-hi-kara-tsukaeru-you-ni-natta-teni-mahou-ga-bannou-de-ikiru-no-ga-tanoshiku-narimashita	ある日から使えるようになった転移魔法が万能で生きるのが楽しく	通常版	3	[1, 3, 4]
aru-majo-ga-shinu-made	ある魔女が死ぬまで	通常版	3	[1, 2, 5]
asagiiro-no-saudaaji	あさぎ色のサウダージ	通常版	2	[1, 3]
asagiro	アサギロ	通常版	31	[1, 2, 3, 4, 5, 6, 7, 8]
asami-mitsuhiko-mystery-and-ryoshuu-suspense	浅見光彦ミステリー&旅愁サスペンス	通常版	3	[1, 4, 5]
asami-mitsuhiko-mystery-special	浅見光彦ミステリースペシャル	通常版	24	[1, 2, 3, 4, 5, 6, 7, 8]
asatarou-den	朝太郎伝	ワイド版	3	[1, 3, 6]
ashita-kimi-to-koi-o-shiru	あした、君と恋を知る	通常版	2	[1, 3]
atagoul	アタゴオル	通常版	4	[1, 2, 3, 9]
b-boy	b-Boy	通常版	4	[1, 8, 10, 21]
b-t-x-1999	B'T X-ビート・エックス-	通常版	11	[1, 2, 3, 4, 5, 6, 7, 8]
b-t-x	ビート・エックス	通常版	13	[1, 2, 3, 4, 5, 6, 7, 8]
baitosaki-no-senpai-ga-koukousei-janakatta-hanashi	バイト先の先輩が高校生じゃなかった話	通常版	2	[1, 3]
bakuon-rettou	爆音列島	通常版	17	[1, 2, 3, 4, 5, 6, 7, 8]
beat-motion	BEAT & MOTION	通常版	5	[1, 2, 3, 4, 6]
beck	BECK	デラックス版	16	[1, 2, 3, 4, 5, 6, 7, 8]
belles-ruelles	BELLES RUELLES	通常版	2	[1, 3]
best-of-naka-tomoko	閑古鳥の巣	通常版	2	[1, 3]
big-rival	ビッグライバル	通常版	2	[1, 3]
bikkuriman-omoshirorando	ビックリマン おもしろランド	通常版	4	[1, 2, 3, 5]
billion-dollar-slave	ビリオンダラー・スレイブ	通常版	3	[1, 3, 4]
bird	バード	通常版	7	[1, 3, 4, 5, 6, 7, 8]
birth-2002	BIRTH	通常版	2	[1, 9]
bishou-hari	美少玻璃	通常版	6	[1, 2, 3, 5, 6, 7]
bishuu-gyakuten-sekai-no-kurerikku	美醜逆転世界のクレリック	通常版	3	[1, 3, 4]
blade-bastard	ブレイド&バスタード	通常版	7	[1, 2, 3, 5, 6, 7, 8]
