slug	title	edition	numbers
honnyara-gokko-kariage-kun	ほんにゃらごっこ かりあげクン	通常版	51,52,53,54,55,56,57,58,59,60
meitantei-conan-tokubetsuhen-2016	名探偵コナン 特別編	通常版	41,42
palm	パーム	通常版	40,41,42,43,44,45
chibi-hontou-ni-atta-waraeru-hanashi-girls-collection	ちび本当にあった笑える話ガールズコレクション	通常版	38,39,40,41,42,43
yabamori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	ヤバ盛!本当にあった(生)ここだけの話極 (ウルトラ)	通常版	26,27
sugomori-hontou-ni-atta-nama-koko-dake-no-hanashi-kiwami-ultra	スゴ盛!本当にあった(生)ここだけの話極 (ウルトラ)	通常版	25,26,27
happy	ハッピー!	通常版	24,25,26,27,28,29,30,31,32,33
dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	通常版	21,22,23
gakkou-kachinukisen-jikken-taiketsu-2016	学校勝ちぬき戦 実験対決	通常版	21,22,23,24,25
kantai-collection-kancolle-comic-a-ra-carte-kai	艦隊これくしょん-艦これ-コミックアラカルト改	通常版	20,21
mobile-suit-zeta-gundam-difain-char-azunaburu-guripusu-seneki	機動戦士ΖガンダムDefineシャア・アズナブルグリプス戦役	通常版	20,21,22
ooban-sangokushi	大判三国志	通常版	18,19,20,21
hop-suteppushou-selection	ホップ☆ステップ賞SELECTION	通常版	16,17,18,19
shiori-experience-2021	Shiori experience	通常版	16,17,18,19,20,21,22
c0de-breaker	C0DE:BREAKER	通常版	15,16,17,18,19,20,21,22,23,24,25,26
tenkuu-shinpan	天空侵犯	通常版	15,16,17,18,19,20,21
toaru-kagaku-no-railgun-toarumajutsunokinshomokurokugaiden	とある科学の超電磁砲(レールガン)	通常版	14,15,16,17,18
tokumorikobo-chan	特盛!コボちゃん	通常版	14,15,16
mezase-mangaka-tezuka-akatsuka-show-jushou-sakuhinshuu	めざせ漫画家!手塚・赤塚賞受賞作品集	デラックス版	13,14,15,16,17,18,19,20
mobile-suit-zeta-gundam-difain-char-azunaburu-aka-no-bunsuirei	機動戦士ΖガンダムDefineシャア・アズナブル赤の分水嶺	通常版	13,14,15,16,17,18,19
diamond-no-a-act-2	ダイヤのA act 2	通常版	12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
kaikyaku-sengen	海客宣言	通常版	12,13,14,15
karate-baka-ichidai	空手バカ一代	デラックス版	12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
piisu-maker-kurogane	PEACE MAKER鐡	通常版	12,13,14,15,16,17
megumi-no-daigo-kyuukoku-no-orange	め組の大吾救国のオレンジ	デラックス版	11,12
za-doraemonzusupesharu	ザ・ドラえもんズスペシャル	通常版	11,12
zero-yamazaki-2009	ZERO	文庫版	11,12,13,14,15,16
