slug	title	edition	numbers	missing	outlier
itadakimasu-uekan-2015	いただきます	通常版	1,2,51	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50	51
chibikasu-kun	チビカスくん	通常版	1,2,50	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49	50
honda-kanoko-no-hondana	本田鹿の子の本棚	通常版	1,2,46	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45	46
shadow	影	通常版	1,2,42	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41	42
minami-no-teiou-special	ミナミの帝王スペシャル	通常版	1,2,3,24	4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23	24
red-eyes	red Eyes	デラックス版	1,2,3,4,5,6,7,27	8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26	27
neko-puni	ねこぷに	通常版	3,6,7,8,9,26	4,5,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25	26
b-boy	b-Boy	通常版	1,8,10,21	2,3,4,5,6,7,9,11,12,13,14,15,16,17,18,19,20	21
sora-ga-suki	空がすき!	通常版	1,2,18	3,4,5,6,7,8,9,10,11,12,13,14,15,16,17	18
shin-onnagui	新女喰い	通常版	1,2,5,18	3,4,6,7,8,9,10,11,12,13,14,15,16,17	18
cyber-comics	サイバーコミックス	通常版	5,11,20	6,7,8,9,10,12,13,14,15,16,17,18,19	20
yagyou	夜行	通常版	1,2,3,17	4,5,6,7,8,9,10,11,12,13,14,15,16	17
otoko-do-ahou-koshien	男どアホウ甲子園	文庫版	2,5,16	3,4,6,7,8,9,10,11,12,13,14,15	16
damenzu-walker	だめんず・うぉ～か～	通常版	1,2,3,4,5,6,7,8,20	9,10,11,12,13,14,15,16,17,18,19	20
gurazeni-2014	Gurazeni	通常版	1,2,3,4,16	5,6,7,8,9,10,11,12,13,14,15	16
haikara-san-ga-tooru	はいからさんが通る	通常版	1,2,3,4,5,6,7,8,20	9,10,11,12,13,14,15,16,17,18,19	20
giant-killing-extra	GIANT KILLING extra	通常版	2,3,4,5,15	6,7,8,9,10,11,12,13,14	15
ruriiro-princess	るり色プリンセス	通常版	1,2,3,4,14	5,6,7,8,9,10,11,12,13	14
kaitou-lupin-den-abanchurie-toujou-hen	怪盗ルパン伝アバンチュリエ 登場編	通常版	1,3,11	2,4,5,6,7,8,9,10	11
meitantei-yumemizu-kiyoshirou-jiken-note	名探偵夢水清志郎事件ノート	デラックス版	1,2,11	3,4,5,6,7,8,9,10	11
mobile-suit-gundam-f90	Mobile suit gundam F90	通常版	1,2,11	3,4,5,6,7,8,9,10	11
ef-a-fairy-tale-of-the-two	ef-a fairy tale of the two.	通常版	1,2,10	3,4,5,6,7,8,9	10
manga-houritsu-no-nukeana	マンガ法律の抜け穴	通常版	1,2,3,5,12	4,6,7,8,9,10,11	12
mobile-suit-z-gundam	機動戦士Zガンダム	通常版	1,2,3,11	4,5,6,7,8,9,10	11
naruto-ninpouchou	ナルト忍法帖	通常版	1,2,3,11	4,5,6,7,8,9,10	11
shinishukakutoutaisen	真・異種格闘大戦	通常版	1,3,10	2,4,5,6,7,8,9	10
hontou-ni-atta-yukai-na-hanashi	本当にあった愉快な話	通常版	1,3,9	2,4,5,6,7,8	9
jin	JIN	通常版	1,4,9	2,3,5,6,7,8	9
shin-ranchesutaa-senryaku	新ランチェスター戦略	通常版	1,2,3,10	4,5,6,7,8,9	10
tsuyuneko-koubutsugaku	つゆねこ鉱物学	通常版	1,2,3,10	4,5,6,7,8,9	10
yuu-gi-ou-5ds	遊・戯・王5D's	通常版	1,2,9	3,4,5,6,7,8	9
asakaze-kun	あさかぜ君	通常版	1,2,8	3,4,5,6,7	8
atagoul	アタゴオル	通常版	1,2,3,9	4,5,6,7,8	9
kaitou-lupin-den-aventurier	怪盗ルパン伝アバンチュリエ	通常版	1,2,3,4,5,11	6,7,8,9,10	11
dream-buster	ドリームバスター	通常版	1,2,7	3,4,5,6	7
hata-manjirou-no-omoshiro-zukan	はた万次郎のおもしろ図鑑	ワイド版	1,2,7	3,4,5,6	7
taikaizoku-doumei	大海賊同盟	通常版	1,2,3,8	4,5,6,7	8
