slug	title	title_romaji	a_romaji
0-angel	ゼロエンジェル	zero enjieru	Zero Angel: Souheki no Datenshi
000000-ultra-black	#000000-ultra black	urutora burakku	#000000: ultra black
1-nichi-ikkai-hateru-made	1日1回、果てるまで…	ichinichi ikkai hateru made	1-Nichi 1-Kai, Hateru made... Ueta Zetsurin Oj
1-pu-5-sai	1夫5妻	ippu gosai	1 Otto 5 Tsuma: Boku ga Moteru Riyuu
1000-nen-joou	1000年女王	sennen joou	Shin Taketori Monogatari: 1000-nen Joou
108-kai-korosareta-akuyaku-reijou	108回殺された悪役令嬢	hyakuhachikai korosareta akuyaku reijou	108-kai Korosareta Akuyaku Reijou: Subete wo O
11-eyes	11 eyes	irebun aizu	11eyes: Tsumi to Batsu to Aganai no Shoujo
15-fun-no-shoujo-tachi	15分の少女たち	juugofun no shoujotachi	15-fun no Shoujo-tachi: Idol no Tsukurikata
21-emon	21エモン	nijuuichiemon	21 Emon
24colors	24COLORS	karazu	24 Colors: Hatsukoi no Palette
25-sai-no-joshikousei	25歳の女子高生	nijuugosai no joshikousei	25-Sai no Joshikousei: Kodomo ni wa Oshieraren
27-sai-no-nyuugan-diary	27歳のニューガン・ダイアリー	nijuunanasai no nyugan daiari	27-sai no Nyuugan Diary: Boku no Michikan ga N
28sai-hatsutaiken	28歳、初体験。	sai hatsutaiken	28-Sai, Shotaiken.: Koi ga Konnani Kimochiii n
38-doshii-no-kisu	38℃のキス	sanjuuhachidoshi no kisu	38°C no Kiss: Manatsu no Gogo, Cooler ga Kowar
3b-no-koibito	3Bの恋人	sanbi no koibito	3B no Koibito: Tsukiatte wa Ikenai Shokugyou D
3x3-eyes-kiseki-no-yami-no-keiyakusha	3×3EYES鬼籍の闇の契約者	sazan aizu kiseki no yami no keiyakusha	3x3 EYES: Kiseki no Yami no Keiyakusha
8-2023	8!～エイト～	eito	8! Eight
99-kai-danzai-sareta-loop-reijou-desu-konsei-wa-chouzetsu-aisare-mode-desutte	99回断罪されたループ令嬢ですが今世は「超絶愛されモード」ですって!?	kyuujuukyuukai danzai sareta rupu reijou desuga konse wa chouzetsu aisare modo desutte	99-kai Danzai sareta Loop Reijou desu ga Konse
a-life-of-the-beetle	A LIFE OF THE BEETLE	a raifu obu za bitoru	A Life of the Beetle: Aru Kabutomushi no Issho
a-s	A.S.	a.s.	Animal Sense
abanchurie	アバンチュリエ	abanchurie	Adventurier: Shinyaku Arsène Lupin
adolf-ni-tsugu	アドルフに告ぐ	adorufu ni tsugu	Adolf ni Tsugu
aidorisshu-seven-trigger	アイドリッシュセブンTRIGGER	aidorisshu sebun toriga	IDOLiSH7: TRIGGER - before The Radiant Glory
aishota	アイショタ	aishota	Idol Show Time: Twinkling Memory
aka-i-piano-sen	赤いピアノ線	aka i piano sen	Kumi to Morio no Love Melody
akai-hana-1987	赤い花	akai hana	Hino Hideshi Great Works
akai-hitsuji-no-kokuin	赤い羊の刻印	akai hitsuji no kokuin	Hakushaku Cain Series
akireusu	アキレウス	akireusu	Achilleus: Argos no Gunshin
alfheim-no-kishi-ballad	妖精国(アルフヘイム)の騎士Ballad	arufuheimu no kishi baraddo	Alfheim no Kishi Ballad
alice-binetsu-38c	アリス微熱38℃	arisu binetsu do	Alice Binetsu 38°C: We are Tsubasa Ga Oka D.C.
alice-oa-alice	ありすorありす	arisu oa arisu	Alice or Alice: Siscon Niisan to Futago no Imo
alive	アライブ	araibu	Alive: Saishuu Shinkateki Shounen
an-no-sekai-chizu	アンの世界地図	an no sekai chizu	Anne no Sekai Chizu: It's a Small World
andoonatsu	あんどーなつ	andonatsu	Andou Natsu: Edo Wagashi Shokunin Monogatari
ane-rogu	姉ログ	ane rogu	Ane Log: Moyako Neesan no Tomaranai Monologue
angel-bank	エンゼルバンク	enzeru banku	Angel Bank: Dragon Zakura Gaiden
angelic-kanbaseeshon	エンジェリック・カンバセーション	enjierikku kanbaseshon	Angelic Conversation
angorumoa	アンゴルモア	angorumoa	Angolmois: Genkou Kassenki
angura-kids	アングラ・キッズ	angura kizzu	Underground Kids: Gakuen Onmitsu Torimono
aniuddo-oodoori	アニウッド大通り	aniuddo oodoori	Aniwood Oodori: Anime Kantoku Ikka Monogatari 
