slug	title	type	missing_low	nums	n_sid	verdict	recover_isbn
17sai	17歳	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784091827258"}
air-gear-unlimited	エア・ギアUNLIMITED	standard	[1, 2, 3, 4, 5, 6]	[7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]	2	RECOVERABLE	{"1": "9784063770049", "2": "9784063770438", "3": "9784063770636", "4": "9784063770780", "5": "9784063770872", "6": "9784063771053"}
alfheim-no-kishi	妖精国の騎士	bunkobon	[1, 2, 3, 4, 5]	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]	1	RECOVERABLE	{"1": "9784253073882", "2": "9784253073899", "3": "9784253073905", "4": "9784253073912", "5": "9784253073929"}
ame-no-hi-wa-koi-o-suru	雨の日は恋をする	standard	[1]	[2, 3, 4, 5, 6, 7]	1	RECOVERABLE	{"1": "9784087851427"}
angel	Angel	standard	[1, 2, 3, 4, 5, 6]	[7]	1	RECOVERABLE	{"1": "9784915858758", "2": "9784915858789", "3": "9784915858819", "4": "9784915858840", "5": "9784915858871", "6": "9784915858901"}
aoi-fuyuko	アオイ冬子	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784904312698"}
bastard	BASTARD!!	aizoban	[1]	[2, 3, 4, 5, 6, 7, 8, 9]	1	RECOVERABLE	{"1": "9784081063727"}
bats-terry	バツ＆テリー	wideban	[1]	[2, 4]	1	RECOVERABLE	{"1": "9784845822157"}
besuteia	ベスティア	standard	[1, 2, 3]	[4]	1	RECOVERABLE	{"1": "9784063349252", "2": "9784063349429", "3": "9784063349627"}
biba-usagi-kozou	ビバ☆うさぎ小僧	standard	[1, 2, 3, 4]	[5]	1	RECOVERABLE	{"1": "9784056003642", "2": "9784056006032", "3": "9784056007909", "4": "9784056010107"}
black-jack-oavban	BLACK JACK OAV版	bunkobon	[1]	[2]	1	RECOVERABLE	{"1": "9784253174152"}
blush-dc	/Blush-DC	aizoban	[1, 2, 3, 4, 5, 6, 7, 8, 9]	[10]	1	RECOVERABLE	{"7": "9784087925289", "8": "9784087927320", "9": "9784087927351"}
botsu-chan-no-jidai	『坊っちゃん』の時代	standard	[1]	[2, 3, 5]	2	RECOVERABLE	{"1": "9784575712292"}
byakuyou-no-musume	白妖の娘	aizoban	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784253077064", "2": "9784253193993"}
cool	COOL	bunkobon	[1, 2, 3]	[4]	1	RECOVERABLE	{"1": "9784086188753", "2": "9784086188760", "3": "9784088725772"}
coyote	コヨーテ	standard	[1]	[2, 3, 4]	1	RECOVERABLE	{"1": "9784861349492"}
crown	CROWN	standard	[1]	[2, 3, 4, 5]	1	RECOVERABLE	{"1": "9784861272950"}
daruma-tanaka-2004	達摩	standard	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784063520651"}
deki-no-ii-kiss-warui-kiss	できのいいキス悪いキス	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784575725414"}
dokkiri-doctor	どっきりドクター	wideban	[1]	[2]	1	RECOVERABLE	{"1": "9784091257512"}
dorabeesu-doraemon-super-baseball-gaiden	ドラベース ドラえもん超野球外伝	standard	[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]	[12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]	3	RECOVERABLE	{"1": "9784091428516", "2": "9784091428523", "3": "9784091428530", "4": "9784091428547", "5": "9784091428554", "6": "9784091428561", "7": "9784091428578", "8": "9784091428585", "9": "9784091428592", "10": "9784091400680", "11": "9784091401847"}
doridorikyasusan	ドリドリキャス子さん	standard	[1]	[2]	1	RECOVERABLE	{"1": "9784797311105"}
dr-typhoon-1996	Dr.Typhoon	standard	[1, 2]	[3, 5, 6, 8]	1	RECOVERABLE	{"2": "9784575934564"}
fight-2006	ファイト!	standard	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784420150873", "2": "9784420150880"}
flcl	フリクリ	bunkobon	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784063490343"}
fujiko-efu-fujio-ishoku-tanpenshuu	藤子・F・不二雄 異色短編集	bunkobon	[1]	[2]	1	RECOVERABLE	{"1": "9784091971715"}
fushigi-no-mori-no-monogatari	不思議の森の物語	bunkobon	[1, 2]	[3]	1	RECOVERABLE	{"1": "9784086114073", "2": "9784086115940"}
g-defend	G・defend	bunkobon	[1, 2, 3]	[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 28, 29, 30, 31]	1	RECOVERABLE	{"1": "9784864232593", "2": "9784864232609", "3": "9784864232616"}
