slug	title	type	pub_counts	dominant	minority_vols
onihei-hankachou	鬼平犯科帳	standard	{"97848458": 68, "978416": 54}	97848458	54
g-defend	G・defend	standard	{"978488741": 36, "978486423": 40}	978486423	36
mukoubuchi	むこうぶち	standard	{"97848124": 39, "97848019": 26}	97848124	26
akarito-shirono-shinrei-yawa	あかりとシロの心霊夜話	standard	{"978487317": 6, "97847663": 9, "9784907203": 16, "9784910429": 3, "978486778": 3}	9784907203	21
bunchou-sama-to-watashi	文鳥様と私	standard	{"97847663": 7, "978487317": 5, "9784907203": 8, "9784910429": 2, "978486778": 4}	9784907203	18
shizukanaru-don	静かなるドン	bunkobon	{"9784408": 16, "978409": 38}	978409	16
ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	standard	{"978404": 6, "978407": 12, "97848402": 9}	978407	15
hyakki-yagyou-show	百鬼夜行抄	standard	{"9784257": 15, "978402": 17}	978402	15
kyoushoku-soukou-guyver	強殖装甲ガイバー	standard	{"978419": 15, "978404": 17}	978404	15
shamo	軍鶏	standard	{"9784575": 19, "978406": 15}	9784575	15
akagi	アカギ	standard	{"978488475": 5, "97848124": 23, "97848019": 8}	97848124	13
doubutsu-no-oshaberi	動物のおしゃべり♥	standard	{"97848124": 13, "97848019": 16}	97848019	13
roto-no-monshou	ロトの紋章	standard	{"978487025": 21, "97847575": 13}	978487025	13
wakakozake	ワカコ酒	standard	{"978419": 14, "978486720": 12}	978419	12
arslan-senki	アルスラーン戦記	standard	{"978404": 13, "978406": 11}	978404	11
bonobono	ぼのぼの	standard	{"978488475": 2, "97848124": 26, "97848019": 9}	97848124	11
g-defend	G・defend	bunkobon	{"978488741": 15, "978486423": 11}	978488741	11
ginga-eiyuu-densetsu	銀河英雄伝説	standard	{"978419": 11, "978408": 24}	978408	11
break-blade	ブレイクブレイド	standard	{"97847973": 10, "9784593": 6, "978486675": 4}	97847973	10
cheers	Cheers!	standard	{"9784575": 11, "978487306": 10}	9784575	10
chii-chan-no-oshinagaki	ちぃちゃんのおしながき	standard	{"97848124": 10, "97848019": 10}	97848124	10
chiruran-shinsengumi-requiem	ちるらん新撰組鎮魂歌	standard	{"978419": 26, "978486720": 10}	978419	10
cyborg-009	サイボーグ009	standard	{"9784253": 8, "978488991": 2, "97848401": 13}	97848401	10
haamerun-no-baiorinhiki	ハーメルンのバイオリン弾き	standard	{"978487025": 27, "97847575": 10}	978487025	10
kichikujima	鬼畜島	standard	{"97848124": 1, "97848019": 8, "9784909767": 1, "978486697": 14}	978486697	10
kuro-no-shoukanshi	黒の召喚士	standard	{"978486554": 10, "97848240": 14}	97848240	10
