slug	title	type	number	kind	current	proposed	dom_pub	pubclass
1	1・2作戦	standard	1	RESTORE_MISSING	(無)	9784775911143	97847759	single
17sai	17歳	standard	1	RESTORE_MISSING	(無)	9784091827258	978409	single
abare-tendou	あばれ天童	standard	2	RESTORE_MISSING	(無)	9784061012493	978406	single
abashiriikka	あばしり一家	bunkobon	3	RESTORE_MISSING	(無)	9784041978061	9784253	multi
abashiriikka	あばしり一家	standard	1	RESTORE_MISSING	(無)	9784253056519	9784253	multi
abashiriikka	あばしり一家	standard	2	RESTORE_MISSING	(無)	9784253108645	9784253	multi
abashiriikka	あばしり一家	standard	3	RESTORE_MISSING	(無)	9784253108652	9784253	multi
abashiriikka	あばしり一家	standard	4	RESTORE_MISSING	(無)	9784253108669	9784253	multi
abashiriikka	あばしり一家	standard	5	RESTORE_MISSING	(無)	9784253056557	9784253	multi
abashiriikka	あばしり一家	standard	6	RESTORE_MISSING	(無)	9784253056564	9784253	multi
abashiriikka	あばしり一家	standard	7	RESTORE_MISSING	(無)	9784253056571	9784253	multi
abashiriikka	あばしり一家	standard	8	RESTORE_MISSING	(無)	9784253056588	9784253	multi
abashiriikka	あばしり一家	standard	9	RESTORE_MISSING	(無)	9784253056595	9784253	multi
abashiriikka	あばしり一家	standard	10	RESTORE_MISSING	(無)	9784253056601	9784253	multi
abashiriikka	あばしり一家	standard	11	RESTORE_MISSING	(無)	9784253056618	9784253	multi
abashiriikka	あばしり一家	standard	12	RESTORE_MISSING	(無)	9784253056625	9784253	multi
abashiriikka	あばしり一家	standard	13	RESTORE_MISSING	(無)	9784253056632	9784253	multi
abashiriikka	あばしり一家	standard	14	RESTORE_MISSING	(無)	9784253056649	9784253	multi
abashiriikka	あばしり一家	standard	15	RESTORE_MISSING	(無)	9784253056656	9784253	multi
agharta	AGHARTA	standard	1	RESTORE_MISSING	(無)	9784847039829	97848470	multi
agharta	AGHARTA	standard	2	RESTORE_MISSING	(無)	9784847039836	97848470	multi
agharta	AGHARTA	standard	3	RESTORE_MISSING	(無)	9784847039850	97848470	multi
amai-mizu	甘い水	standard	3	RESTORE_MISSING	(無)	9784063301984	978406	single
angel	Angel	standard	2	RESTORE_MISSING	(無)	9784537106541	9784537	multi
angel	Angel	standard	1	RESTORE_MISSING	(無)	9784537105551	9784537	multi
angel	Angel	standard	3	RESTORE_MISSING	(無)	9784537107081	9784537	multi
angel	Angel	standard	4	RESTORE_MISSING	(無)	9784537107906	9784537	multi
angel	Angel	standard	5	RESTORE_MISSING	(無)	9784537108392	9784537	multi
angel	Angel	standard	6	RESTORE_MISSING	(無)	9784915858901	9784537	multi
anmitsuhime	あんみつ姫	standard	2	RESTORE_MISSING	(無)	9784061765221	978406	single
apollo-no-uta	アポロの歌	standard	1	RESTORE_MISSING	(無)	9784061086357	978406	multi
apollo-no-uta	アポロの歌	standard	3	RESTORE_MISSING	(無)	9784061086371	978406	multi
asatarou-den	朝太郎伝	standard	1	RESTORE_MISSING	(無)	9784834211016	97848342	multi
