slug	current_authors	rakuten_author
0nichikon-demo-koishitai	青山理砂	青山りさ
1-nen-366-nichi-no-himitsu	大橋よしひこ|筆吉純一郎	おおはしよしひこ/竹内誠
1-tai-2-kousai-wa-rabukome-ni-hairimasuka	服部了	桃井桃子
10-bunnoichi-no-hanayome	ゆきの漫画家	ゆきの
10-nen-shitenai-sudachi-san	五月雨きょうすけ	高田ローズ
10-nenkan-tomodachi-dato-omotteta-otokonoko-ni-kokuhaku-dekiaisareru-ohanashi	○線	〇線（まるせん）
100-nichi-go-ni-shinu-akuyaku-reijou-wa-mainichi-ga-totemo-tanoshii	たみふる|あるくひと	雷蔵/ゆいレギナ/いちかわはる
100-se-ari-kare-no-jundo-wa-100	ちま	藤村綾生
100manboruto-no-kanojo	ヒロコ 楯山	楯山ヒロコ
10sai-kara-no-kazoku-keikaku	厦門潤	陸乃家鴨
12-seiza-no-serenade	編著	鴇乃翠
12ji-kara-hajimaru	右京あやね	左京亜也
12kagetsu	おかざき真里	オカザキマリ
13-kaime-no-ashiato	三部敬	三部　けい
133cm-no-keshiki	蕗	ひるの つき子
15-meisetsu-kougyou-koukou-ragubiibu	成家慎一郎	成瀬芳貴
1995-tokyo-kaimetsu	神鳥ひかる	神島ひかる/つのだじろう
1997-daisanji-sekai-taisen	神鳥ひかる	神島ひかる/つのだじろう
1999-jinrui-shuumatsu	神鳥ひかる	神島ひかる/つのだじろう
19banme-no-karte	FrankMatt	富士屋カツヒト/川下剛史
1en-no-otoko	もんでんあきこ	モンデンアキコ
1gatsu-no-puryuvioozu	星屑七号	星屑7号
1nen-3kumi-momochan-sensei	紺野比奈子	ひな。
2-nen-b-gumi-onee-sensei	濃口kiki	高瀬雛
20-dai-oya-o-mitoru	キクチpub. 2023	キクチ
21-emon	藤子不二雄	藤子・F・ 不二雄
2200nen-neko-no-2200	白縫餡	猫葉りて
25-jigen-no-dice	hal	ハル
2821-kokakoora	獸木野生	伸たまき
28sai-hatsutaiken	夏葉ヤシ|山本美希|芳村かなみ|西園寺みちる	アンソロジー
29-to-jk	よぱん男爵	裕時悠示/加藤かきと
3-3ji-amemiya-kyouju-no-ocha-no-jikan	海月れおな	鷹野 久
3-inchi	季生みなと	多口 はじめ
3-pun-seijo-no-shiawase-guutara-seikatsu	貞清カズヒコ|あるくひと	かじきすい/ゆいレギナ/あかつき聖
300	フランク・ミラー|MillerFrank	フランク・ミラ-/リン・ヴァ-リイ
32-sai-kojirase-moteki	出樹	梅子
33-sai-kiyoraka-fujoshi-ga-toshishita-otoko-to-asagaeri	大嶋まなぶ	蜂谷ナナオ
35-sai-imasara-koi-toka-arienai	椎名まうみ	蜜柑子
36-tengodoshii-no-ivu	けんたろう漫画家	けんたろう
37-sekanzu	HIKARIpub. 2022	栗原 陽平/HIKARI
3itches-san-majo	永吉美幸	KIU
4-n-megami-tensei-devil-children-koma-gyagu-battle	蜂文太	アンソロジー
4-n-samurai-spirits-koma-ketteiban	(unknown)	コミックゲーメスト編集部
40-made-ni-shitai-10-no-koto	LA軍	マミタ
4ban-no-takkyuu	柳沢ゆきお	土田悠史
4gatsu-no-tokyo-wa	hal	ハル
4koma-no-bahamut	縞	Cygames
5-g-b-faibu-jiinaa-brothers	藤野もやむ	桑佳　あさ
5-nenburi-ni-tsunagaru-moto-kare-ishi-kara-tsutawaru-atsui-netsu	可児いとう	玄野 さわ
5-okunengo-ni-igai-na-ketsumatsu	usiイラストレーター	菅原そうた/usi/桃戸ハル
6-senchi-no-kizuna	橋本ユウシ	中島 真/安達 士朗
6gou-keibi	宛	綺咲慶恭/岡本一文
