title	series_key	current_company	rakuten_author	caption
1.2.3	name:1.2.3編集部|name:1.2.3|sub:日本一のアクション中篇集 画面が動くっ!!	1.2.3編集部		
1.2.3	name:1.2.3編集部|name:1.2.3|sub:日本一のアクション中篇集!! アクション劇画のトップマガジン!!	1.2.3編集部		
3×3 EYES Another World	name:石塚勝美|name:3×3 EYES Another World	ヤングマガジン編集部		
Beck at last volume 33 1/3	name:月刊少年マガジン編集部|name:Beck at last volume 33 1/3	月刊少年マガジン編集部		
D.C.	name:コンプティーク|name:D.C.	コンプティーク編集部	コンプティーク編集部	
Dr.スランプアラレちゃん	name:少年ジャンプ編集部|name:Dr.スランプアラレちゃん	少年ジャンプ編集部	週刊少年ジャンプ編集部	
FRカーニバル	name:ファンロード編集部|name:FRカーニバル	ファンロード編集部		
Q.E.D.証明終了	name:月刊少年マガジン編集部|name:Q.E.D.証明終了	月刊少年マガジン編集部		
SLAM DUNK	name:週刊少年ジャンプ編集部|name:SLAM DUNK	少年ジャンプ編集部	週刊少年ジャンプ編集部	
comic M	name:早川書房編集部|name:comic M	早川書房編集部		
comic M	qid:Q8062691|name:comic M	早川書房編集部	早川書房編集部	７０年分の謎・トリック・名探偵。そして誰もが読まずにはいられないミステリコミックへの愛を凝縮。プラチナ的名作の再録から最
comic S	name:早川書房編集部|name:comic S	早川書房編集部		
comic S	qid:Q193300|name:comic S	早川書房編集部	早川書房編集部	７０年分のセンス・オブ・ワンダー。華氏４５１度でも燃えつきないＳＦコミックへの愛を凝縮。レジェンド的名作の再録から最新の
「センゴク」バトル歳時記	name:ヤングマガジン編集部|name:「センゴク」バトル歳時記	ヤングマガジン編集部		
「センゴク」バトル読本	name:ヤングマガジン編集部|name:「センゴク」バトル読本	ヤングマガジン編集部		
ああっ女神さまっ	name:アフタヌーン編集部|name:ああっ女神さまっ	アフタヌーン編集部		
おじゃる丸	name:アミューズメント書籍編集部|name:おじゃる丸	アミューズメント書籍編集部		
おもい	name:デザート編集部|name:おもい	デザート編集部		
こけし	name:若木書房「こけし」編集部|name:こけし	若木書房「こけし」編集部		
ちはやふるオフィシャルファンブック	name:Be・love編集部|name:ちはやふるオフィシャルファンブック	Be・love編集部		
ねこだまり	name:コミックゲーメスト編集部|name:ねこだまり	コミックゲーメスト編集部	コミックゲーメスト編集部	
ねこだより	name:ゲーメストコミック編集部|name:ねこだより	コミックゲーメスト編集部	アンソロジー	
ねこだらけ	name:コミックゲーメスト編集部|name:ねこだらけ	コミックゲーメスト編集部	コミックゲーメスト編集部	
ねこづくし	name:コミックゲーメスト編集部|name:ねこづくし	コミックゲーメスト編集部	コミックゲーメスト編集部	
ねこばかり	name:ゲーメストコミック編集部|name:ねこばかり	コミックゲーメスト編集部	アンソロジー	
ねこびより	name:ゲーメストコミック編集部|name:ねこびより	コミックゲーメスト編集部	コミックゲーメスト編集部	
ねこまみれ	name:コミックゲーメスト編集部|name:ねこまみれ	コミックゲーメスト編集部	コミックゲーメスト編集部	
はるか通信―遙かなる時空の中で	name:はるか通信編集部|name:はるか通信―遙かなる時空の中で	はるか通信編集部	光栄	
ほっぷすてっぷデビュー!	name:りぼん編集部|name:ほっぷすてっぷデビュー!	りぼん編集部	りぼん編集部	
まんが動物百科	name:まんが博物館編集部|name:まんが動物百科	まんが博物館編集部		
まんが新・日本どうぶつ記	name:編集部|name:まんが新・日本どうぶつ記	編集部	つぼいこう	かんがえる力が身につく。理科がすきになる。「朝日小学生新聞」連載を単行本化した動物まんがシリーズ。
まんが秘宝 つっぱりアナーキー王	name:漫画秘宝編集部|name:まんが秘宝 つっぱりアナーキー王	漫画秘宝編集部		
まんが秘宝 ぶっちぎりヒーロー道	name:漫画秘宝編集部|name:まんが秘宝 ぶっちぎりヒーロー道	漫画秘宝編集部		
まんが秘宝 まんがチャンピオンまつり	name:漫画秘宝編集部|name:まんが秘宝 まんがチャンピオンまつり	漫画秘宝編集部		
みなみけ+今日の5の2キャラファンbook	name:ヤングマガジン編集部|name:みなみけ+今日の5の2キャラファンbook	ヤングマガジン編集部		
わたしのまわりの怪奇現象1000	name:マイバースデイ編集部|name:わたしのまわりの怪奇現象1000	マイバースデイ編集部		
わたしの写真にうつった霊	name:マイバースデイ編集部|name:わたしの写真にうつった霊	マイバースデイ編集部		
ウィザードリィコミックス	name:コミック編集部|name:ウィザードリィコミックス	コミック編集部	アスキー	
ウィザードリィ友の会総集編	name:Hippon|name:ウィザードリィ友の会総集編|sub:4コマまんがスペシャル	Hipponsuper!編集部	Ｈｉｐｐｏｎ　Ｓｕｐｅｒ！編集部	
オムニバスイラスト作品集	name:グラフィック社|name:オムニバスイラスト作品集	グラフィック社編集部	グラフィック社	渾身のオリジナル描き下ろし作品大掲載。松本規之、成瀬裕司、剣康之、原田雄一、しけたみがの、如月水。その他、注目の作家陣勢
オモコロ!	name:オモコロ編集部|name:オモコロ!	オモコロ編集部	オモコロ編集部	
カピバラさんサンキュルッとファンブック	name:TRYWORKS|name:カピバラさんサンキュルッとファンブック	主婦と生活社コミック編集部		
ゲーパロ4コマグランプリ	name:ゲーメストコミック編集部|name:ゲーパロ4コマグランプリ	コミックゲーメスト編集部	コミックゲーメスト編集部	
コロコロドラゴンコミックス	name:コロコロコミック編集部|name:コロコロドラゴンコミックス	コロコロコミック編集部		
ゴッドハンド輝コンプリートディクショナリーvalholl	name:週刊少年マガジン編集部|name:ゴッドハンド輝コンプリートディクショナリーvalholl	週刊少年マガジン編集部		
サムライスピリッツ天草降臨 4コマ決定版	name:コミックゲーメスト編集部|name:サムライスピリッツ天草降臨 4コマ決定版	コミックゲーメスト編集部	コミックゲーメスト編集部	
ザ・キング・オブ・ファイターズ '95 4コマ決定版	name:コミックゲーメスト編集部|name:ザ・キング・オブ・ファイターズ '95 4コマ決定版	コミックゲーメスト編集部	コミックゲーメスト編集部	
シティーハンター ザ・シークレット・サービス	name:週刊少年ジャンプ編集部|name:シティーハンター ザ・シークレット・サービス	少年ジャンプ編集部	週刊少年ジャンプ編集部	
ジゴロ次五郎スーパーナビbook	name:週刊少年マガジン編集部|name:ジゴロ次五郎スーパーナビbook	週刊少年マガジン編集部		
ジパング 羅針盤02	name:モーニング編集部|name:ジパング 羅針盤02	モーニング編集部		
スピリット・ジャンプ	name:Aum Mat Studio|name:スピリット・ジャンプ	オウム出版広報編集部	オウム出版/Ａｕｍ　ｍａｔ　ｓｔｕｄｉｏ	
センゴクバトルランキング	name:ヤングマガジン編集部|name:センゴクバトルランキング	ヤングマガジン編集部		
ダビスタコミック	name:コミック編集部|name:ダビスタコミック	コミック編集部	アスキー	
デジタル四コマまんが制作マニュアル	name:第一I/O編集部|name:デジタル四コマまんが制作マニュアル	I/O編集部		
ドラゴンドライブスターターブック	name:月刊少年ジャンプ編集部|name:ドラゴンドライブスターターブック	月刊少年ジャンプ編集部	佐倉ケンイチ	
