slug	突合	旧	新
akaichounoshoujo	isbn	楳図かずお〔著〕	楳図かずお
akuyakukizokugahirakinaottehametsufuraguo-quot-jitsuryoku-quot-de	isbn	てにたつじ / |原 / 楓原こうたファルまろ	てにたつじ / |原 / 楓原こうた / ファルまろ
aonokai	isbn	竹内良輔ミヨカワ将	竹内良輔 / ミヨカワ将
aritojaiantsu-tezukaosamumisshingupiishizujubunairuwaakusu	isbn	手塚治虫 / 田中創石渡広隆下枝咲彩スーパーヴァイザー	手塚治虫
boruto-two-blue-vortex	isbn	岸本斉史原作・監修 / 池本幹雄	池本幹雄 / |原 / 岸本斉史
borutonarutonekusutojienereeshonzusutooriigaido-bifoozaribaasaru	isbn	岸本斉史池本幹雄小太刀右京	岸本斉史 / 池本幹雄 / 小太刀右京
chuuzenji-sensei-mononoke-kougiroku	isbn	志水アキ / 京極夏彦[原案]	志水アキ / |原 / 京極夏彦 / 田村半蔵
climax-necromance	isbn	水上悟志瀬戸一里	水上悟志 / 瀬戸一里
gakuen-aidorumasutaa-gold-rush	isbn	猪ノ谷言葉脚本・構成 / 沖乃ゆう / |原 / バンダイナムコエンターテインメント	沖乃ゆう / |原 / バンダイナムコエンターテインメント
gintamasannenzuiigumiginpachisensei	isbn	青沼裕貴雀村アオ空知英秋大崎知仁	青沼裕貴 / 雀村アオ / 空知英秋 / 大崎知仁
gyakkouakujohayarukotogaoosugiru	isbn	高松翼コミック / |原 / 道草家守	高松翼 / |原 / 道草家守
hikikomori-reijou-wa-hanashi-no-wakaru-seijuuban	isbn	大庭そとコミック / |原 / 山田桐子	大庭そと / |原 / 山田桐子
hitokui-mansion-to-ooya-no-maison	isbn	田中空あきま	田中空 / あきま
hokenshigakita	isbn	埜納タオ[著] / 野口緑監修協力	埜納タオ
hoshinokaabiimottopupupunamainichi	isbn	さくま良子まんが	さくま良子
isekai-no-shuyaku-wa-wareware-da	isbn	加茂ユウジ	加茂ユウジ / |原 / 草薙刃 / グルッペン・フューラー
isekai-toushou-no-maken-seisaku-gurashi	isbn	慕潔 / 桜井竜矢ネーム構成 / |原 / 荻原数馬	慕潔 / |原 / 荻原数馬
isekaisaihateonsenkikou	isbn	なかやかな[著]	なかやかな
isharyou-gari	isbn	きづきあきらサトウナンキ	きづきあきら / サトウナンキ
joukyoukoroshiyamusume	isbn	八貫徹世 / |原 / オノ・マサユキ阪元裕吾	八貫徹世 / |原 / オノ・マサユキ / 阪元裕吾
kaadofaitovangaadodivainzugenmakakuseihen	isbn	三越はるは / |原 / ブシロード	三越はるは / |原 / 校條春 / ブシロード
kami-kill	isbn	此元和津也ヤマサキリョウ	此元和津也 / ヤマサキリョウ
kami-sama-gakkou-no-ochikobore	isbn	赤瓦もどむまんが / |原 / 日向夏	赤瓦もどむ / |原 / 日向夏
kekkoukamen	isbn	永井豪ダイナミックプロ	永井豪 / ダイナミックプロ
kinyokushieahausu	isbn	早乙女戦狼音琴ニア	早乙女戦狼 / 音琴ニア
kittoshiawasenoasagakuru	isbn	古川智映子くさか里樹	古川智映子 / くさか里樹
ko-konnaikemengawatakushinoosananajimidekonyakushadesutte-sasugaakuyaku	isbn	うたのコミック / |原 / 夏の葵	うたの / |原 / 夏の葵
kokkyou-no-emilia	isbn	池田邦彦 / 津久田重吾監修協力	池田邦彦
koko-wa-ore-10-makasete-saki-ni-yuke-to-itte-kara-10nen-ga-tattara-densetsu-ni-natteita	isbn	阿倍野ちゃこ / 天王寺きつねネーム構成 / |原 / えぞぎんぎつね	阿倍野ちゃこ / |原 / えぞぎんぎつね
kokuhou	isbn	吉田修一三国史明	吉田修一 / 三国史明
konsei-wa-goen-ga-arimasu-you-ni	isbn	ゆきの[著]	ゆきの
konyakusha-ga-ashita-kekkon-suru-sou-desu	isbn	炭基研水母 / |原 / 櫻井みこと	炭基研 / 水母 / |原 / 櫻井みこと
koushakukenoitatteheiwanaitsumonoshokutaku-katabutsukoushakuwagosainiko	isbn	栗尾ねも / |原 / ももよ万葉すらだまみ	栗尾ねも / |原 / ももよ万葉 / すらだまみ
kouteiheikanoosewagakari-nyokangurashigashiawasesugitekoukyuukaraderare	isbn	吉村悠希 / |原 / 柊一葉硝音あや	吉村悠希 / |原 / 柊一葉 / 硝音あや
kuse-zuyo-kanojo-wa-yuka-ni-izanau	isbn	須河篤志[著]	須河篤志
kyoukarabokuwakanojonobatsubatsuokaishousuru	isbn	コアヤアコ[著]	コアヤアコ
masutaazuobuyunibaasu-houkainoken	isbn	フレディ・E.ウィリアムス2世アートカバーアート	フレディ・E.ウィリアムス2世 アート カバーアート / |原 / ティム・シーリー
mobile-suit-gundam-flanagan-buun-senki	isbn	大野木寛ストーリー協力 / ジジ&amp;ピンチ / |原 / 矢立肇富野由悠季	ジジ&ピンチ / |原 / 矢立肇 / 富野由悠季
mobile-zekki-gundam-sequel	isbn	千明太郎 / |原 / 矢立肇富野由悠季	千明太郎 / |原 / 井上敏樹 / 矢立肇 / 富野由悠季
mushijingiofisharukomikku	isbn	原やすし木藤古マサキ	原やすし / 木藤古マサキ
