title	company_author	caption
'91夏 同人誌サークルガイドブック	同人誌ネットワークス編集部	
1.2.3	1.2.3編集部	
1.2.3	1.2.3編集部	
3×3 EYES Another World	ヤングマガジン編集部	
BECK THE GUIDEBOOK	月刊少年マガジン編集部	
Beck at last volume 33 1/3	月刊少年マガジン編集部	
D.C.	コンプティーク編集部	
Dear boys index	月刊少年マガジン編集部	
Dear boys premium guide	月刊少年マガジン編集部	
Dr.スランプアラレちゃん	少年ジャンプ編集部	
FRカーニバル	ファンロード編集部	
MANSHIN荘シークレットサービスアンソロジー	創作工房	
Q.E.D.証明終了	月刊少年マガジン編集部	
Raveなぞなび	週刊少年マガジン編集部	
SHUFFLE!コミックアラカルト	コンプティーク編集部	
SLAM DUNK	少年ジャンプ編集部	
School rumble official file	週刊少年マガジン編集部	
Shuffle!コミックアラカルト	コンプティーク編集部	
THE まんが塾	週刊少年マガジン編集部	
comic M	早川書房編集部	
comic M	早川書房編集部	７０年分の謎・トリック・名探偵。そして誰もが読まずにはいられないミステリコミックへの愛を凝縮。プラチ
comic S	早川書房編集部	
comic S	早川書房編集部	７０年分のセンス・オブ・ワンダー。華氏４５１度でも燃えつきないＳＦコミックへの愛を凝縮。レジェンド的
「センゴク」バトル歳時記	ヤングマガジン編集部	
「センゴク」バトル読本	ヤングマガジン編集部	
『センゴク』公式バトル読本	ヤングマガジン編集部	
ああっ女神さまっ	アフタヌーン編集部	
おじゃる丸	アミューズメント書籍編集部	
おもい	デザート編集部	
きまぐれオレンジ☆ロードアニメ傑作選	少年ジャンプ編集部	
こけし	若木書房「こけし」編集部	
このBLがやばい!	NEXT編集部	
このマンガがえらい!	別冊宝島編集部	
ちはやふるオフィシャルファンブック	Be・love編集部	
なりたい!!マンガ家	大栄出版編集部	
ねこだまり	コミックゲーメスト編集部	
ねこだより	コミックゲーメスト編集部	
ねこだらけ	コミックゲーメスト編集部	
ねこづくし	コミックゲーメスト編集部	
ねこばかり	コミックゲーメスト編集部	
ねこびより	コミックゲーメスト編集部	
ねこまみれ	コミックゲーメスト編集部	
はじめの一歩index	週刊少年マガジン編集部	
はるか通信―遙かなる時空の中で	はるか通信編集部	
ほっぷすてっぷデビュー!	りぼん編集部	
まんが動物百科	まんが博物館編集部	
まんが新・日本どうぶつ記	編集部	かんがえる力が身につく。理科がすきになる。「朝日小学生新聞」連載を単行本化した動物まんがシリーズ。
まんが秘宝 つっぱりアナーキー王	漫画秘宝編集部	
まんが秘宝 ぶっちぎりヒーロー道	漫画秘宝編集部	
まんが秘宝 まんがチャンピオンまつり	漫画秘宝編集部	
みなみけ+今日の5の2キャラファンbook	ヤングマガジン編集部	
らき・すたコミックアラカルト	コンプティーク編集部	
わたしのまわりの怪奇現象1000	マイバースデイ編集部	
わたしの写真にうつった霊	マイバースデイ編集部	
ウィザードリィコミックス	コミック編集部	
ウィザードリィ友の会総集編	Hipponsuper!編集部	
オムニバスイラスト作品集	グラフィック社編集部	
オモコロ!	オモコロ編集部	
カピバラさんサンキュルッとファンブック	主婦と生活社コミック編集部	
ガイドブックスクールランブルトレジャーファイル	週刊少年マガジン編集部	
ガイドブックスクールランブルプレジャーファイル	週刊少年マガジン編集部	
ゲーパロ4コマグランプリ	コミックゲーメスト編集部	
コロコロドラゴンコミックス	コロコロコミック編集部	
