slug	title	kind	n_vol	n_isbn	n_harvest_cover	year
choujin-locke	超人ロック	fixable_now	66	66	21	1983
sasuke	サスケ	fixable_now	35	18	17	1963
ore-wa-teppei	おれは鉄兵	fixable_now	62	33	12	1978
abashiriikka	あばしり一家	fixable_now	21	20	12	1978
ninpen-manmaru	忍ペンまん丸	fixable_now	11	11	11	2017
ai-to-makoto	愛と誠	fixable_now	42	30	10	1975
musashi	ムサシ	fixable_now	12	10	10	1977
sunuupii-zenshuu	スヌーピー全集	fixable_now	10	10	10	2012
saiyuuki	最遊記	fixable_now	9	9	9	2002
i-ueo-boy	I・餓男	fixable_now	9	9	8	2000
menzukou	メンズ校	fixable_now	8	8	8	2007
kubikiri-asa	首斬り朝	fixable_now	22	18	7	1982
chikai-no-makyuu	ちかいの魔球	fixable_now	17	9	7	1962
sukeban-deka	スケバン刑事	fixable_now	34	26	6	1980
harenchi-gakuen	ハレンチ学園	fixable_now	25	7	6	1970
otoko-oidon	男おいどん	fixable_now	18	12	6	1975
soukaikessen	蒼海訣戰	fixable_now	10	10	6	2011
kuroi-himitsuheiki	黒い秘密兵器	fixable_now	8	8	6	1997
astro-kyuudan	アストロ球団	fixable_now	39	5	5	1974
watari	ワタリ	fixable_now	14	11	5	1972
angel	Angel	fixable_now	13	13	5	1995
matagi-rendetsu	マタギ列伝	fixable_now	12	6	5	1973
haru-ga-kita	春が来た	fixable_now	10	6	5	1978
microid-s	ミクロイドS	fixable_now	6	5	5	1977
mobile-suit-gundam	機動戦士ガンダム	fixable_now	6	5	5	1979
purantsu-doll	観用少女	fixable_now	6	6	5	1999
don-dracula	ドン・ドラキュラ	fixable_now	5	5	5	1982
nekomushi-stories	ネコムシ・ストーリーズ	fixable_now	5	5	5	2001
pangaea	PANGAEA	fixable_now	5	5	5	2008
kuu-neru-futari-sumu-futari	喰う寝るふたり住むふたり	fixable_now	5	5	5	2021
susume-pirates	すすめ!!パイレーツ	fixable_now	22	12	4	1980
suikoden	水滸伝	fixable_now	18	11	4	1969
kennedy-knights	ケネディ騎士団	fixable_now	15	4	4	1970
shuten-douji	手天童子	fixable_now	15	12	4	1978
shidenkai-no-taka	紫電改のタカ	fixable_now	12	8	4	1971
shin-obake-no-qtarou	新オバケのQ太郎	fixable_now	7	7	4	1989
gundlander	ガンドランダー	fixable_now	7	4	4	1992
