slug	changed_vols	contaminated_vols	flag
golgo-13	152	109	🔴汚染
kumotori-zanpei	31	24	🔴汚染
dokaben	29	23	🔴汚染
doraemon	27	16	🔴汚染
marugoshi-deka	75	15	🔴汚染
abashiriikka	15	15	🔴汚染
sangokushi	25	14	🔴汚染
otoko-do-ahou-koshien	14	13	🔴汚染
five	13	13	🔴汚染
nesshou-hanazawa-koukou	27	12	🔴汚染
jotei	24	12	🔴汚染
ou-sama-no-shitateya	19	12	🔴汚染
cobra-1995	12	12	🔴汚染
kinnikuman	43	11	🔴汚染
kamuigaiden	13	11	🔴汚染
gegege-no-kitarou	11	11	🔴汚染
tosa-no-ipponzuri	25	10	🔴汚染
drsuranpu	15	10	🔴汚染
buddha	14	10	🔴汚染
ring-ni-kakero	12	10	🔴汚染
attack	10	10	🔴汚染
majima-kun-suttobasu	9	9	🔴汚染
nanahan-rider	24	8	🔴汚染
kyudo-kun	11	8	🔴汚染
seishuku-ni-tensai-tadaima-benkyouchuu	10	8	🔴汚染
harukanaru-toki-no-naka-de	10	8	🔴汚染
mari-to-shingo	8	8	🔴汚染
shamo	19	7	🔴汚染
shakariki	18	7	🔴汚染
tensai-bakabon	11	7	🔴汚染
boukenshitemo-ii-koro	11	7	🔴汚染
captain-kid	7	7	🔴汚染
kaze-to-ki-no-uta	16	6	🔴汚染
otokogumi	13	6	🔴汚染
shin-agatte-nanbo-taichiyo-nakuna	10	6	🔴汚染
long-riders	9	6	🔴汚染
ekiben-hitoritabi	8	6	🔴汚染
tsuribaka-nisshi	96	5	🔴汚染
high-teen-boogie	19	5	🔴汚染
sangokushi-sentaro-1980	15	5	🔴汚染
bokkemon	14	5	🔴汚染
versailles-no-bara	11	5	🔴汚染
ebihara-san-wa-kyou-mo-taihen	8	5	🔴汚染
hadashi-no-gen	7	5	🔴汚染
ore-wa-chokkaku	7	5	🔴汚染
gunslinger-girl	7	5	🔴汚染
getter-robo-gou	6	5	🔴汚染
london-mamougai	6	5	🔴汚染
ibu-no-musukotachi	5	5	🔴汚染
hamidashikko	5	5	🔴汚染
kagemusha-tokugawa-ieyasu	5	5	🔴汚染
ninku-kazu-2006	5	5	🔴汚染
bouryoku-taishou	14	4	🔴汚染
gin-to-kin	11	4	🔴汚染
deimosu-no-hanayome	10	4	🔴汚染
ikkyuu-san	8	4	🔴汚染
soldier-boy	7	4	🔴汚染
candy-candy	6	4	🔴汚染
uchi-no-3-shimai	6	4	🔴汚染
watari	5	4	🔴汚染
3nen-kimengumi	4	4	🔴汚染
naniwayu-ukyouden	20	3	🔴汚染
ninjahattori-kun	15	3	🔴汚染
maps	10	3	🔴汚染
yaguruma-kennosuke	10	3	🔴汚染
kochira-tsubaki-sanfujinka	10	3	🔴汚染
yakyuukyou-no-uta	9	3	🔴汚染
nijiiro-no-trotsky	8	3	🔴汚染
sasuga-no-sarutobi	7	3	🔴汚染
rashanu	6	3	🔴汚染
gekkou-kamen	6	3	🔴汚染
mazinger-z	5	3	🔴汚染
senrei	3	3	🔴汚染
again	3	3	🔴汚染
garasunoshiro	3	3	🔴汚染
persona-3	3	3	🔴汚染
furusato	3	3	🔴汚染
hanma-baki	36	2	🟡一部
kobo-chan	27	2	🟡一部
gokudou-steak	21	2	🟡一部
9-banme-no-musashi	21	2	🟡一部
dragon-ball	20	2	🟡一部
captain	15	2	🟡一部
x-men-1994-5	11	2	🟡一部
x-men-1994	10	2	🟡一部
hakushaku-reijou	8	2	🟡一部
shutter	8	2	🟡一部
tanikamen	6	2	🟡一部
pokkapoka	6	2	🟡一部
asunarozaka	5	2	🟡一部
saketa-pasupooto	5	2	🟡一部
happy-people	5	2	🟡一部
igano-kabamaru	4	2	🟡一部
black-jack	3	2	🟡一部
wata-no-kunihoshi	3	2	🟡一部
fuuma-no-kojirou	3	2	🟡一部
kyojin-no-hoshi	2	2	🟡一部
shounan-junai-gumi	2	2	🟡一部
asari-chan	100	1	🟡一部
patalliro	38	1	🟡一部
jarinko-chie	37	1	🟡一部
hotel	33	1	🟡一部
ningen-kousaten	27	1	🟡一部
ramen-hakkenden	26	1	🟡一部
bad-boys	22	1	🟡一部
area-88	21	1	🟡一部
dochinpira	20	1	🟡一部
junk-boy	18	1	🟡一部
karura-mau	18	1	🟡一部
karubania-monogatari	18	1	🟡一部
survival	17	1	🟡一部
mangamichi	16	1	🟡一部
mamonogatari	15	1	🟡一部
touhai	12	1	🟡一部
mugen-shinshi	10	1	🟡一部
hyouryuu-kyoushitsu	10	1	🟡一部
4nen-1kumi-kiritsu	10	1	🟡一部
kuruneko	10	1	🟡一部
super-zugan	9	1	🟡一部
yose-geininden	9	1	🟡一部
akera-to-magozou	8	1	🟡一部
tsurikichi-sanpei	8	1	🟡一部
california-monogatari	7	1	🟡一部
otokogui	6	1	🟡一部
onna-tomodachi	6	1	🟡一部
marcello-storia	5	1	🟡一部
midoriyama-koukou	5	1	🟡一部
persona-4	5	1	🟡一部
hiatari-ryoukou	4	1	🟡一部
tsuri-baka-taishou	4	1	🟡一部
kochira-katsushikaku-kameari-kouen-mae-hashutsujo	4	1	🟡一部
onna-no-ko-monogatari	4	1	🟡一部
shishi-no-musume	4	1	🟡一部
sasori	3	1	🟡一部
warau-salesman	3	1	🟡一部
black-angels	2	1	🟡一部
shura-ga-yuku	2	1	🟡一部
bajiru-shi-no-yuugana-seikatsu	2	1	🟡一部
yuuhigaoka-no-souri-daijin	1	1	🟡一部
umezu-kazuo-kowai-hon	1	1	🟡一部
lettuce-burger-please-ok-ok	1	1	🟡一部
kappa-no-sanpei	1	1	🟡一部
hontoni-atta-kowai-hanashi	1	1	🟡一部
damenzu-walker	1	1	🟡一部
shippo-ga-tomodachi	1	1	🟡一部
tenpai	71	0	🟢健全
sake-no-hosomichi	55	0	🟢健全
alfheim-no-kishi	53	0	🟢健全
minami-no-teiou	46	0	🟢健全
jojo-no-kimyouna-bouken	39	0	🟢健全
sazae-san	35	0	🟢健全
the-go-ro	31	0	🟢健全
akuma-no-mokushiroku	30	0	🟢健全
onihei-hankachou	26	0	🟢健全
kamakura-monogatari	25	0	🟢健全
dr-kotoo-shinryoujo	24	0	🟢健全
20seiki-20-younen	22	0	🟢健全
happy	21	0	🟢健全
shin-aji-ichimonme	20	0	🟢健全
hey-riki	20	0	🟢健全
bastard	18	0	🟢健全
ol-vijuarukei	18	0	🟢健全
binbougami-ga	16	0	🟢健全
papa-told-me	15	0	🟢健全
fuuunjitachi	15	0	🟢健全
akarui-seishounen-no-tameno-love	14	0	🟢健全
minna-agechau	14	0	🟢健全
little-kyojin-kun	14	0	🟢健全
hakuryuu	12	0	🟢健全
deru-toko-demasho	12	0	🟢健全
outo-ayakashi-ki-tan	11	0	🟢健全
mou-girigiri	11	0	🟢健全
joi-reika	11	0	🟢健全
break-blade	10	0	🟢健全
risutora-daimon	10	0	🟢健全
onidere	10	0	🟢健全
living-game	9	0	🟢健全
joshi-shougakusei-hajimemashita-p	9	0	🟢健全
break-age	8	0	🟢健全
karate-shoukoushi-kohinata-minoru	7	0	🟢健全
hana-no-asuka-gumi	6	0	🟢健全
cooking-papa	6	0	🟢健全
ginga-sengoku-gunyuuden-rai	6	0	🟢健全
tenchi-muyou-ryououki	6	0	🟢健全
pharaoh-no-haka	5	0	🟢健全
kachou-shima-kousaku	5	0	🟢健全
hello-harinezumi	5	0	🟢健全
ishi-no-hana	5	0	🟢健全
gurazeni-tokyo-doomuhen	4	0	🟢健全
oboreru-knife	3	0	🟢健全
denkigai-no-honya-san	3	0	🟢健全
roukyuubu	3	0	🟢健全
kibun-wa-uaa	2	0	🟢健全
nekogo-jiten	2	0	🟢健全
makenkitsu	1	0	🟢健全
madan-no-ou-to-vanadis	1	0	🟢健全
nagi	1	0	🟢健全
hataraku-maou-sama	1	0	🟢健全
yuugo	1	0	🟢健全
makikomarete-isekai-teni-suru-yatsu-wa-taitei-cheat	1	0	🟢健全
naito-gundam-story	1	0	🟢健全
not-lives	1	0	🟢健全
akaya-akashiya-ayakashi-no	1	0	🟢健全
