slug	vol	current	proposed	oldest_isbn	n_cand	rakuten_raw	rk_salesDate
muyounosuke	9	2023-02	1977-06	9784091901798	1	無用ノ介(9)	1977年06月
houchounin-ajihei	1	2020-01	1983-12-08	9784088581019	8	包丁人味平(1)	1983年12月08日頃
houchounin-ajihei	2	2026-03-23	1984-02-06	9784088581026	6	包丁人味平(2)	1984年02月06日頃
harenchi-gakuen	1	2018-07	1986-03-06	9784061012110	2	ハレンチ学園(1)	1986年03月06日頃
harenchi-gakuen	2	2018-07	1986-04-05	9784061012127	2	ハレンチ学園(2)	1986年04月05日頃
harenchi-gakuen	3	2018-08	1986-05-06	9784061012134	2	ハレンチ学園(3)	1986年05月06日頃
harenchi-gakuen	4	2018-08	1986-06-06	9784061012141	2	ハレンチ学園(4)	1986年06月06日頃
harenchi-gakuen	5	2018-09	1986-07-05	9784061012158	2	ハレンチ学園(5)	1986年07月05日頃
harenchi-gakuen	6	2018-09	1986-08-06	9784061012165	2	ハレンチ学園(6)	1986年08月06日頃
submarine-nanamarunana	1	1985-10-20	1985-09-21	9784253108492	5	サブマリン707(1)	1985年09月21日頃
submarine-nanamarunana	2	1987-12-15	1987-11-13	9784253109246	5	サブマリン707(2)	1987年11月13日頃
submarine-nanamarunana	3	2013-08	1989-10-12	9784253060264	2	サブマリン707(3)	1989年10月12日頃
swan	8	2007-12	1990-08-04	9784088503851	6	Swan(8)	1990年08月04日頃
swan	9	2008-01	1990-08-04	9784088504230	5	Swan(9)	1990年08月04日頃
swan	10	2008-02	1990-08-04	9784088504285	6	Swan(10)	1990年08月04日頃
swan	11	2008-03	1990-08-04	9784088504346	5	Swan(11)	1990年08月04日頃
swan	12	2008-04	1990-08-04	9784088504797	5	Swan(12)	1990年08月04日頃
swan	13	2024-03	1990-08-04	9784088504865	6	Swan(13)	1990年08月04日頃
swan	14	2024-05	1990-08-04	9784088504926	5	Swan(14)	1990年08月04日頃
swan	15	2024-07-13	1990-08-04	9784088505008	1	Swan(15)	1990年08月04日頃
swan	16	2024-10-23	1990-08-04	9784088505336	1	Swan(16)	1990年08月04日頃
sukeban-deka	1	1987-03	1976-03-20	9784592111313	6	スケバン刑事(1)	1976年03月20日頃
sukeban-deka	2	1987-03-03	1976-05-20	9784592111320	5	スケバン刑事(2)	1976年05月20日頃
sukeban-deka	3	1987-03-31	1976-09-20	9784592111337	5	スケバン刑事(3)	1976年09月20日頃
sukeban-deka	4	1987-03-31	1977-02-19	9784592111344	5	スケバン刑事(4)	1977年02月19日頃
sukeban-deka	5	1987-04-29	1977-06-20	9784592111351	5	スケバン刑事(5)	1977年06月20日頃
sukeban-deka	6	1987-04-29	1977-08-20	9784592111368	5	スケバン刑事(6)	1977年08月20日頃
sukeban-deka	7	2022-07	1977-11-19	9784592111375	4	スケバン刑事(7)	1977年11月19日頃
sukeban-deka	8	2022-07	1978-04-20	9784592111382	4	スケバン刑事(8)	1978年04月20日頃
sukeban-deka	9	2022-08	1979-05-19	9784592111399	4	スケバン刑事(9)	1979年05月19日頃
sukeban-deka	10	2022-08	1979-10-20	9784592111405	4	スケバン刑事(10)	1979年10月20日頃
sukeban-deka	11	2022-09	1980-03-19	9784592111412	4	スケバン刑事(11)	1980年03月19日頃
sukeban-deka	12	2022-09	1981-11-05	9784592111429	4	スケバン刑事(12)	1981年11月05日頃
sukeban-deka	13	1980-10-25	1980-10-20	9784592111436	1	スケバン刑事(13)	1980年10月20日頃
sukeban-deka	15	1981-04-25	1981-04-20	9784592111450	1	スケバン刑事(15)	1981年04月20日頃
sukeban-deka	16	1981-08-25	1981-08-20	9784592111467	1	スケバン刑事(16)	1981年08月20日頃
sukeban-deka	17	1981-11-25	1981-11-20	9784592111474	1	スケバン刑事(17)	1981年11月20日頃
sukeban-deka	18	1982-02-25	1982-02-20	9784592111481	2	スケバン刑事(18)	1982年02月20日頃
sukeban-deka	19	1982-06-25	1982-06-19	9784592111498	1	スケバン刑事(19)	1982年06月19日頃
sukeban-deka	20	1982-09-25	1982-09-20	9784592111504	1	スケバン刑事(20)	1982年09月20日頃
sukeban-deka	21	1982-12-22	1982-12-17	9784592111511	1	スケバン刑事(21)	1982年12月17日頃
sukeban-deka	22	1983-04-25	1983-04-20	9784592111528	2	スケバン刑事(22)	1983年04月20日頃
sandarabotchi	1	2018-02	1983-06	9784091907417	3	さんだらぼっち(1)	1983年06月
sandarabotchi	4	1977-06	1977-04-28	9784091800947	3	さんだらぼっち(4)	1977年04月28日頃
sutoppunii-chan	1	2008-09-15	1981-11	9784257916703	2	ストップ!にいちゃん(1)	1981年11月
sutoppunii-chan	2	2008-09-15	1981-12	9784257916710	1	ストップ!にいちゃん(2)	1981年12月
sutoppunii-chan	3	2008-09-15	1982-01	9784257916727	1	ストップ!にいちゃん(3)	1982年01月
gaki-deka	1	1988-04-25	1988-04	9784253099851	11	がきデカ(1)	1988年04月
gaki-deka	23	2019-04-06	1989-07-22	9784253032865	3	がきデカ(23)	1989年07月22日頃
gaki-deka	26	2010-07-06	1989-11-04	9784253032896	3	がきデカ(26)	1989年11月04日頃
goyoukiba	1	2011-06	1989-12-30	9784253014168	2	御用牙(1)	1989年12月30日頃
rashanu	1	2023-03	1979-03	9784592112716	3	ラシャーヌ!(1)	1979年03月
rashanu	2	2023-04	1980-07-19	9784592112723	3	ラシャーヌ!(2)	1980年07月19日頃
rashanu	3	2023-05	1982-07-20	9784592112730	3	ラシャーヌ!(3)	1982年07月20日頃
rashanu	4	1984-01-24	1984-01-19	9784592112747	4	ラシャーヌ!(4)	1984年01月19日頃
rashanu	5	1984-07-24	1984-07-19	9784592112754	2	ラシャーヌ!(5)	1984年07月19日頃
rashanu	6	1987-09-25	1987-09-18	9784592112761	2	ラシャーヌ!(6)	1987年09月18日頃
kozure-ookami	1	2011-12	1995-03	9784883156412	11	子連れ狼 1	1995年03月
kozure-ookami	2	2012-01	1995-03	9784883156429	11	子連れ狼 2	1995年03月
kozure-ookami	3	2012-01	1995-04	9784883156474	11	子連れ狼 3	1995年04月
kozure-ookami	4	2012-02	1995-04	9784883156481	11	子連れ狼 4	1995年04月
kozure-ookami	5	2012-02	1995-05	9784883156511	10	子連れ狼 5	1995年05月
kozure-ookami	6	2012-03	1995-05	9784883156528	11	子連れ狼 6	1995年05月
kozure-ookami	7	2012-04	1995-06	9784883156573	10	子連れ狼 7	1995年06月
kozure-ookami	8	2012-05	1995-06	9784883156580	9	子連れ狼 8	1995年06月
kozure-ookami	11	2012-08	1995-08	9784883156665	13	子連れ狼 11	1995年08月
kozure-ookami	12	2012-09	1995-08	9784883156672	10	子連れ狼 12	1995年08月
kozure-ookami	13	2012-10	1995-08	9784883156719	10	子連れ狼 13	1995年08月
kozure-ookami	14	2012-11	1995-08	9784883156726	10	子連れ狼 14	1995年08月
kozure-ookami	15	2012-12	1995-09	9784883156733	4	子連れ狼 15	1995年09月
kozure-ookami	16	2013-01	1995-09	9784883156740	4	子連れ狼 16	1995年09月
kozure-ookami	17	2013-02	1995-10	9784883156771	4	子連れ狼 17	1995年10月
kozure-ookami	18	2013-03	1995-10	9784883156788	4	子連れ狼 18	1995年10月
kozure-ookami	19	2013-04	1995-11	9784883156818	7	子連れ狼 19	1995年11月
kozure-ookami	20	2013-05	1995-12	9784883156825	4	子連れ狼 20	1995年12月
kumotori-zanpei	1	1999-11	1983-02-05	9784845803019	7	雲盗り暫平(1)	1983年02月05日頃
kumotori-zanpei	2	2021-11	1983-04-28	9784845803026	5	雲盗り暫平(2)	1983年04月28日頃
kumotori-zanpei	3	2022-01	1983-08-05	9784845803033	5	雲盗り暫平(3)	1983年08月05日頃
kumotori-zanpei	4	2022-03	1983-11-05	9784845803040	5	雲盗り暫平(4)	1983年11月05日頃
kumotori-zanpei	5	2022-05	1984-02-04	9784845803057	5	雲盗り暫平(5)	1984年02月04日頃
kumotori-zanpei	6	2022-07	1984-04-28	9784845803064	5	雲盗り暫平(6)	1984年04月28日頃
