slug	title	std_vols	inv_before	inv_after	fixed	n_change	matched	unmatched	primary_pub
golgo-13	ゴルゴ13	220	13	2	11	152	213	7	リイド社
sangokushi	三国志	60	7	1	6	29	60	0	潮出版社
survival	サバイバル	22	7	1	6	17	20	2	リイド社
gokudou-steak	極道ステーキ	21	6	0	6	21	21	0	リイド社
the-go-ro	ジ・ゴ・ロ	31	6	0	6	31	31	0	リイド社
doraemon	ドラえもん	28	5	0	5	27	28	0	小学館
captain	キャプテン	26	5	1	4	15	15	11	集英社
kumotori-zanpei	雲盗り暫平	34	4	0	4	33	34	0	リイド社
drsuranpu	Dr.スランプ	18	4	0	4	15	18	0	集英社
otoko-do-ahou-koshien	男どアホウ甲子園	28	4	0	4	24	28	0	秋田書店
nanahan-rider	750ライダー	50	4	0	4	40	50	0	秋田書店
sazae-san	サザエさん	68	13	10	3	35	52	16	朝日新聞出版
nesshou-hanazawa-koukou	熱笑!!花沢高校	29	4	1	3	28	29	0	秋田書店
gegege-no-kitarou	ゲゲゲの鬼太郎	15	3	0	3	11	15	0	講談社
gin-to-kin	銀と金	11	3	0	3	11	11	0	双葉社
bouryoku-taishou	暴力大将	23	3	0	3	23	23	0	秋田書店
otokogumi	男組	25	3	0	3	25	25	0	小学館
gunslinger-girl	GUNSLINGER GIRL	15	3	0	3	7	13	2	KADOKAWA
persona-4	ペルソナ4	13	3	0	3	5	11	2	KADOKAWA
dochinpira	どチンピラ	20	3	0	3	20	20	0	リイド社
joi-reika	女医レイカ	11	3	0	3	11	11	0	リイド社
dokaben	ドカベン	48	8	6	2	35	47	1	秋田書店
ring-ni-kakero	リングにかけろ	25	3	1	2	13	25	0	集英社
shura-ga-yuku	修羅がゆく	41	3	1	2	2	41	0	日本文芸社
yakyuukyou-no-uta	野球狂の詩	17	3	1	2	9	10	7	講談社
kachou-shima-kousaku	課長島耕作	17	3	1	2	5	17	0	講談社
cooking-papa	クッキングパパ	177	3	1	2	6	141	36	講談社
sasuga-no-sarutobi	さすがの猿飛	7	2	0	2	7	7	0	小学館
deimosu-no-hanayome	悪魔の花嫁	17	2	0	2	16	17	0	秋田書店
senrei	洗礼	6	2	0	2	6	6	0	小学館
tsuribaka-nisshi	釣りバカ日誌	118	2	0	2	96	99	19	小学館
candy-candy	キャンディ・キャンディ	9	2	0	2	7	9	0	講談社
kyudo-kun	球道くん	19	2	0	2	19	19	0	小学館
majima-kun-suttobasu	真島クンすっとばす!!	10	2	0	2	9	10	0	集英社
hanma-baki	範馬刃牙	37	2	0	2	36	37	0	秋田書店
tosa-no-ipponzuri	土佐の一本釣り	25	2	0	2	25	25	0	小学館
yaguruma-kennosuke	矢車剣之助	10	2	0	2	10	10	0	アース出版局
asunarozaka	あすなろ坂	9	2	0	2	7	9	0	講談社
warau-salesman	笑ゥせぇるすまん	23	2	0	2	3	23	0	中央公論新社
fuuma-no-kojirou	風魔の小次郎	10	2	0	2	3	10	0	集英社
kobo-chan	コボちゃん	60	2	0	2	27	60	0	蒼鷹社
kaze-to-ki-no-uta	風と木の詩	17	2	0	2	17	17	0	小学館
shutter	シャッター	15	2	0	2	14	15	0	双葉社
saketa-pasupooto	裂けた旅券	7	2	0	2	7	7	0	小学館
ou-sama-no-shitateya	王様の仕立て屋	19	2	0	2	19	19	0	集英社
kagemusha-tokugawa-ieyasu	影武者徳川家康	7	2	0	2	5	6	1	集英社
persona-3	ペルソナ3	11	2	0	2	3	11	0	KADOKAWA
dragon-ball	ドラゴンボール	42	2	0	2	20	42	0	集英社
ninjahattori-kun	忍者ハットリくん	16	2	0	2	16	16	0	小学館
pharaoh-no-haka	ファラオの墓	8	2	0	2	8	8	0	小学館
papa-told-me	Papa told me	27	2	0	2	15	27	0	集英社
denkigai-no-honya-san	デンキ街の本屋さん	15	2	0	2	3	15	0	KADOKAWA
akarui-seishounen-no-tameno-love	明るい青少年のための恋愛	14	2	0	2	14	14	0	秋田書店
mou-girigiri	もう・ぎりぎり	11	2	0	2	11	11	0	リイド社
black-jack	ブラック・ジャック	25	7	6	1	3	25	0	秋田書店
tsurikichi-sanpei	釣りキチ三平	65	7	6	1	13	51	14	講談社
kyojin-no-hoshi	巨人の星	19	4	3	1	2	11	8	講談社
garasunoshiro	ガラスの城	8	3	2	1	3	5	3	ホーム社（千代田区）
onihei-hankachou	鬼平犯科帳	122	3	2	1	26	74	48	リイド社
gekkou-kamen	月光仮面	7	2	1	1	6	6	1	アース出版局
hadashi-no-gen	はだしのゲン	10	2	1	1	7	10	0	汐文社
tensai-bakabon	天才バカボン	31	2	1	1	11	16	15	講談社
sasori	さそり	8	2	1	1	3	3	5	小学館
umezu-kazuo-kowai-hon	楳図かずおこわい本	14	2	1	1	1	3	11	朝日ソノラマ
watari	ワタリ	7	2	1	1	5	7	0	小学館
black-angels	ブラック・エンジェルズ	20	2	1	1	2	12	8	集英社
kamuigaiden	カムイ外伝	14	2	1	1	14	14	0	小学館
naniwayu-ukyouden	なにわ遊侠伝	24	2	1	1	22	24	0	徳間書店
uchi-no-3-shimai	うちの3姉妹	13	2	1	1	6	8	5	主婦の友社
tanikamen	谷仮面	12	2	1	1	6	12	0	白泉社
shishi-no-musume	獅子の娘	11	2	1	1	7	11	0	芳文社
damenzu-walker	だめんず・うぉ～か～	13	2	1	1	1	12	1	扶桑社
midoriyama-koukou	緑山高校	19	2	1	1	5	18	1	集英社
minna-agechau	みんなあげちゃう	19	2	1	1	14	19	0	集英社
ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	27	2	1	1	6	20	7	アスキー・メディアワークス
rashanu	ラシャーヌ!	7	1	0	1	6	7	0	白泉社
ibu-no-musukotachi	イブの息子たち	7	1	0	1	7	7	0	秋田書店
hiatari-ryoukou	陽あたり良好!	5	1	0	1	5	5	0	小学館
buddha	ブッダ	14	1	0	1	14	14	0	潮出版社
hakushaku-reijou	伯爵令嬢	12	1	0	1	8	12	0	秋田書店
hotel	ホテル	33	1	0	1	33	33	0	小学館
ningen-kousaten	人間交差点	27	1	0	1	27	27	0	小学館
kinnikuman	キン肉マン	92	1	0	1	43	92	0	集英社
seishuku-ni-tensai-tadaima-benkyouchuu	静粛に、天才只今勉強中!	11	1	0	1	11	11	0	潮出版社
x-men-1994-5	X-MEN	11	1	0	1	11	11	0	竹書房
x-men-1994	X-MEN	10	1	0	1	10	10	0	竹書房
mangamichi	まんが道	23	1	0	1	17	23	0	中央公論新社
