slug	title
pakupaku-desuwa-tsuihousareta-sareta-ojousama	〈パクパクですわ〉追放されたお嬢様の『モンスターを食べるほど強くなる』スキルは、1食で1レベルアップする前代未聞の最強スキルでした。3日で人類最強になりましたわ～!
aru-hi-otto-ga-betsujin-ni	ある日夫が別人に
onii-chan-tachi-ni-ki-o-tsukete	お兄ちゃんたちに気をつけて!
camera-baka-ni-tsukeru-kusuri	カメラバカにつける薬
chuutoriaru-ga-hajimaru-mae-ni	チュートリアルが始まる前に
shintouki	神統記
lens-no-mukou-no-megamitachi	レンズの向こうの女神たち
shanai-bitch-chan-wa-kyou-mo-tokimeki-ga-tomerarenai	社内ビッチちゃんは今日もときめきが止められない
takase-kun-no-heso-no-shita	高瀬くんのヘソの下
tokumei-kachou-tadano-hitoshi-otonaaji	特命課長只野仁
jagaimo-nouka-no-muramusume-kenshin-to-utawareru-made	ジャガイモ農家の村娘、剣神と謳われるまで。
akuyaku-reijou-no-kyouji	悪役令嬢の矜持
isekai-maid-ga-yattekita	異世界メイドがやってきた
zetsurin-yakuza-wa-dekiai-jouzu	絶倫ヤクザは溺愛上手!?
ei-kun-wa-okuchi-ga-ojouzu	英くんはおくちがお上手
same-wa-sakura-ni-koi-o-suru	鮫は桜に恋をする
riot-tsukada-2025	RIOT
the-band	THE BAND
kinoshita-mahou-koumuten	きのした魔法工務店
chanpen-to-mamapen-no-heibon-dakedo-shiawase-na-hibi	ちゃんぺんとママぺんの平凡だけど幸せな日々
canon-lady	カノンレディ
samurai-musou	サムライ無双
mae-kousetsu-hyakumonogatari	前巷説百物語
zennin-no-otsu-san-boukensha-o-intai-shite-kojiin-no-sensei-ni-naru	善人のおっさん、冒険者を引退して孤児院の先生になる
jigoku-no-sata-mo-ougon-shidai	地獄の沙汰も黄金次第
osananajimi-no-koukousei-no-aida-ni-nikutai-kankei-wa-seiritsu-suruka	幼なじみの高校生のあいだに肉体関係は成立するか。
akatsuki-no-majo-reishii-wa-jiyuu-ni-ikitai	暁の魔女レイシーは自由に生きたい
saiteihen-de-agaku-boku-wa-isekai-de-kibou-ni-deau	最底辺であがく僕は、異世界で希望に出会う
mijuku-na-omame-ga-sodatsu-made	未熟なおまめが育つまで
dorobune-kizoku-no-goreijou	泥船貴族のご令嬢
oukuu-kishidan-to-kyuukoku-no-shoujo	王空騎士団と救国の少女
isekai-de-cheat-nouryoku-o-te-ni-shita-ore-wa-genjitsu-sekai-womo-musou-suru-girls-side	異世界でチート能力を手にした俺は、現実世界をも無双するガールズサイド
shuuen-no-majo-to-sekai-no-tabi	終焉の魔女と世界の旅
reinousha-ogata-katsumi-collection	霊能者緒方克巳コレクション
haruki-murakami-manga-stories	HARUKI MURAKAMI MANGA STORIES
uchira-wa-mabudachi	うちらはマブダチ
onikogi	オニコギ
hereteku-no-ana	ヘレテクの穴
mitsuki-kun-chotto-matte	ミツキくんちょっと待って!
shio-taiou-na-watashi-no-danna-sama-wa-haisupekku-na-osananajimi	塩対応な私の旦那様はハイスペックな幼馴染!?
suki-dayo-good-boy	好きだよグッドボーイ
shinu-made-bazuttero	死ぬまでバズってろ!!
tensei-idol-to-doruota-no-kishi	転生アイドルとドルオタの騎士
takane-no-shachou-wa-kohana-o-medetai	高嶺の社長は小花を愛でたい
13-banme-no-tenisha-isekai-de-kami-o-mezasu	13番目の転移者、異世界で神を目指す
arashi-to-ibuki	あらしといぶき
tamasanchi-no-hogoinu	たまさんちのホゴイヌ
dakara-katte-ni-yuusha-toka-haou-ni-nintei-sunno-yameroyo	だから勝手に勇者とか覇王に認定すんのやめろよ!
batchiri-scratch	ばっちりスクラッチ
kawaii-wa-kane-nari	カワイイは金なり
card-game-usagi	カードゲームうさぎ
kitchen-ni-sumitai	キッチンに住みたい
samenyan	サメにゃん
doesu-kishidanchou-no-go-houshi-maid-ni-ninmei-saremashita-ga-watashi-nandesukedo	ドS騎士団長のご奉仕メイドに任命されましたが、私××なんですけど!?
madame-to-risou-no-android	マダムと理想のアンドロイド
re-virgin	リヴァージン
isshokenmei-ni-ite-hoshii-tada-sou-iitakatta	一緒に居てほしい。ただそう言いたかった。
reitetsu-onzoushi-to-seiryaku-kekkon-shitara-dekiai-de-tokasarete-migomori-tsuma-ni-narimashita	冷徹御曹司と政略結婚したら、溺愛で溶かされて身ごもり妻になりました
osananajimi-no-moto-gokudou-shachou-kara-no-hiru-mo-yoru-mo-hatenai-mouai-ni-sakaraemasen	幼馴染みの〈元〉極道社長からの昼も夜も果てない猛愛に逆らえません
toki-watari-reijou-wa-reiketsu-ryuuou-no-chouai-o-towa-ni-kizamu	時わたり令嬢は冷血龍王の寵愛をとわに刻む
dekiai-cinderella	溺愛シンデレラ
mushoku-kakutou-niito-konbatto	無職格闘-ニート・コンバット-
inaka-no-kuro-gal-jieikee-to-kekkon-shimashita	田舎の黒ギャルJKと結婚しました
ryuukishi-senmon-gakkou	竜騎士専門学校
tsuihousareta-sareta-koori-no-seijo-wa-bouen-no-ouji-ni-metorareru	追放された氷の聖女は暴炎の王子に娶られる
tsuihousareta-reijou-vivi-no-funtouki	追放令嬢ヴィヴィの奮闘記
tooboe-ni-koi	遠吠えに恋
nanda-kanda-de-onna-no-hashori-michi	なんだかんだで!女のはしょり道
hiiragi-buchou-no-panst-line	柊部長のパンストライン
40-made-ni-shitai-10-no-koto	40までにしたい10のこと
meme	メメ
kisaki-to-kawa	后と河
koi-kara-wa-nigerarenai	恋からは逃げられない
ijippari-na-senpai-no-shitsukekata	意地っ張りな先輩のしつけ方
oshi-kimono	推し着物
shiba-inu-pon-chan-kyou-mo-wagamichi-o-yuku	柴犬ぽんちゃん、今日もわが道を行く
miyama-to-nanase-wa-mada-tomodachi	深山と七瀬はまだ友達?
akimoto-osamu-no-naisu-na-choice-kochikame-live	秋本治のナイス!なチョイスこち亀live!!
golgo-13-shorty	ゴルゴ13 shorty
hal-s-moto	HAL'S MOTO
comic-mei-tantei-asami-mitsuhiko	コミック名探偵浅見光彦
aru-hi-kara-tsukaeru-you-ni-natta-teni-mahou-ga-bannou-de-ikiru-no-ga-tanoshiku-narimashita	ある日から使えるようになった転移魔法が万能で生きるのが楽しくなりました
comic-akagawa-jirou-mystery	コミック赤川次郎ミステリー
golgo-13-characters	ゴルゴ13 characters
kekkon-nochi-love	結婚、のち恋愛。
gikazoku-ni-shuuchaku-sarete-imasu	義家族に執着されています
sorosoro-no-dankai-desu	そろそろ×××の段階です!
motokare-shidou-kun-ni-kokuritai	モトカレ紫藤くんに告りたい!
monty-paradise	モンティパラダイス
daisuki-na-hito-nanoni-sefure-keiyaku-musunjaimashita	大好きな人なのにセフレ契約結んじゃいました…
koutei-to-chouki-wa-naka-ga-owarui	皇帝と寵姫は仲がお悪い
migawari-hime-wa-ringoku-no-yuumou-ou-ni-dekiai-dekiaisareru	身代わり姫は隣国の勇猛王に溺愛される
ato-wa-go-jiyuu-ni-douzo	あとはご自由にどうぞ!
henkutsu-saishou-osanazuma-ni-rouraku-dekiaisareru	偏屈宰相、幼妻に篭絡される
hime-no-otto-wa-maiban-kawaru	姫の夫は毎晩変わる
boukun-sama-wa-yasashiku-naritai	暴君様は優しくなりたい
suna-mahou-de-suna-no-oukoku-o-tsukurou	砂魔法で砂の王国を作ろう
ore-no-shoya-wa-nando-attemo-ii	おれの初夜は何度あってもいい.
katawarezuki-no-yoru-ni-naite	かたわれづきの夜に鳴いて
kono-koi-wa-kitto-amasugiru	この恋はきっと、甘すぎる
kore-wa-kitto-unmei-no-koi	これはきっと、運命の恋
hajimemashite-orenoshinyuu	はじめまして、オレの親友
baka-de-yowakute-buzama-demo	バカで弱くて無様でも
my-fair-killer	マイ・フェア・キラー
yanbaru-no-tatakai	ヤンバルの戦い
reitetsu-shachou-to-kozukuri-kon	冷徹社長と子づくり婚
kimi-ga-mata-kakidasu-sen	君がまた描きだす線
daikichi-soba	大吉蕎麦
gokudou-domu-sabu	極道dom/sub
monoushinai-gata-kirakira-blue	物失型キラキラブルー
gendaishi-no-naka-no-golgo-13	現代史の中のゴルゴ13
kami-spec-kami-darling	神スペック神ダーリン
watashi-o-futta-hito-no-kozukuri-aite-ni-meizeraremashita	私を振った人の子作り相手に命ぜられました
miyori-no-nai-onnanoko	身寄りのない女の子
3000-nen-fuuin-sareshi-jaryuu-chan-to-tomodachi-ni-narimashita	3000年封印されし邪龍ちゃんと友達になりました
and-again	And again
the-die-is-cast	The die is cast
anata-no-amai-kiba-de	あなたの甘い牙で
cut-back-end-roll	カットバック:エンドロール
secret-share-house	シークレットシェアハウス
twin-reincarnation	ツインリンカネーション
nonguzu	ノンぐず
papa-kari-wa-komando-nante-hoshikunai	パパ (仮) はコマンドなんて欲しくない
hitsuji-no-suimin-suishin-iinkai	ヒツジの睡眠推進委員会
lullaby-bye-lily	ララバイバイリリー
vanpaia-dekiaiparadaisu	ヴァンパイア♥溺愛パラダイス
chuunen-junai-syndrome	中年純愛シンドローム
jiko-bukken-tantei	事故物件探偵
ningyouhime-ha-migawari-ni-koori-no-ouji-no-moto-he-totsugu	人形姫は身代わりに氷の王子の元へ嫁ぐ
sajou-rihito-no-chichi-to-sono-buka	佐条利人の父とその部下
shokei-flag-mansai-no-kiraware-ouji-no-yarinaoshi	処刑フラグ満載の嫌われ皇子のやり直し
kuchibeni-o-tsukete-shussha-suru-shinnyuu-shine-ga-ki-ni-naru	口紅をつけて出社する新入社員が気になる
uso-niwa-mukanai-shokugyou-shiikueru	嘘には向かない職業sequel
shukuteki-na-hazu-ga-kare-no-mukidashi-no-dekiai-kara-hanareraremasen	宿敵なはずが、彼の剥き出しの溺愛から離れられません
misokagokoro	密心
kokoro-no-naka-ga-mieru-ouji-to-kokoro-no-naka-wa-makkuro-reijou	心の中が見える王子と心の中は真っ黒令嬢
medeyo-kaoruru-tsumugi-kaze	愛でよ!薫るるつむぎ風
haikei-tengoku-no-nee-san-yuusha-ni-natta-mei-ga-erosugite-oji-san-hogosha-toka-sorosoro-muri-desu	拝啓、天国の姉さん、勇者になった姪がエロすぎて-叔父さん、保護者とかそろそろ無理です+
oshi-koi	推し恋
binwan-hisho-ni-yuuwaku-saremashita	敏腕秘書に誘惑されました
hoshi-no-seijin	星の聖人
tsukiyo-no-mishin-koubou	月夜のミシン工房
honban-kinshi-ijiwaru-serapisuto-no-torotoro-dekiai-ryouhou	本番、禁止。いじわるセラピストのとろとろ溺愛療法
gokujou-kareshi-to-himitsu-no-amakoi	極上彼氏と秘密の甘恋
yuri-fetish-life	百合フェチLIFE
himegoto-o-ajiwatte	秘めごとを味わって
emu-no-rakuen	Mの楽園
anata-no-shiranai-kyoufu-no-sekai	あなたの知らない恐怖の世界
gomanetsu	ごまんえつ
yuu-chan	ゆうちゃん
comic-ran-selection-seirei-kakkin	コミック乱セレクション精励恪勤
shinpapa-to-hatsukoi-etude	シンパパと初恋エチュード
baldish-hotel	バルディッシュ・ホテル
yodan-to-kaidan	余談と怪談
yumekui	夢喰い
akuyaku-hime-desu-kirawarete-iru-hazu-no-ouji-to-kozukuri-shinaito-ikemasen	悪役姫ですが、嫌われているはずの王子と子作りしないといけません。
miseijuku-2024	未成熟
sanada-yukimura-wa-naze-nihonichi-no-tsuwamono-to-shousareta-noka	真田幸村はなぜ日本一の兵と称されたのか?
ura-aka-otoko-wa-dakaretai-seme-sama-no-1-ni-saretai	裏アカ男子は抱かれたい攻め様No. 1に××されたい
ura-aka-otoko-wa-dakaretai-seme-sama-no-1-ni-xx-saretai	裏アカ男子は抱かれたい攻め様No.1にXXされたい
migawari-nante-okotowari	身代わりなんてお断り!
noraneko-ni-piza	野良猫にピザ
hijoushiki-ni-mo-hodo-ga-aru	非常識にもほどがある!
aoi-shundou	あおい蠢動
akai-shundou	あかい蠢動
banashi-miraibanashi	むかし話みらい話
otokogi-2025	オトコギ。
guutenberuku-no-himitsu-no-tobira	グーテンベルクのひみつの扉
comic-ran-selection-sen-tan-banren	コミック乱セレクション千鍛万錬
comic-ran-selection-kennin-kaketsu	コミック乱セレクション堅忍果決
comic-ran-selection-soumei-gouki	コミック乱セレクション聡明剛毅
comic-ran-selection-eishi-sassou	コミック乱セレクション英姿颯爽
comic-ran-selection-sokusen-sokketsu	コミック乱セレクション速戦即決
comic-ran-selection-doutou-tetsugaku	コミック乱セレクション銅頭鉄額
changeling-elf	チェンジリングエルフ
tennis-no-yukimura-san	テニスの幸村さん
tennis-no-shiraishi-buchou	テニスの白石部長
tennis-no-atobe-sama	テニスの跡部様
neo-cat	ネオ・キャット
boku-wa-nisemono-no-kimi-ni-koi-o-suru	ボクはニセモノノキミに恋をする
majime-ni-ikitai-onagawa-san	マジめにイキたい小名川さん
jinsei-iroiro	人生色々
ore-isekai-de-torotoro-ni-aisarechattemasu	俺、異世界でとろとろに愛されちゃってます
machiawase-wa-sasoriza-no-dokoka-de	待ち合わせはさそり座のどこかで
tokugawa-ieyasu-to-sanada-yukimura	徳川家康と真田幸村
love-jakusha-no-bibouroku	恋愛弱者の美貌録
shinjuku-momiji-ike	新宿もみじ池
edo-o-sawagaseta-10-nin-no-onnatachi	江戸を騒がせた10人の女たち
ikizurai-mama-waraeta-nara	生きづらいまま笑えたなら
ikenie-no-seijo-wa-umarekawattemo-maou-sama-ni-ai-o-sasagu	生贄の聖女は生まれ変わっても魔王様に愛を捧ぐ
isekai-oni-joushi	異世界鬼上司
akimoto-osamu-no-naisu-na-choice-kochikame-50-shuunen	秋本治のナイス!なチョイスこち亀50周年!!
bidan-to-kaneko	美男と金子
datsuraku-reijou-no-kekkon	脱落令嬢の結婚
echigo-no-tora-uesugi-kenshin-ni-tenka-wa-toreta-noka	越後の虎・上杉謙信に天下は取れたのか。
