slug	title	year	missing
108p	108P!	2026	両方欠
4-kaku-manga-gekijou-mainkurafuto-anahori-seikatsu	4カクマンガ劇場マインクラフト穴ほり生活	2026	両方欠
adoribukararaimei	アドリブから雷鳴	2026	説明欠
agakimichiruran	吾が君散るらむ	2026	説明欠
agaribitonoatoshimatsu	アガリビトの後始末	2026	説明欠
aijin-okakoureitetsunahakushakutonotenkeitekinaseiryakukekkonsoshiteki	愛人を囲う冷徹な伯爵との典型的な政略結婚、そして嫌われからの溺愛、その結末。	2026	説明欠
aishiterutoomounaraba	愛してると思うならば	2026	説明欠
aisurukonyakushanikorosaretakoushakureijou-shinimodorishitehikarinokou	愛する婚約者に殺された公爵令嬢、死に戻りして光の公爵様 (お父様) の溺愛に気づく : 今度こそ、生きて幸せになります!	2026	説明欠
aitokairoiroarutokoro	愛とかいろいろあるところ	2026	説明欠
akagamierufunoosouzaiyasan	赤髪エルフのお惣菜屋さん	2026	説明欠
akinainingyotosoranohatsukoi	商い人魚と蒼空の初恋	2026	両方欠
akutousooegaku-buronsonnomangagensakushiron	悪と嘘を描く : 武論尊の漫画原作私論	2026	説明欠
akuyaku-reijou-ni-tensei-shitara-risou-no-heya-ga-te-ni-hairimashita	悪役令嬢に転生したら理想の部屋が手に入りました!	2026	両方欠
akuyaku-reisoku-ni-tensei-shitakedo-hametsu-end-wa-iya-nanode-shujinkou-o-sodatemasu	悪役令息に転生したけど、破滅エンドは嫌なので主人公を育てます	2026	両方欠
akuyaku-reisoku-wa-gyaku-harem-kara-nigedashitai	悪役令息は逆ハーレムから逃げ出したい	2026	キャッチ欠
akuyakukizokugahirakinaottehametsufuraguo-quot-jitsuryoku-quot-de	悪役貴族が開き直って破滅フラグを&quot;実力&quot;で叩き折っていたら、いつの間にかヒロイン達から英雄視されるようになった件	2026	説明欠
akuyakureijounoyuigonjou	悪役令嬢の遺言状	2026	説明欠
akuyakureijouttenowakouyarunoyo	悪役令嬢ってのはこうやるのよ	2026	説明欠
amanojakudanshitobetaboredanshi	あまのじゃく男子とベタ惚れ男子	2026	説明欠
amayakase-mazoku-domo	甘やかせ魔族ども	2026	両方欠
anatanomaousama	あなたのマ王さま	2026	説明欠
anatasamagawasuretehoshiitoosshaimashitanode-konyakuhakisaretawatakushigaji	貴方様が「忘れてほしい」とおっしゃいましたので : 婚約破棄された私が、従者から溺愛されるなんて	2026	説明欠
anenoinukaramegahanasenai	姉の犬から目が離せない	2026	説明欠
anoshimanouminesou	あの島の海音荘	2026	説明欠
arafookenjanoisekaiseikatsunikkizero-soodoandosoosarisuwaarudo	アラフォー賢者の異世界生活日記ZERO : ソード・アンド・ソーサリス・ワールド	2026	説明欠
aritojaiantsu-tezukaosamumisshingupiishizujubunairuwaakusu	アリと巨人 : 手塚治虫ミッシング・ピーシズジュブナイル・ワークス	2026	説明欠
arukekkonmaenofuukei	ある結婚前の風景	2026	説明欠
ashiyayamanoteodougugeihinkan-komikku	芦屋山手お道具迎賓館 : コミック	2026	説明欠
atamagakongaragatchigekijoukyounoyorugohanwaniku	あたまがコんガらガっち劇場「きょうのよるごはんは29」	2026	説明欠
awarenareirakukizokunokoiyukuhatewa	あわれな零落貴族の恋行く果ては	2026	説明欠
ayakashi-youkai-musume	あやかし妖怪娘	2026	両方欠
bakepen-no-mamiko-chan	バケペンのマミコちゃん	2026	キャッチ欠
bokuwajissaideichiokuenkaseida	僕は10歳で1億円稼いだ = 10-YEAR-OLD BILLIONAIRE	2026	説明欠
borutonarutonekusutojienereeshonzusutooriigaido-bifoozaribaasaru	BORUTO-ボルト--NARUTO NEXT GENERATIONS-STORY GUIDE : BEFORE THE REVERSAL	2026	説明欠
bungo-unreal	BUNGO-unreal-	2026	キャッチ欠
buruuejjiengeeji	ブルーエッジエンゲージ	2026	説明欠
byoujaku-shoujo-tensei-shite-kenkou-na-nikutai-saikyou-o-te-ni-ireru	病弱少女、転生して健康な肉体〈最強〉を手に入れる	2026	両方欠
chouhenkyounoryoushuaroonoseikatsu-nureginuokiseraretsuihousaremashi	超辺境の領主アローの生活 : 濡れ衣を着せられ追放されましたが、二人の女神と新生活を送ります	2026	説明欠
comic-ran-selection-tenkuu-kaikatsu	コミック乱セレクション天空海闊	2026	両方欠
daakuma-rushieru-no-kindan-no-yuuwaku	堕悪魔ルシェルの禁断の誘惑	2026	両方欠
darling-wa-80-sai	ダーリンは80歳	2026	両方欠
dashichaimashousenpai	だしちゃいましょう先輩!	2026	説明欠
dekaiusagininatsukareta	デカいうさぎに懐かれた!?	2026	説明欠
doesushachouwadoemuhishooijimetai-ofisudenuretorogangurebyuu	ドS社長はドM秘書をいじめたい : オフィスでぬれとろ玩具レビュー	2026	説明欠
doku-o-kurawaba-sakura-made	毒を喰らわばサクラまで	2026	両方欠
doragemisu	ドラゲミス	2026	キャッチ欠
douyara-binbou-danshakuke-no-suekko-ni-tensei-shita-rashii-desu	どうやら貧乏男爵家の末っ子に転生したらしいです	2026	両方欠
eichipiigodesukedoootohiirugaarebashinimasen	HP5ですけど自動治癒があれば死にません!	2026	説明欠
elf-no-koubi	エルフの交尾	2026	両方欠
enmusubireijougamoteoujinokonkatsuotetsudattaranazekakudokareteirunode	『縁結び令嬢』がモテ王子の婚活を手伝ったら、なぜか口説かれているのですが!? 上	2026	説明欠
epic-of-golgo-13	Epic of ゴルゴ13	2026	両方欠
erufunomonchankoukousei	エルフのモンちゃん高校生!!	2026	説明欠
erufusannomahouryouriten-youseijooutoshitetenseishitakeredo-mazuha	エルフさんの魔法料理店 : 妖精女王として転生したけれど、まずはのんびりお料理作りまくります!	2026	説明欠
erufusenseitoyobanaide	エルフ先生と呼ばないで!	2026	説明欠
fantajiiginga-nandeuchuunigoburinyaookugairunda	ファンタジー銀河 : 何で宇宙にゴブリンやオークが居るんだ	2026	説明欠
fumi-yukaba	文ゆかば	2026	両方欠
futsuunohonwaarimasen	普通の本はありません!	2026	説明欠
gakeppuchireijouwakishisamanokyuuainikizukanai	崖っぷち令嬢は騎士様の求愛に気づかない	2026	説明欠
gankawakuraikeiousendesu	眼下は昏い京王線です	2026	説明欠
geemunosekainitenseishitaoregamarumaruninarumade	ゲームの世界に転生した俺が○○になるまで	2026	説明欠
gekkounokyoushitsu	月虹の教室	2026	説明欠
genroku-yawahada-ki-tan-midare-mandala	元禄柔肌奇譚みだれまんだら	2026	両方欠
ginmakuromansu-shiitagerarekazokureijougareikokudannasamanosaiainina	銀幕ロマンス	2026	説明欠
gintamasannenzuiigumiginpachisensei	銀魂3年Z組銀八先生	2026	説明欠
glass-no-kutsu-hakasemasu	ガラスの靴、はかせます!	2026	両方欠
gohannootomooatosukoshi	ごはんのおともをあと少し	2026	説明欠
gokujoshi-gokudoujoshishougakuseininaru	ごくじょし : 極道、女子小学生になる	2026	説明欠
gosenroppyakusainofuroufushiinfuruensaaiwaku	5600歳の不老不死インフルエンサーいわく。	2026	説明欠
gozennijinohaatofizu	午前2時のハートフィズ	2026	説明欠
gunyochanwashippaisakujanai	ぐにょちゃんは失敗作じゃない!	2026	説明欠
gyakkounokuruchan	虐幸のくるちゃん	2026	説明欠
gyakkyounimakenaichaariiburaun	逆境に負けないチャーリー・ブラウン	2026	説明欠
gyarugishichannoyabeenichijou-houshasengishinokawaikunaioshigoto	ギャル技師ちゃんのやべぇ日常 : 放射線技師のかわいくないお仕事	2026	説明欠
gyouten-no-crown	暁天のクラウン	2026	両方欠
hadaka-no-shouzou	裸の肖像	2026	キャッチ欠
haikaburitohimitsunoyakata	灰かぶりと秘密の館	2026	説明欠
hakushinouedesayounara	白紙の上でさようなら	2026	両方欠
hametsu-machi-akuyaku-reijou-wa-zetsurin-kikoushi-ni-dakitsubusareru	破滅待ち悪役令嬢は絶倫貴公子に抱きつぶされる	2026	両方欠
hangyaku-no-nijigasaki	叛逆のニジガサキ	2026	キャッチ欠
hatori-to-furuta-no-hinichijou-sahanji	羽鳥と古田の非日常茶飯事	2026	キャッチ欠
hatsukoinoyukuewanidomenokisukara	初恋のゆくえは二度目のキスから	2026	説明欠
hayaku-ore-ni-ochinasai	はやく俺に落ちなさい	2026	両方欠
hayamirasenjinnobashaumadaisakusenbisu	速水螺旋人の馬車馬大作戦bis = Операция&quot;Рабочая лощадь&quot;bis. 赤本	2026	説明欠
henshin-hero-tanjou	変身ヒーロー誕生	2026	両方欠
high-school-hack-and-slash	ハイスクールハックアンドスラッシュ	2026	キャッチ欠
himebushoumasamunemairu	姫武将まさむね参る!! ぼんたん激動編	2026	説明欠
hitori-de-shinu-no-wa-iya-da	独りで死ぬのはイヤだ	2026	両方欠
hitoyo-kagiri-no-hazu-ga-cool-na-teiou-no-netsuretsu-kyuuai-ga-hajimarimashita	一夜限りのはずが、クールな帝王の熱烈求愛が始まりました	2026	両方欠
honneoiebadakaretai	本音を言えば抱かれたい	2026	説明欠
hoshinokaabiimottopupupunamainichi	星のカービィもっと!!プププなまいにち	2026	説明欠
hoshinokaabiiyuruttopupupu	星のカービィゆるっとプププ. きょろきょろ編	2026	説明欠
hoshinokawariniaishiteyaruyo	星のかわりに愛してやるよ	2026	説明欠
houkagobokakende	放課後、ボカ研で!	2026	説明欠
ichijouhanaowakoioshiranai	一条華緒は恋を知らない	2026	説明欠
ichiru-no-nozomi	いちるののぞみ	2026	両方欠
ieoowaretareijouwakuronekooujinookiniiri-norowaretakuronekowasugata	家を追われた令嬢は黒猫王子のお気に入り : 呪われた黒猫は姿を消した王子様でした	2026	説明欠
ii-fuufu-1122-dai-fuufu-no-baai	1122五代夫婦の場合	2026	キャッチ欠
ijiwaru-joushi-ga-deretara-metcha-dekiai-ga-tomarimasentsu	いじわる上司がデレたら、めっちゃ溺愛が止まりませんっ	2026	両方欠
ikagoriranodoeraigenkigaderumanga	いかゴリラのどえらい!元気が出るマンガ	2026	説明欠
ikasamanashinokisugashitai	イカサマなしのkissがしたい	2026	説明欠
ikeniehimenokoufuku-kodokunanienoshoujowamamononoounohanayometonaru	生贄姫の幸福 : 孤独な贄の少女は、魔物の王の花嫁となる	2026	説明欠
ima-kimi-ni-furetai	今君に触れたい。	2026	両方欠
imamadebakanisareteitakiyowareijounitenseishitaratondemonaikotoninatta	今まで馬鹿にされていた気弱令嬢に転生したら、とんでもない事になった話、聞く?	2026	説明欠
inko-demo-seishun-shitai	インコでも青春したい	2026	キャッチ欠
inunekosanbikinadetemonadetemotegatarinai	犬猫3匹、撫でても撫でても手が足りない	2026	説明欠
irezumitopiasutokoigokoro	刺青とピアスと恋心	2026	説明欠
isekai-dungeon-seikatsu	異世界ダンジョン性活	2026	両方欠
isekaidehanmanokodomoosodatetarayanderenisodatta	異世界で半魔の子供を育てたらヤンデレに育った	2026	説明欠
isekaidekajishinnochikaraoetaore-megamitosurooraifuhajimemashita	異世界で鍛冶神の力を得た俺、女神とスローライフはじめました。	2026	説明欠
isekaidemojoousama	異世界でも女王様	2026	説明欠
isekaihaaremumassaaji-goddohandodenayamerumonsutaamusumetachiomomihogu	異世界ハーレムマッサージ : 神の指圧で悩めるモンスター娘たちを揉みほぐす!	2026	説明欠
