slug	title	volumes	missing
shizukanaru-don	静かなるドン	162	説明欠
tsuribaka-nisshi	釣りバカ日誌	133	説明欠
nijitte-monogatari	弐十手物語	130	両方欠
edomae-no-shun	江戸前の旬	130	説明欠
chibi-hontou-ni-atta-waraeru-hanashi	ちび本当にあった笑える話	117	両方欠
tenpai	天牌	116	説明欠
jojo-no-kimyouna-bouken	ジョジョの奇妙な冒険	113	両方欠
manga-nippon-no-rekishi	マンガ日本の歴史	110	キャッチ欠
meitantei-conan	名探偵コナン	108	キャッチ欠
mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	103	両方欠
yowamushi-pedal	弱虫ペダル	99	説明欠
wild-7	ワイルド7	95	説明欠
sangokushi	三国志	90	説明欠
tasogare-ryuuseigun	黄昏流星群	89	説明欠
tsurikichi-sanpei	釣りキチ三平	81	説明欠
soumubu-soumuka-yamaguchi-roppeeta	総務部総務課山口六平太	81	両方欠
zero	ゼロ	78	両方欠
marugoshi-deka	まるごし刑事	75	両方欠
slam-dunk	SLAM DUNK	75	説明欠
yuuyake-no-uta	夕焼けの詩	72	両方欠
urusei-yatsura	うる星やつら	71	説明欠
sazae-san	サザエさん	68	説明欠
rokudenashi-blues	ろくでなしblues	67	説明欠
rekka-no-honoo	烈火の炎	67	説明欠
super-doctor-k	スーパードクターK	66	説明欠
zipang	ジパング	65	説明欠
pocket-monsters-special-2014	Pocket monsters special	64	キャッチ欠
ryuu	龍	63	説明欠
tetsuya	哲也	63	説明欠
zettai-karen-children	絶対可憐チルドレン	63	説明欠
ushio-to-tora	うしおととら	62	説明欠
emblem-take2	代紋TAKE2	62	両方欠
mandaraya-no-ryouta	まんだら屋の良太	61	両方欠
shijou-saikyou-no-deshi-kenichi	史上最強の弟子ケンイチ	61	説明欠
yajikita-gakuen-douchuuki	やじきた学園道中記	60	説明欠
4p-tanaka-kun	4P田中くん	60	両方欠
yuugi-ou	遊・戯・王	60	両方欠
shin-kobo-chan	新コボちゃん	60	両方欠
wataru-ga-pyun	わたるがぴゅん!	58	説明欠
hotel	ホテル	58	両方欠
sake-no-hosomichi	酒のほそ道	58	説明欠
meshibanakeijitachibana	めしばな刑事タチバナ	58	説明欠
tsurikichi-sanpei-classic	釣りキチ三平classic	57	両方欠
sakigake-otokojuku	魁!!男塾	56	説明欠
waru	悪女	56	説明欠
kenkaku-shoubai	剣客商売	56	両方欠
gekiga-ningen-kakumei	劇画人間革命	55	キャッチ欠
samurai-deeper-kyo	SAMURAI DEEPER KYO	55	説明欠
violence-jack	バイオレンス・ジャック	54	説明欠
senri-no-michi-mo	千里の道も	54	説明欠
ajia-he-no-michi	千里の道も-アジアへの道-	54	キャッチ欠
souten-kouro	蒼天航路	54	説明欠
tennis-no-ouji-sama	テニスの王子様	54	説明欠
shiroi-suit-yamato	白い戦士ヤマト	53	説明欠
kariage-kun	かりあげクン	53	両方欠
honnyaragokko-kariage-kun	ほんにゃらゴッコ かりあげクン	53	両方欠
tekken-chinmi	鉄拳チンミ	53	説明欠
boy	BOY	53	説明欠
nanahan-rider	750ライダー	52	両方欠
tensai-bakabon	天才バカボン	52	説明欠
pazurugeemuhaisukuuru	パズルゲーム☆はいすくーる	52	説明欠
skip-beat	スキップ・ビート!	52	説明欠
karate-baka-ichidai-1972	空手バカ一代	51	キャッチ欠
touch	タッチ	51	説明欠
the-chef	ザ・シェフ	51	説明欠
tensai-yanagisawa-kyouju-no-seikatsu	天才柳沢教授の生活	51	説明欠
eleven	イレブン	50	キャッチ欠
salaryman-kintarou	サラリーマン金太郎	50	説明欠
