name	n_persons	authority_ids	names_yomi
ハル	4	001130919,001244558,001244876,001276638	001130919:ハル() || 001244558:ハル() || 001244876:ハル() || 001276638:ハル()
渡辺明	3	001348578,00713583,01099756	001348578:渡辺明() || 00713583:渡辺明() || 01099756:渡辺明()
うめ	3	001278634,00874004,01132742	001278634:うめ() || 00874004:うめ() || 01132742:うめ()
模造クリスタル	3	001198649,001258521,032037533	001198649:模造クリスタル() || 001258521:模造クリスタル() || 032037533:模造クリスタル()
momo	3	001099441,00167809,032384732	001099441:momo() || 00167809:momo() || 032384732:momo()
高橋直樹	3	001174382,00369908,00970293	001174382:高橋直樹() || 00369908:高橋直樹() || 00970293:高橋直樹()
桜小路むつみ	2	001252117,00171964	001252117:桜小路むつみ() || 00171964:桜小路むつみ()
青乃下	2	001325574,001332782	001325574:青乃下() || 001332782:青乃下()
内田健	2	001141100,031612762	001141100:内田健() || 031612762:内田健()
高木亮	2	001312710,01237209	001312710:高木亮(タカギ, アキラ, 1967-) || 01237209:高木亮()
MOTOKO	2	001329598,034007247	001329598:MOTOKO() || 034007247:MOTOKO()
背筋	2	001331236,033140293	001331236:背筋() || 033140293:背筋()
林真理子	2	00017878,00129352	00017878:林真理子() || 00129352:林真理子()
ゆきの	2	001256538,00660873	001256538:ゆきの() || 00660873:ゆきの()
ユウキレイ	2	001293587,001354683	001293587:ユウキレイ() || 001354683:ユウキレイ()
アカツキ	2	001173663,01240254	001173663:アカツキ() || 01240254:アカツキ()
白井裕子	2	001298331,00987822	001298331:白井裕子() || 00987822:白井裕子()
猿渡かざみ	2	001293370,001338803	001293370:猿渡かざみ() || 001338803:猿渡かざみ()
McNivenSteve	2	001095174,001298278	001095174:McNivenSteve() || 001298278:McNivenSteve()
トビワシオ	2	001278302,001350843	001278302:トビワシオ() || 001350843:トビワシオ()
木村和久	2	001362460,00200298	001362460:木村和久() || 00200298:木村和久()
前川かずお	2	00119596,00980755	00119596:前川かずお() || 00980755:前川かずお()
ばたこ	2	001239484,001362450	001239484:ばたこ() || 001362450:ばたこ()
むらむら	2	001315941,01157251	001315941:むらむら() || 01157251:むら・むら()
武田充司	2	00079468,001179944	00079468:武田充司() || 001179944:武田充司()
あちゅむち	2	001172900,001217238	001172900:あちゅむち() || 001217238:あちゅむち()
タチバナ	2	001264930,034358592	001264930:タチバナ() || 034358592:タチバナ()
上下左右	2	001245212,033232721	001245212:上下左右() || 033232721:上下左右()
島本和彦	2	00136132,01129511	00136132:島本和彦() || 01129511:島本和彦()
高山しのぶ	2	00107709,01142600	00107709:高山しのぶ() || 01142600:高山しのぶ()
さがみしか	2	001260885,001316135	001260885:さがみしか() || 001316135:さがみしか()
桜井寛	2	00324101,033168496	00324101:桜井寛() || 033168496:桜井寛()
小虎	2	001253547,01163963	001253547:小虎() || 01163963:小虎()
い～どぅ～	2	001143507,032217573	001143507:い～どぅ～() || 032217573:い～どぅ～()
山口敏太郎	2	00131593,00886623	00131593:山口敏太郎() || 00886623:山口敏太郎()
さくら蒼	2	031278764,031286269	031278764:さくら蒼() || 031286269:さくら蒼()
黒澤R	2	001228404,01171517	001228404:黒澤R() || 01171517:黒澤R()
めきめき	2	001131351,001253197	001131351:めきめき() || 001253197:めきめき()
zen9	2	001101291,001127555	001101291:zen9() || 001127555:zen9()
