author	class	authority_ids	ndl_works
しのとうこ	unresolved		6
佐東ゆかり	unresolved		5
ダイナミックプロダク	unresolved		4
サイトウマド	new	034089016	3
Elephant Kim	new	033853545	2
Karl	unresolved		2
Plutus	known	001325809	2
SAEKI	unresolved		2
mirudora	unresolved		2
かすが龍	known	032924761	2
とこのま	unresolved		2
もろみ新	new	033970769	2
やしろ慧	known	001265335	2
ゆっ栗栖	new	034091215	2
れい	unresolved		2
シャイン・ナビス	unresolved		2
シロリ	new	034086957	2
学慶人	known	001353879	2
小津リオ	new	033972184	2
押川雲太郎	unresolved		2
牛舌	new	033972261	2
緒沢亜美	new	033853600	2
耳式	known	001182538	2
裏筋侍	unresolved		2
鈴木竜一	known	001318029	2
雨宮ミズキ	unresolved		2
音無砂月	known	001285357	2
AK壱乃	new	033760493	1
BRLL	unresolved		1
ChaeHabin	known	001353783	1
CoelhoPaulo	unresolved		1
DUBU	known	001339729	1
DevineCarol	new	00512874	1
Evanier	unresolved		1
Flugel	unresolved		1
HenryO	known	00443080	1
INAGO	unresolved		1
KimMango	new	033980727	1
LetoJulie Elizabeth	new	00807914	1
LustUlli	unresolved		1
M.M.A.編集室	unresolved		1
Mindo	new	033980725	1
NiclouxPh	unresolved		1
Pina	unresolved		1
Spoon	known	001325808	1
SteeleJessica-2020	known	00457524	1
Yoteh	new	033980724	1
chick	new	033762438	1
kimimaro	known	001191472	1
konnyaku	unresolved		1
meeco	known	001355241	1
merorico	unresolved		1
mkdeville	unresolved		1
mucco	unresolved		1
nぽぽ	unresolved		1
untsuku	unresolved		1
waves	unresolved		1
「タカシ」	unresolved		1
いつつせ	unresolved		1
いとうぎりこ	new	033868220	1
うかみ	known	001130960	1
うがつまつき	known	001188103	1
えーすけ	unresolved		1
おそまつ	unresolved		1
おもち	unresolved		1
おわりにんげん	unresolved		1
かに村えびお	unresolved		1
かると	unresolved		1
きづかかずき	unresolved		1
きょくちょ	unresolved		1
くぅぱぁ	unresolved		1
けーき	unresolved		1
こぐまひかり	new	034090087	1
こーり	unresolved		1
さいおがうま	unresolved		1
さかさな	new	033812458	1
ささきpub. 2025	unresolved		1
しゃよー	unresolved		1
しわすだ	known	001185288	1
すみ	unresolved		1
そら豆さん	unresolved		1
たかしな浅妃	unresolved		1
たけはらひなこ	unresolved		1
だいじ	unresolved		1
ちゅーりっふ。	unresolved		1
ちょいぴろ	unresolved		1
ちるまくろ	unresolved		1
つるおみ	unresolved		1
とこわん	unresolved		1
どじろー	unresolved		1
ねこうめ	known	001219972	1
はせがわ	unresolved		1
はっせん	unresolved		1
はらだ有彩	new	001297325	1
ひし形とまる	unresolved		1
ひなせ瓜	unresolved		1
ぴざぬこ	unresolved		1
ぶらんらん	unresolved		1
へたれん	unresolved		1
べってぃ	unresolved		1
ほろばいさ子	known	001255564	1
ぼるしち	unresolved		1
ぽにく	unresolved		1
めぬ。	unresolved		1
よっしー	unresolved		1
りりく旅行	unresolved		1
わかちこ	known	001260483	1
を図さとる	unresolved		1
アスナキハル	unresolved		1
エロ井ロエ	unresolved		1
カトリーヌ・ドゥ・ウェルウッド	new	032847686	1
カナメキヌコ	unresolved		1
カメユ	unresolved		1
ガラナ純和子	unresolved		1
スピリタス太郎	unresolved		1
セメント食べ太郎	new	034494116	1
ソノヘンノ高橋	new	034081797	1
タイガー	unresolved		1
タカば	unresolved		1
ナポ	unresolved		1
ハルヒマチ	new	033747634	1
ファウノーラ	unresolved		1
フグタ家	unresolved		1
フロモチ	unresolved		1
ベコ太郎	unresolved		1
ベストカー編集部	unresolved		1
マルティネスマーク	unresolved		1
ミャモ	unresolved		1
モコ	unresolved		1
ヴァリオス	unresolved		1
一条真也	unresolved		1
七草天音	unresolved		1
三村尚央	unresolved		1
三輪有利佳	new	034494122	1
不破希海	new	033970607	1
中村環	unresolved		1
京ゆき緒	unresolved		1
伊図透	known	001138097	1
佐伊村司	known	001182702	1
佐藤駿光	known	001355070	1
兎月りか	known	032106601	1
六つ花えいこ	known	001196283	1
劇場版忍たま乱太郎製作委員会 監修・	unresolved		1
加茂ユウジ	known	001211301	1
北爪	unresolved		1
南寝	new	033751896	1
南瓜かぷちー	unresolved		1
只野めざし	unresolved		1
可座ミドリ	unresolved		1
和泉杏咲	unresolved		1
和知杏佳	new	001306476	1
圓山りす	unresolved		1
塔栄のりこ	unresolved		1
外園	unresolved		1
天乃輝	unresolved		1
姶蜜	unresolved		1
学研プラス	new	001214003	1
宇加創陽	new	034489065	1
安藤敬而	known	001323921	1
宏幸	unresolved		1
宮澤伊織	known	001092484	1
富塚ミヤコ	known	001201613	1
富野	unresolved		1
寺本実月	known	001348750	1
小箱みみず	unresolved		1
小菅信子	unresolved		1
小野崎えいじ	known	001202176	1
層積	unresolved		1
山中康秀	unresolved		1
山中愛子	unresolved		1
山中邦一	unresolved		1
山中隆志	unresolved		1
山梨ユウヤ	unresolved		1
山田ゴゴゴ	unresolved		1
川奈あさ	new	033370779	1
川田じゅん	unresolved		1
平丸あきら	unresolved		1
幸せな朝食。	unresolved		1
式守	new	033812326	1
御前モカ	known	001237020	1
愉快田うちお	unresolved		1
戸部田誠	unresolved		1
才田もちお	unresolved		1
斎原	new	033837421	1
旅口工路	unresolved		1
旅烏	unresolved		1
早名ロク	unresolved		1
星かっぺ	unresolved		1
春乃井めめ	unresolved		1
景山玄都	unresolved		1
朔月	unresolved		1
朝際イコ	known	034176591	1
本田もなか	new	033760480	1
朱子すず	known	001222286	1
東ふゆ	known	001310776	1
松島叶杷	new	033811328	1
枡野俊明	unresolved		1
枢呂紅	known	001279297	1
柴崎ショージ	unresolved		1
桂あいり	known	001186882	1
桂実	unresolved		1
桃色アザラシ	unresolved		1
梅久	unresolved		1
森キヨウ	known	001325745	1
森健三	new	034088266	1
森木	unresolved		1
植朗子	unresolved		1
橙織ゆぶね	unresolved		1
櫻井タイキ	known	001268839	1
櫻井亜矢子	unresolved		1
殆ど死んでいる	known	001309412	1
水守真子	known	001286597	1
永岡綾	unresolved		1
池尻モジオ	unresolved		1
湊谷雪子	unresolved		1
灼	known	001123640	1
片栗粉	unresolved		1
片瀬茶柴	known	001215100	1
牛タン	unresolved		1
猫夜	unresolved		1
猫田れお	new	034494138	1
由悠季	unresolved		1
白菊	unresolved		1
百済児廿日	unresolved		1
矢倉喬士	unresolved		1
矢立	unresolved		1
石川真衣1988- 版画家	new	033868208	1
石黒正	unresolved		1
砂場遊	unresolved		1
神埼たわ	known	001150973	1
空蜂ミドロ	unresolved		1
粕谷まこ	unresolved		1
緒原博綺	known	001165543	1
緒方俊輔	known	001100338	1
羊の目	known	001307418	1
肇	unresolved		1
肉棒魔羅ノ進	unresolved		1
背中が尻	unresolved		1
胡枩遼	new	033732451	1
腐蝕	unresolved		1
花園照輝	new	034496182	1
菊薊薫	unresolved		1
蒔	new	034488881	1
藤原	unresolved		1
蘭田夢	unresolved		1
西山アラタ	known	001290145	1
観乃ふみ	new	033765889	1
豚宝	new	034493294	1
赤星ジェイク	known	001130913	1
赤木リオ	unresolved		1
里中はるか	unresolved		1
野田ぐり	unresolved		1
長山靖生	unresolved		1
長田信織	known	001176658	1
雪見桜	unresolved		1
霞雪誠	unresolved		1
青井さび	known	001308575	1
青砥あか	known	001145875	1
風来山	known	001194238	1
飛水晶名	new	034498244	1
香山リム	unresolved		1
馬胃	unresolved		1
高寛	unresolved		1
高尾まこと	new	033765867	1
高山理図	known	001199348	1
高岡ゆう	known	001225297	1
高岡智空	unresolved		1
高松翼	known	001227616	1
魚山ケイジ	unresolved		1
