author	ndl_works	years	sample_title	publishers
しのとうこ	6	2024,2025	薬屋のひとりごと : 猫猫の後宮謎解き手帳 18	小学館
佐東ゆかり	5	2024,2025	皇帝陛下のスキャンダル☆ベイビー : 逃亡するはずが	竹書房
ダイナミックプロダク	4	2024	ゲッターロボG	玄光社
サイトウマド	3	2025	怪獣を解剖する. 上	KADOKAWA
Elephant Kim	2	2024	乙女ゲームの最強キャラたちが私に執着する. 1	白泉社
Karl	2	2025	KING of the PARADISE	ジーオーティー
Plutus	2	2024,2025	ある日、お姫様になってしまった件について = ONE	KADOKAWA
SAEKI	2	2025	アンダーザスカート	コアマガジン
mirudora	2	2025	イケナイことだ～いすき	ジーオーティー
かすが龍	2	2024,2026	異世界メタラー = isekai metaller.	ヒーローズ
とこのま	2	2024,2025	稲穂くんは偽カノジョのはずなのに = Inaho-k	アース・スターエンターテイメント
もろみ新	2	2025	かさねがさねの初恋ですが. 1	白泉社
やしろ慧	2	2025	鬼狩り神社の守り姫. 1	KADOKAWA
ゆっ栗栖	2	2025	俺堕ちスレイブヒーローコレクション = OREOCH	KADOKAWA
れい	2	2025	キミの本性を曝して	ジーオーティー
シャイン・ナビス	2	2025	淫謀	ワニマガジン社
シロリ	2	2025	帰り道はずっと君と. 上	白泉社
学慶人	2	2024,2025	アオバノバスケ. 7	講談社
小津リオ	2	2025	この探偵、欲張りにつき	KADOKAWA
押川雲太郎	2	2024	オーラス : 裏道の柳. 7	日本文芸社
牛舌	2	2025	鬼狩り神社の守り姫. 1	KADOKAWA
緒沢亜美	2	2024,2025	鐵くんと最強の恋 = The strongest l	講談社
耳式	2	2024,2025	蠱毒の胡蝶はどんな夢を見るのか? 1	KADOKAWA
裏筋侍	2	2025	裏本. 上	コアマガジン
鈴木竜一	2	2024	工芸職人はセカンドライフを謳歌する. 1	アルファポリス
雨宮ミズキ	2	2025	キミ推しっ!	コアマガジン
音無砂月	2	2025	運命の番?ならばその赤い糸とやら切り捨てて差し上げま	TOブックス
AK壱乃	1	2024	交換日記がおわっても = EVEN AFTER TH	KADOKAWA
BRLL	1	2024	淫蕩神楽 : 穢れなき乙女が快楽に沈むまで	キルタイムコミュニケーション
ChaeHabin	1	2024	アデライド = La Dolce Vita di A	KADOKAWA
CoelhoPaulo	1	2024	アルケミスト : 夢を旅した少年	KADOKAWA
DUBU	1	2024	俺だけレベルアップな件. 18	KADOKAWA
DevineCarol	1	2024	売られた花嫁	ハーパーコリンズ・ジャパン
Evanier	1	2025	エッセンシャル・ピーナッツ : 史上最高の漫画と世界	河出書房新社
Flugel	1	2025	くぎづけはーと	文苑堂
HenryO	1	2024	オー・ヘンリーの魔女のパン	風濤社
INAGO	1	2025	おんなのことらんす	文苑堂
KimMango	1	2025	悪女は楽で最高ですが? 1	一迅社
LetoJulie Elizabeth	1	2024	赤い誘惑	ハーパーコリンズ・ジャパン
LustUlli	1	2025	今日が人生最後の日	シュークリーム
M.M.A.編集室	1	2025	攻殻機動隊MESSED MESH AMBITIONS	講談社
Mindo	1	2025	悪女は楽で最高ですが? 1	一迅社
NiclouxPh	1	[202	AKUTAGAWA&#39;S RASHÔMON a	チャールズ・イー・タトル出版
Pina	1	2024	X-MEN. Vol.2	小学館集英社プロダクション
Spoon	1	2025	ある日、お姫様になってしまった件について = ONE	KADOKAWA
SteeleJessica-2020	1	2024	愛の金曜日	ハーパーコリンズ・ジャパン
Yoteh	1	2025	悪女は楽で最高ですが? 1	一迅社
chick	1	2024	キャンドルと魔女 = CANDLE &amp; WI	KADOKAWA
kimimaro	1	2024	家で無能と言われ続けた俺ですが、世界的には超有能だっ	スクウェア・エニックス
konnyaku	1	2025	愛にイクよ!	ワニマガジン社
meeco	1	2024	おかしな魔法洋裁店 = Enchanted Swee	イースト・プレス
merorico	1	2024	君のこと好きになりたくないのに = I don&#3	文苑堂
mkdeville	1	[202	AKUTAGAWA&#39;S RASHÔMON a	チャールズ・イー・タトル出版
mucco	1	2024	異世界行ったら私の職業『野生児』だった. 3	KADOKAWA
nぽぽ	1	2024	イメ★プレ : 悩める官能小説家と濡れ場実演	東京漫画社
untsuku	1	2025	あうとろー	ワニマガジン社
waves	1	2025	甘い時間と滴る日々	文苑堂
「タカシ」	1	2025	エンドレス	ワニマガジン社
いつつせ	1	2025	ざんげしゃせ～	ワニマガジン社
いとうぎりこ	1	2024	恋でとけるギルド・ザ・リリー	KADOKAWA
うかみ	1	2024	ガヴリールドロップアウト = Gabriel Dro	KADOKAWA
うがつまつき	1	2024	虚ろなるレガリア = THE HOLLOW REGA	KADOKAWA
えーすけ	1	2024	いたずらごころ	ワニマガジン社
おそまつ	1	2024	あの娘はおじさんの穴	ワニマガジン社
おもち	1	2025	異世界バッドエンド	ワニマガジン社
おわりにんげん	1	2025	ガール・パセス・ボーイ	コアマガジン
かに村えびお	1	2025	こんな世界でナニすんの!?	ワニマガジン社
かると	1	2025	えちえち実況配信者を寝取るオレ	あまとりあ社
きづかかずき	1	2026	エロ漫研とかにようこそ!	ワニマガジン社
きょくちょ	1	2024	楓と鈴	文苑堂
くぅぱぁ	1	2025	繰り返しイかされ続ける女たち	ゲネシス
けーき	1	2025	君の隣にはいられない	サイコロブックス
こぐまひかり	1	2025	こぐまくんとハムさん	KADOKAWA
こーり	1	2025	煙る恋情	文苑堂
さいおがうま	1	2024	空想カノジョのグリモワール	ワニマガジン社
さかさな	1	2024	おままごとのおわり。 : さかさな短編集	一迅社
ささきpub. 2025	1	2025	ごはんの時間ですっ!	ブライト出版
しゃよー	1	2025	田舎にはこれくらいしか娯楽がない	ジーオーティー
しわすだ	1	2024	居酒屋ぼったくり. 10	アルファポリス
