slug	title	authors	isbn1	vols	status
ijiwaruonzoushinokanbinadokuga	イジワル御曹司の甘美な毒牙	朱琳/河野美姫	9784596712943	2	empty_no_material
kiminokanpekixxxnikoishiteru	キミの完璧×××に恋してる	ノノダイツミ	9784758027748	1	empty_no_material
osananajimiinmajijou	幼なじみ淫魔事情	わかちこ	9784910582474	1	empty_no_material
omamagotonoowari	おままごとのおわり。	さかさな	9784758027960	1	web_generated_unverified
osewaninarimasu-onakaippai-modaamaseikatsu	お世話になります! お腹いっぱい、もだあま生活	なるせまこと	9784776755289	2	web_generated_unverified
omiaiaitehasssrea	お見合い相手はSSSレア!?	南香かをり	9784776754879	2	web_generated_unverified
kujiranooshitatesan	くじらの御仕立さん	灼	9784758076333	1	web_generated_unverified
korewakitto-unmeinokoi	これはきっと、運命の恋	ぺこまる	9784776754923	3	web_generated_unverified
akurotorippu	アクロトリップ	佐和田米	9784088674988	5	web_generated_unverified
anchi-feiku-marijji	アンチ・フェイク・マリッジ	幾がお	9784758027731	1	web_generated_unverified
inkyubasu-rabu-chaamu	インキュバス・ラブ・チャーム	盛山タルタル	9784758028622	1	web_generated_unverified
infinitto-sutaa	インフィニット・スター	須野なつこ	9784403669439	1	web_generated_unverified
urufuchanwasumashitai	ウルフちゃんは澄ましたい	ホンノシオリ	9784758027182	2	web_generated_unverified
eriitogaikoukannokoukatsunakyuukon	エリート外交官の狡猾な求婚	汐宮ゆき/伊月ジュイ	9784596717412	2	web_generated_unverified
oohenriinomajonopan	オー・ヘンリーの魔女のパン	オー・ヘンリー/川田じゅん	9784892194665	1	web_generated_unverified
kuurunaonzoushiwasaiainomamatoshiikurettobebiiodek	クールな御曹司は最愛のママとシークレットベビーを溺愛したい	橘テルエ/桜井響華	9784596715111	2	web_generated_unverified
gerendemajikku101gou	ゲレンデマジック101号	日暮くれ	9784813033998	1	web_generated_unverified
oretachishinkonnanode	俺たち新婚なので	白松	9784758028608	1	web_generated_unverified
kanchigainoatoriemaisutaa	勘違いの工房主	時野洋輔/古川奈春	9784434257476	12	web_generated_unverified
kawaiiusonokawauso	可愛い嘘のカワウソ	Lommy	9784047356870	5	web_generated_unverified
kiminonaha	君の名は。	新海誠/琴音らんまる	9784040685090	3	web_generated_unverified
okusamanisuteraretahakushakusama	奥様に捨てられた伯爵様	セメント食べ太郎/三輪有利佳	9784758089050	2	web_generated_unverified
koitotonoebaharagaheru	恋ととのえば腹がへる	宇二シカ	9784910582467	1	web_generated_unverified
aishiterutteshittetene	愛してるって知っててね	狼森圓	9784758028615	1	web_generated_unverified
oshinoaigaomosugimasu	推しの愛が重すぎます!!	いなさく	9784776755296	1	web_generated_unverified
gokujouonzoushitoamakutorokeruren-aijijou	極上御曹司と甘くとろける恋愛事情	中山紗良/神埼たわ	9784596823946	2	web_generated_unverified
oboreruhibiwakiminosei	溺れる日々はきみのせい	深澤ねじ	9784396768843	5	web_generated_unverified
gekitou-isekaikeisatsu24toki	激闘!異世界警察24時	片栗粉/高寛	9784800016126	2	web_generated_unverified
otokoungaerankunanodeisekainoyamiochikamisamanimet	男運がEランクなので異世界の闇落ち神様に娶られました	悦若えつこ	9784776754947	5	web_generated_unverified
kekkon-nochiren-ai	結婚、のち恋愛	蘇我空木/朔也	9784867781296	4	web_generated_unverified
kachoufuugetsu	花鳥風月	志水ゆき	9784403663819	12	web_generated_unverified
amewakorekara	雨はこれから	東本昌平	9784862794215	11	web_generated_unverified
kumotorizanpei	雲盗り暫平	さいとう・たかを	9784845868117	6	web_generated_unverified
kazenoiromadeoboeteru	風の色まで憶えてる	飾	9784758028493	2	web_generated_unverified
kurokawatoakunin	黒革と悪人	りりく旅行	9784910582672	1	web_generated_unverified
