slug	title	main_prefix	main_years	intruder_vol	intruder_prefix	intruder_year	intruder_isbn
zerozero-nine-one	009ノ1	12	1988-1988	3	04	2006	9784048540551
1-yamamoto-1993	1	06	2011-2011	1	09	1993	9784091515117
2001yamonogatari	2001夜物語	901819	2003-2004	3	575	1991	9784575930764
21-emon	21エモン	09	2010-2018	5	12	1984	9784124100198
avnai-yatsura	AVない奴ら	08	2001-2001	3	8354	2015	9784835452135
angels	Angels	7973	2008-2009	1	86176	2005	9784861762161
backgammon	Backgammon	7575	2000-2001	1	87025	1998	9784870253629
cluster	CLUSTER	88317	1991-1999	6	7753	2002	9784775300565
grey	Grey	19	1986-1994	3	8211	2007	9784821184682
hasegawa-chouji	HASEGAWA長治	06	1999-1999	3	7859	2005	9784785925499
aiteii-oji-san	ITおじさん	86468	2023-2023	3	86805	2025	9784868050360
jinki-extend	JINKI:EXTEND	86127	2004-2007	1	901926	2002	9784901926065
joker-2012	JOKER	575	2012-2012	1	09	1987	9784091390141
joker-1998-3	Joker	575	2012-2012	1	592	1998	9784592128809
keep-out	Keep out!	87183	1993-1993	3	7567	1995	9784756702227
omega-7	Omega 7	7973	2002-2014	1	89048	1994	9784890484089
persona-1998	Persona	08	2001-2001	1	87025	1998	9784870254220
punch-drunk-babies	Punch drunk babies	8352	2001-2002	1	88271	1999	9784882718710
ren-ai	REN-AI	253	1989-2000	4	420	2002	9784420170390
samurai-7	SAMURAI 7	89236	2005-2005	3	06	2007	9784063722741
soil	Soil	7577	2004-2009	11	04	2011	9784047270145
strawberry-children	Strawberry children	905965	1998-1998	3	87775	2002	9784877750145
super-sub	Superサブ	7859	1985-1985	1	8342	1993	9784834230611
toy-s	Toy's	7897	2000-2000	3	344	2002	9784344801622
t-patrol-bon	T・Pぼん	09	2011-2024	4	12	1990	9784124102987
xl-saizu-desu-kekkonsasetekuremasuka	XLサイズですが、結婚させてくれますか?	910582	2023-2025	1	909460	2021	9784909460905
z	Z	253	1987-1987	2	592	1985	9784592117339
euromanga	euromanga	86410	2012-2013	1	87031	2008	9784870318571
ashitakagayaku	あした輝く	06	1985-1985	1	12	1995	9784120024610
