final	slug	title	author	dbsearch	amazon
A(全ストア一致=drop推奨)	ai-aru-juuyonya	愛ある十四夜	武林武士	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	ai-to-yokubou-no-1-6	愛と欲望の1/6	武林武士	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	anata-ni-mo-angel	アナタにもAngel	石原浩平	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	asagaya-kusarezu-gakuen	阿佐谷腐れ酢学園	SABE	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	cherry-2004-2	Cherry	ふじいあきこ	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	chichi-bakka	乳ばっか!!	河本ひろし	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	dokutaa-aiko-no-shinsatsushitsu	Dr.亜衣子の診察室	大島岳詩	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	hatsu-echi	はつ☆えち	歌麿	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	joyuu-no-onedan	女優のお値段	北野健一	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	little-sister	LITTLE SISTER	中島初美	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	manamusumebako	愛娘箱	RINRIN	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	naburi-zuma	嬲り妻	ふじいあきこ	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	ojou-sama-mo-majo	お嬢さまも魔女	B.たろう	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	otsuki-sama-no-kaerimichi	おつきさまのかえりみち	三浦靖冬	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	shirouto-hitozuma-nandemo-shiteageru	シロウト人妻何でもシテあげる	セニョール大悦	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	towa-ni-miru-yume	とわにみるゆめ。	三浦靖冬	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	turbo-lover	TURBO LOVER	中島初美	dbsearch=一致	dp404(成年隠しor無し)
A(全ストア一致=drop推奨)	yui-museum	唯ミュージアム	唯登詩樹	dbsearch=一致	dp404(成年隠しor無し)
B(成年DB有だがAmazon一般=判定割れ)	koi-kara-hajimaru	恋からはじまる	小林拓己	dbsearch=一致	dp200(Amazon一般扱い)
B(成年DB有だがAmazon一般=判定割れ)	moe-moe-ichigo	萌え萌え苺	雅亜公	dbsearch=一致	dp200(Amazon一般扱い)
B(成年DB有だがAmazon一般=判定割れ)	para-izo	ぱら★いぞ	道満晴明	dbsearch=一致	dp200(Amazon一般扱い)
B(成年DB有だがAmazon一般=判定割れ)	ritou-no-umi	りとうのうみ	たかみち	dbsearch=一致	dp200(Amazon一般扱い)
C(2シグナル+Amazon不可視)	daikaitou-musashi-no-1	大怪盗ムサシ:no.1	山本貴嗣	dbsearch=×	dp404(成年隠しor無し)
C(2シグナル+Amazon不可視)	eroi-furinzuma	エロい不倫妻	設楽清人	dbsearch=×	dp404(成年隠しor無し)
C(2シグナル+Amazon不可視)	game-comic-collection	ゲームコミックコレクション	ことぶきつかさ	dbsearch=×	dp404(成年隠しor無し)
C(2シグナル+Amazon不可視)	hanakui-gentouki	花喰幻燈機	三浦靖冬	dbsearch=×	dp404(成年隠しor無し)
C(2シグナル+Amazon不可視)	junai-damontsu	純愛だもんッ!	相沢早苗	dbsearch=×	dp404(成年隠しor無し)
C(2シグナル+Amazon不可視)	kanjukutsuma-no-fushidara-nikki	完熟妻のふしだら日記	滝恵介	dbsearch=×	dp404(成年隠しor無し)
C(2シグナル+Amazon不可視)	kikou-jinruiden-body	機甲人類伝BODY	前田俊夫	dbsearch=×	dp404(成年隠しor無し)
C(2シグナル+Amazon不可視)	koukousei-prowler	高校星プラウラ	Isutoshi	dbsearch=×	dp404(成年隠しor無し)
C(2シグナル+Amazon不可視)	kyonyuu-bijiri-sutekide-yasashii-shirouto-hitozuma	巨乳美尻ステキで優しいしろうと人妻	セニョール大悦	dbsearch=×	dp404(成年隠しor無し)
C(2シグナル+Amazon不可視)	sakura-2020	さくら	フクシマハルカ	dbsearch=×	dp404(成年隠しor無し)
C(2シグナル+Amazon不可視)	senpuu-no-iriya	旋風のイリヤ	萩原玲二	dbsearch=×	dp404(成年隠しor無し)
C(2シグナル+Amazon不可視)	sotsugyou-made	卒業まで	浜田芳郎	dbsearch=×	dp404(成年隠しor無し)
C(2シグナル+Amazon不可視)	suki-dakedo-suki-dakara	好きだけど好きだから	ぢたま(某)	dbsearch=×	dp404(成年隠しor無し)
C(2シグナル+Amazon不可視)	zodiac-lovers	Zodiac lovers	B.たろう	dbsearch=×	dp404(成年隠しor無し)
