# アダルトスキャン①② 2026-07-17: 成年triage837頁(1,853 ISBN)の楽天Books判定。適用なし(ユーザ確定待ち)
# 対照実験: 明白な成年コミック(種2 adult_score>=12)4冊は楽天Books APIで全て「ヒットなし」=楽天は成年商品をAPIに出さない
# → verdict: rakuten_general=全ISBN楽天在(楽天基準=非アダルト一般流通) / partial=一部無し / absent=全ISBN無し(成年疑い残)
# 注意: 楽天基準の非成年 ≠ MADB成年基準。ラベル(BL/TL/KTCヴァルキリー)は参考信号
verdict	slug	title	n_isbn	found	missing_isbns	labels
rakuten_general	0-saiji-start-dash-monogatari	0歳児スタートダッシュ物語	9	9	-	コミックその他
rakuten_general	138-e	138°E	2	2	-	コミックその他
rakuten_general	14sai-manual	14さいマニュアル	1	1	-	コミックその他
rakuten_general	14sai-ootomateikku	14さいオートマティック	1	1	-	コミックその他
rakuten_general	2-dome-no-jinsei-wa-oshi-no-shokuryou-desu	2度目の人生は推しの食糧です!?	5	5	-	コミックその他
rakuten_general	3manen-no-kareshi	3万円の彼氏	1	1	-	BL
rakuten_general	5-byou-de-omae-o-ikasete-yaruyo	5秒でお前をイかせてやるよ	3	3	-	TL|コミックその他
rakuten_general	abners	アブナーズ	1	1	-	その他
rakuten_general	abnormal-switch	アブノーマル・スイッチ	2	2	-	コミックその他
rakuten_general	acid-flower	アシッド・フラワー	3	3	-	BL
rakuten_general	adlib-offside	アドリブオフサイド	2	2	-	コミックその他
rakuten_general	adoribu-ouji	アドリブ王子	4	4	-	コミックその他
rakuten_general	adoribu-tenchou	アドリブ店長	5	5	-	コミックその他
rakuten_general	adventure-kid	アドベンチャーkid	2	2	-	-
rakuten_general	afternoon-potaufen	Afternoon potaufen	1	1	-	-
rakuten_general	ahosuta-san-no-futsuu-janai-nichijou	あほすたさんのふつうじゃない日常	1	1	-	コミックその他
rakuten_general	ai-o-yumemite	愛を夢みて…	1	1	-	コミックその他
rakuten_general	ai-to-yokubou-wa-abunoomaru-de	愛と欲望はアブノーマルで	1	1	-	BL
rakuten_general	ai-to-yokubou-wa-gakuen-de	愛と欲望は学園で	12	12	-	BL
rakuten_general	aiba-kun-wa-ano-mitsu-ga-sukisugiru	相葉くんは〈あの蜜〉が好きすぎる!	2	2	-	TL
rakuten_general	aishiteru-fujitani-2008	愛してる	1	1	-	BL
rakuten_general	aishiteru-tte-iwanakya-korosu	愛してるって言わなきゃ殺す	1	1	-	-
rakuten_general	akari-senpai-to-hyouga-no-taihenna-seikatsu	灯先輩と氷河の大変な生活	2	2	-	コミックその他
rakuten_general	akatsuka-fujio-no-hata-no-moto-ni	赤塚不二夫の旗の下に	1	1	-	-
rakuten_general	akazukin-kagekidan	赤ずきん過激団	1	1	-	コミックその他
rakuten_general	akireusu	アキレウス	2	2	-	KTCヴァルキリー(エロ寄り一般)
rakuten_general	aku-yome	あく×ヨメ	4	4	-	KTCヴァルキリー(エロ寄り一般)|コミックその他
rakuten_general	akuyaku-reijou-ni-tensei-shita-no-de-kakure-haisupe-ouji-to-hametsu-no-unmei-o-kaihi-shimasu	悪役令嬢に転生したので、隠れハイスペ王子と破滅の運命を回避します!	4	4	-	コミックその他
rakuten_general	akuyaku-reijou-no-torimaki-ee-desu-outaishi-denka-ni-semararete-imasu	悪役令嬢の取り巻きAですが、王太子殿下に迫られています。	3	3	-	TL
rakuten_general	alice-club-mihappyou-selection	アリスくらぶ未発表セレクション	2	2	-	-
rakuten_general	alicia-y	アリシア・Y	1	1	-	-
rakuten_general	all-leaf-daishingeki	オールリーフ大進撃	1	1	-	コミックその他
rakuten_general	amentia	AMENTIA	2	2	-	-
rakuten_general	anamorphosis-no-meijuu	アナモルフォシスの冥獣	1	1	-	コミックその他
rakuten_general	anata-no-oku-san-moraimasu	あなたの奥さんもらいます	1	1	-	-
rakuten_general	anata-no-to-nari-no-yami-sekai	あなたのとなりの闇世界	1	1	-	コミックその他
rakuten_general	anata-wa-otto-ni-damasareteiru	あなたは夫に騙されている	2	2	-	コミックその他
rakuten_general	ane-no-reotaado	姉のレオタード	2	2	-	コミックその他
rakuten_general	ano-hito-wa-chi-o-motomete-shimau	あの人は血を求めてしまう	2	2	-	コミックその他
rakuten_general	anta-no-dorei-no-mama-de-ii	アンタのドレイのママでイイ	1	1	-	BL
rakuten_general	arabian-naito	アラビアン・騎士	1	1	-	-
rakuten_general	arijigoku-vs-barabara-shoujo	アリ地獄vsバラバラ少女	1	1	-	-
rakuten_general	artificial-memory	アータフィシャル・メモリィ	1	1	-	コミックその他
