tier	slug	title	publishers	year	cover_missing
T1	abemorioka-no-kari-iiekkusu	あべもりおかの… (仮) Ex	ヒット出版社	2017	3/4
T1	ahosuta-san-no-futsuu-janai-nichijou	あほすたさんのふつうじゃない日常	三和出版	2023	0/1
T1	akatsuka-fujio-no-hata-no-moto-ni	赤塚不二夫の旗の下に	ジーオーティー	2016	1/1
T1	akireusu	アキレウス	キルタイムコミュニケーション	2015	0/2
T1	aku-yome	あく×ヨメ	キルタイムコミュニケーション	2018	0/4
T1	akuyaku-reijou-ni-tensei-shita-no-de-kakure-haisupe-ouji-to-hametsu-no-unmei-o-kaihi-shimasu	悪役令嬢に転生したので、隠れハイスペ王子と破滅の運命を回避します!	キルタイムコミュニケーション	2023	0/4
T1	all-leaf-daishingeki	オールリーフ大進撃	文苑堂	2010	0/1
T1	amentia	AMENTIA	キルタイムコミュニケーション	2016	2/2
T1	anata-no-oku-san-moraimasu	あなたの奥さんもらいます	エンジェル出版	2013	1/1
T1	ano-hito-wa-chi-o-motomete-shimau	あの人は血を求めてしまう	ジーオーティー	2020	0/2
T1	astro-king	アストロキング	キルタイムコミュニケーション	2022	0/3
T1	atara-yo-no-hoshi	あたらよのほし	ジーオーティー	2026	0/1
T1	bakemono-to-shoujo	化物と少女	キルタイムコミュニケーション	2020	0/2
T1	bakudanma-na-youhei-douji-shoukan-sareta-saikyou-cheat-domo-o-katappashi-kara-keshitobasu	爆弾魔な傭兵、同時召喚された最強チート共を片っ端から消し飛ばす	キルタイムコミュニケーション	2025	0/3
T1	bakumatsu-kareshi	幕末カレシ!	キルタイムコミュニケーション	2013	0/3
T1	bakunetsu-sentouki	爆熱戦湯姫	キルタイムコミュニケーション	2010	0/2
T1	bijo-to-kenja-to-mazin-no-ken	美女と賢者と魔人の剣	キルタイムコミュニケーション	2019	0/7
T1	blangel	BLANGEL	キルタイムコミュニケーション	2007	0/2
T1	boku-dake-ni-yasashii-kimi-ni	僕だけに優しい君に	ジーオーティー	2019	0/1
T1	boku-ga-kimi-ni-aitai-wake	僕がきみに会いたい理由	一水社	2017	0/1
T1	boku-no-egaku-biieru-comic-wa-homobitchi-na-tantou-henshuusha-ga-model-desu	ボクの描くBLコミックはホモビッチな担当編集者がモデルです	キルタイムコミュニケーション	2023	1/1
T1	boku-wa-nisemono-no-kimi-ni-koi-o-suru	ボクはニセモノノキミに恋をする	ジーオーティー	2025	0/1
T1	bokutachi-ga-kazoku-ni-naru-made	僕たちが家族になるまで	ジーオーティー	2021	0/2
