slug	title	authors	edition_type	imprint	publisher	vols	std_vols	ratio	cls	v1_date	v1_cover	max_no	seq	cov_rate
5-noryuu	5五の龍	つのだじろう	aizoban	中公コミックス愛蔵版シリーズ	中央公論社	2	10	0.20	圧縮(豪華本)	1989-04-25	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/8494/2000003668494.jpg?_ex=300x300	2	OK	2/2
ace-o-nerae	エースをねらえ!	山本鈴美香	aizoban	中央公論社愛蔵版	中央公論社	4	17	0.24	圧縮(豪華本)	1989-07-01	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/2223/2000002172223.jpg?_ex=300x300	4	OK	4/4
adolf-ni-tsugu	アドルフに告ぐ	手塚治虫	aizoban	オリジナル版・函入(2020)	国書刊行会	1	5	0.20	圧縮(豪華本)	2020-03-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3656/9784336063656.jpg?_ex=300x300	1	OK	1/1
aishiteruze-baby	愛してるぜベイベ★★	槙ようこ	aizoban	愛蔵版コミックス	集英社	3	7	0.43	圧縮(豪華本)	2020-04-24	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0628/9784087920628.jpg?_ex=200x200	3	OK	3/3
akuma-to-love-song	悪魔とラブソング	桃森ミヨシ	aizoban	愛蔵版コミックス	集英社	8	13	0.62	圧縮(豪華本)	2021-05-25	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0727/9784087920727_1_2.jpg?_ex=200x200	8	OK	8/8
bronze	Bronze	尾崎南	aizoban	愛蔵版コミックス	集英社	1	14	0.07	圧縮(豪華本)	2011-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3912/9784087823912.jpg?_ex=200x200	1	OK	1/1
death-note	DEATH NOTE	小畑健	aizoban	愛蔵版コミックス	集英社	1	13	0.08	圧縮(豪華本)	2016-10-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5111/9784087925111.jpg?_ex=200x200	1	OK	1/1
dousei-jidai	同棲時代	上村一夫	aizoban	愛蔵版	中央公論社	2	6	0.33	圧縮(豪華本)	1991-05-20	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/5260/2000004685260.jpg?_ex=300x300	2	OK	2/2
dragon-quest-daino-daibouken	ドラゴンクエスト ダイの大冒険	稲田浩司	aizoban	愛蔵版コミックス	集英社	25	37	0.68	圧縮(豪華本)	2020-10-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5609/9784087925609.jpg?_ex=200x200	25	OK	25/25
esper-mami	エスパー魔美	藤子不二雄	aizoban	藤子・F・不二雄大全集	小学館	5	9	0.56	圧縮(豪華本)	2009-08-25	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4067/9784091434067_1_13.jpg?_ex=300x300	5	OK	5/5
evil-heart	Evil heart	武富智	aizoban	ヤングジャンプ・愛蔵版	集英社	2	3	0.67	圧縮(豪華本)	2010-01	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2687/9784087822687.jpg?_ex=200x200	2	OK	2/2
fushigi-na-melmo	ふしぎなメルモ	手塚治虫	aizoban	手塚治虫漫画全集	講談社	1	2	0.50	圧縮(豪華本)	1984-10-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0617/06173280.jpg?_ex=300x300	1	OK	1/1
gegege-no-kitarou	ゲゲゲの鬼太郎	水木しげる	aizoban	愛蔵版シリーズ	中央公論社	5	17	0.29	圧縮(豪華本)	1988-09-20	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7186/9784120017186.jpg?_ex=200x200	5	OK	5/5
gekiman	激マン!	永井豪・ダイナミックプロ	aizoban	愛蔵版 デビルマンの章(2019)	日本文芸社	3	6	0.50	圧縮(豪華本)	2019-06-30	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9532/9784537139532.jpg?_ex=300x300	3	OK	3/3
gokusen	ごくせん	森本梢子	aizoban	You愛蔵版コミックス	集英社	1	15	0.07	圧縮(豪華本)	2010-01	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2656/9784087822656.jpg?_ex=200x200	1	OK	1/1
golgo-13	ゴルゴ13	さいとう・たかを・さいとうプロダクション	aizoban	SPコミックスコンパクト	リイド社	177	220	0.80	圧縮(豪華本)	2002-10	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8458/84582539.jpg?_ex=300x300	177	OK	177/177
gunnm	銃夢	木城ゆきと	aizoban	Young jump愛蔵版	集英社	6	9	0.67	圧縮(豪華本)	1998-12	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5763/9784087825763.jpg?_ex=200x200	6	OK	6/6
hadashi-no-gen	はだしのゲン	中沢啓治	aizoban	中公愛蔵版	中央公論社	3	10	0.30	圧縮(豪華本)	1996-06-25	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/5815/9784120025815.jpg?_ex=200x200	3	OK	3/3
haikara-san-ga-tooru	はいからさんが通る	大和和紀	aizoban		講談社	1	8	0.12	圧縮(豪華本)	2020-03	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2412/9784065192412.jpg?_ex=300x300	1	OK	1/1
hakatakko-junjou	博多っ子純情	長谷川法世	aizoban	愛蔵版シリーズ	中央公論社	5	34	0.15	圧縮(豪華本)	1990-06-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/9326/9784120019326.jpg?_ex=300x300	5	OK	3/5
haou-taikei-ryuunaito-collectors-edition	覇王大系リューナイトcollector's edition	伊東岳彦	aizoban		集英社	1	3	0.33	圧縮(豪華本)	2001-06	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/6609/9784087826609.jpg?_ex=200x200	1	OK	1/1
hikaru-no-go	ヒカルの碁	小畑健	aizoban	愛蔵版コミックス	集英社	20	23	0.87	圧縮(豪華本)	2009-02	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/2069/9784087822069.jpg?_ex=200x200	20	OK	20/20
kaibutsu-kun-1988	怪物くん	藤子不二雄Ⓐ	aizoban	愛蔵版	中央公論社	2	21	0.10	圧縮(豪華本)	1991-03-20	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/4534/2000001854534.jpg?_ex=300x300	2	OK	2/2
kaze-no-tani-no-naushika	風の谷のナウシカ	宮崎駿	aizoban		徳間書店	2	7	0.29	圧縮(豪華本)	1996-11-30	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1986/19860561.jpg	2	OK	2/2
kingdom	キングダム	原泰久	aizoban	愛蔵版コミックス	集英社	20	80	0.25	圧縮(豪華本)	2024-03-18	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/7863/9784087927863_1_7.jpg?_ex=200x200	20	OK	20/20
kubikiri-asa	首斬り朝	小島剛夕	aizoban	愛蔵版(小池書院)	小池書院	8	12	0.67	圧縮(豪華本)	2012-09	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8496/9784862258496.jpg?_ex=300x300	8	OK	8/8
mangamichi	まんが道	藤子不二雄Ⓐ・藤子不二雄	aizoban	愛蔵版シリーズ	中央公論社	4	23	0.17	圧縮(豪華本)	1986-10-15	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/0493/2000001780493.jpg?_ex=300x300	4	OK	4/4
mizushina-takayuki-no-mizu-cinema	みずしな孝之のミズシネマ	みずしな孝之	aizoban	愛蔵版コミックス	集英社	1	2	0.50	圧縮(豪華本)	2003-09-24	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/0591/9784087820591.jpg?_ex=200x200	1	OK	1/1
nina-to-usagi-to-mahou-no-sensha	ニーナとうさぎと魔法の戦車	薮口黒子	aizoban	愛蔵版コミックス	集英社	1	2	0.50	圧縮(豪華本)	2012-04	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4285/9784087824285.jpg?_ex=200x200	1	OK	1/1
onii-sama-e	おにいさまへ…	池田理代子	aizoban	愛蔵版	中央公論社	1	3	0.33	圧縮(豪華本)	1989-05-20	https://thumbnail.image.rakuten.co.jp/@0_mall/rakutenkobo-ebooks/cabinet/2120/2000002272120.jpg?_ex=300x300	1	OK	1/1
otoko-oidon	男おいどん	松本零士	aizoban	愛蔵版(2025)	小学館	5	6	0.83	圧縮(豪華本)	2025-06-20	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4840/9784091794840_1_46.jpg?_ex=300x300	5	OK	5/5
paji	ぱじ	村上たかし	aizoban	ヤングジャンプ愛蔵版	集英社	1	9	0.11	圧縮(豪華本)	2011-05	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/3769/9784087823769.jpg?_ex=200x200	1	OK	1/1
