aid	n_pages	kind_hint	slug	title	first_author
10	2	B?扇形/別題	chippai-kanojo-to-bijin-kareshi	ちっぱい彼女と美人彼氏	neco
10	2	B?扇形/別題	josou-shite-mendokusai-koto-ni-natteru-nekura-to-yankee-no-ryou-kataomoi	女装してめんどくさい事になってるネクラとヤンキーの両片想い	とおる
100594	2	B?扇形/別題	eto-irokoizoushi-mitsugetsu-no-show	十二支 (えと) 色恋草子蜜月の章	待緒イサミ
100594	2	B?扇形/別題	eto-irokoizoushi	十二支色恋草子	待緒イサミ
100624	2	B?扇形/別題	nezumi-edo-o-hashiru	鼠、江戸を疾る	鈴木マサカズ
100624	2	B?扇形/別題	nezumi-kage-o-tatsu	鼠、影を断つ	鈴木マサカズ
100838	2	B?扇形/別題	isekai-ni-kita-mitai-dakedo-dou-sureba-yoi-no-darou	異世界に来たみたいだけど如何すれば良いのだろう ～社畜SEのマイペース冒険記～	天野こひつじ
100838	2	B?扇形/別題	isekai-ni-kita-mitai-dakedo-dousureba-yoinodarou	異世界に来たみたいだけど如何すれば良いのだろう	森ゆきなつ
101606	2	B?扇形/別題	86-86	86-エイティシックス	吉原基貴
101606	2	B?扇形/別題	86-operation-highschool	86-エイティシックス-オペレーション・ハイスクール	安里アサト
102310	2	B?扇形/別題	u12-2018	U12(アンダートゥエルブ)	闇川コウ
102310	2	B?扇形/別題	u12	U12	闇川コウ
106871	2	B?扇形/別題	kato-chan-ken-chan	カトちゃんケンちゃん	田辺真由美
106871	2	B?扇形/別題	neko-kato-chan-ken-chan	猫☆カトちゃんケンちゃん	田辺真由美
106881	2	B?扇形/別題	manmaru-potager	まんまるポタジェ	あいざわ遥
106881	2	B?扇形/別題	manmaru-potajie-2	まんまるポタジェ2	あいざわ遥
107323	2	B?扇形/別題	ao-no-suit-blue-fighter	青の戦士 BLUE FIGHTER	谷口ジロー
107323	2	B?扇形/別題	ao-no-suit	青の戦士	谷口ジロー
107794	2	B?扇形/別題	kekyaarusha-tenmatsuki	ケキャール社顛末記	逆柱いみり
107794	2	B?扇形/別題	new-kekyaarusha-tenmatsuki	New!ケキャール社顛末記	逆柱いみり
109088	2	B?扇形/別題	chuubyou-gekihatsu-boy-neo	厨病激発ボーイNEO	葉月めぐみ
109088	2	B?扇形/別題	chuubyou-gekihatsu-boy-rerulili-2017	厨病激発ボーイ	葉月めぐみ
110587	2	B?扇形/別題	ri-bone-kamen-no-otoko-to-ribbon-no-kishi	RE:BORN ～仮面の男とリボンの騎士～	フカキショウコ
110587	2	B?扇形/別題	tezuka-osamu-space-adventure-short-stories	手塚治虫SPACE ADVENTURE SHORT STORIES	手塚治虫
112178	2	B?扇形/別題	wani-bunsho-2010	82分署	篠原とおる
112178	2	B?扇形/別題	wani-bunsho	ワニ分署	篠原とおる
113729	2	B?扇形/別題	ai-ha-kaku-katariki	愛はかく語りき	楠桂
113729	2	B?扇形/別題	zoku-ai-ha-kaku-katariki	続 愛はかく語りき	楠桂
113807	2	B?扇形/別題	fujouri-nikki	不条理日記	吾妻ひでお
