season	title	class	gensaku	kousei
2027-WINTER	業物語 かれんオウガ	?	西尾維新 キャラクター原案：VOFAN	
2027-WINTER	モモモ！ニニモ	?		
2027-WINTER	ゴールデンカムイ 最終章「暴走列車編」	?		
2027-WINTER	ひらやすみ	?	真造圭伍 監督・シリーズ構成・脚本：末澤慧	
2027-WINTER	じょせまる	?		
2027-WINTER	えぶりでいホスト 続編	?		
2027-WINTER	THE ONE PIECE	MANGA?	尾田栄一郎 （集英社「 週刊少年ジャンプ 」連載）	
2027-WINTER	BLUE EYE SAMURAI/ブルーアイ・サムライ	?		
2026-WINTER	超宇宙刑事ギャバン インフィニティ	?		
2026-WINTER	聖女なのに国を追い出されたので、崩壊寸前の隣国へ来ました シーズン2	?	よどら文鳥 作画：ミドリRTC STUDIO	
2026-WINTER	終末のワルキューレⅢ	MANGA?	｢ 終末のワルキューレ ｣（作画：アジチカ 原作：梅村真也 構成：フクイタクミ「月刊コミックゼノン」連載／コアミックス）	
2026-WINTER	牙狼＜GARO＞ 東ノ界楼	?	雨宮慶太 エグゼクティヴ・プロデューサー：二宮清隆 プロデューサー：井野十兵 安養寺紗季 特別協力：サンセイアールアンドディ 製作／制作：東北新社 主題歌 OP：「GARO 東ノ界楼 with JAM Project	
2026-WINTER	時光代理人 -LINK CLICK- 英都篇	?		
2026-WINTER	悪魔くん	?		
2026-WINTER	天穂のサクナヒメ ココロワ稲作日誌	non-manga	えーでるわいす「 天穂のサクナヒメ 」 ストーリー協力：安藤敬而「 天穂のサクナヒメ ココロワ稲作日誌 」 (集英社 JUMP j BOOKS刊)	
2026-WINTER	ホロのぐらふぃてぃ	?		
2026-WINTER	アンデッドアンラック ウィンター編	MANGA?	戸塚慶文 「 アンデッドアンラック 」（集英社 ジャンプコミックス刊） 監督/絵コンテ/演出：朴性厚	
2026-WINTER	かぐや様は告らせたい 大人への階段	MANGA?	赤坂アカ （集英社ヤングジャンプコミックス刊）	
2026-WINTER	CHOPPER’s	?	『 ONE PIECE CHOPPER’s 』（『 ONE PIECE 』（原作： 尾田栄一郎 ）より）	
2026-SUMMER	角醒ハンター オメガホーン	?		
2026-SUMMER	盗掘王	?	SAN.G Yuns（REDICE STUDIO） キャラクター原案：P-crush（3B2S studio）	
2026-SUMMER	刃牙道 第2クール	MANGA?	板垣恵介 『 刃牙道 』（秋田書店「少年チャンピオン・コミックス」刊）	
