popularity	season	anime_title	manga_aid	manga_title	hint
329105	2020-SPRING	神之塔 -Tower of God-	85143	신의 탑	KR-webtoon?
301623	2018-SPRING	東京喰種-トーキョーグール-:re	85611	東京喰種-トーキョーグール-:re	
232180	2018-FALL	東京喰種-トーキョーグール-:re 2	85611	東京喰種-トーキョーグール-:re	
226567	2020-SPRING	GREAT PRETENDER	118960	GREAT PRETENDER	
161034	2020-FALL	アクダマドライブ	118854	アクダマドライブ	
119659	2024-SUMMER	神之塔 -Tower of God- 第2期	85143	신의 탑	KR-webtoon?
110477	2010-FALL	パンティ＆ストッキングwithガーターベルト	51848	パンティ&ストッキング with Garterbelt	
97252	2002-FALL	灰羽連盟	35356	オールドホームの灰羽達	
93258	2014-WINTER	スペース☆ダンディ	85537	スペース☆ダンディ	
84979	2012-WINTER	あの夏で待ってる	65713	あの夏で待ってる	
69885	2011-FALL	ベン・トー	60777	ベン・トー zero Road to witch	
65425	2013-FALL	京騒戯画 (TV)	66619	京騒戯画	CN?
61437	2024-SUMMER	異世界スーサイド・スクワッド	182659	異世界スーサイド・スクワッド	
53541	2019-SUMMER	ロード・エルメロイⅡ世の事件簿 {魔眼蒐集列車} Grace note	103075	ロード・エルメロイII世の事件簿	
53403	2020-SUMMER	日本沈没2020	160791	日本沈没2020	CN?
50184	2016-SPRING	宇宙パトロールルル子	97182	宇宙パトロールルル子	
48625	2019-SPRING	みるタイツ	113534	Miru Tights Special Booklet	
48316	2024-WINTER	メタリックルージュ	173933	メタリックルージュ	
47041	2010-WINTER	れでぃ×ばと!	47417	れでぃ×ばと	
46889	2010-WINTER	ソ・ラ・ノ・ヲ・ト	47513	ソ・ラ・ノ・ヲ・ト	
43686	2018-SUMMER	Back Street Girls -ゴクドルズ-	96785	Back Street Girls ～ゴクドルズ～	
41947	2008-FALL	キャシャーンSins	171951	キャシャーンSins	
38272	2001-SPRING	デジモンテイマーズ	32389	數碼寶貝03馴獸師之王	CN?
37035	2008-WINTER	Mnemosyne－ムネモシュネの娘たち－	42731	Mnemosyne-ムネモシュネの娘たち-	
