判定	slug	題	疑い著者	書誌を引けた冊数	出所ISBN(この1冊だけ)	主著者	頁の著者欄
アンソロジー疑い	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	あきよし菜魚	5	9784253242141	佐々木みすず/赤川次郎	いがらしゆみこ/夏見咲帆/佐々木みすず/大橋薫/池田恵/碧ゆかこ/望月あきら/あきよし菜魚/三上ヒロミ/瀬畑純/大矢結子/横濱マリア/湯沢直子/安武わたる/大塚あきら/宗美智子/風祭壮太
アンソロジー疑い	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	三上ヒロミ	5	9784253242158	佐々木みすず/赤川次郎	いがらしゆみこ/夏見咲帆/佐々木みすず/大橋薫/池田恵/碧ゆかこ/望月あきら/あきよし菜魚/三上ヒロミ/瀬畑純/大矢結子/横濱マリア/湯沢直子/安武わたる/大塚あきら/宗美智子/風祭壮太
アンソロジー疑い	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	夏見咲帆	5	9784253242165	佐々木みすず/赤川次郎	いがらしゆみこ/夏見咲帆/佐々木みすず/大橋薫/池田恵/碧ゆかこ/望月あきら/あきよし菜魚/三上ヒロミ/瀬畑純/大矢結子/横濱マリア/湯沢直子/安武わたる/大塚あきら/宗美智子/風祭壮太
アンソロジー疑い	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	大矢結子	5	9784253242172	佐々木みすず/赤川次郎	いがらしゆみこ/夏見咲帆/佐々木みすず/大橋薫/池田恵/碧ゆかこ/望月あきら/あきよし菜魚/三上ヒロミ/瀬畑純/大矢結子/横濱マリア/湯沢直子/安武わたる/大塚あきら/宗美智子/風祭壮太
アンソロジー疑い	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	安武わたる	5	9784253242158	佐々木みすず/赤川次郎	いがらしゆみこ/夏見咲帆/佐々木みすず/大橋薫/池田恵/碧ゆかこ/望月あきら/あきよし菜魚/三上ヒロミ/瀬畑純/大矢結子/横濱マリア/湯沢直子/安武わたる/大塚あきら/宗美智子/風祭壮太
アンソロジー疑い	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	宗美智子	5	9784253242158	佐々木みすず/赤川次郎	いがらしゆみこ/夏見咲帆/佐々木みすず/大橋薫/池田恵/碧ゆかこ/望月あきら/あきよし菜魚/三上ヒロミ/瀬畑純/大矢結子/横濱マリア/湯沢直子/安武わたる/大塚あきら/宗美智子/風祭壮太
アンソロジー疑い	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	望月あきら	5	9784253242165	佐々木みすず/赤川次郎	いがらしゆみこ/夏見咲帆/佐々木みすず/大橋薫/池田恵/碧ゆかこ/望月あきら/あきよし菜魚/三上ヒロミ/瀬畑純/大矢結子/横濱マリア/湯沢直子/安武わたる/大塚あきら/宗美智子/風祭壮太
アンソロジー疑い	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	池田恵	5	9784253242172	佐々木みすず/赤川次郎	いがらしゆみこ/夏見咲帆/佐々木みすず/大橋薫/池田恵/碧ゆかこ/望月あきら/あきよし菜魚/三上ヒロミ/瀬畑純/大矢結子/横濱マリア/湯沢直子/安武わたる/大塚あきら/宗美智子/風祭壮太
アンソロジー疑い	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	湯沢直子	5	9784253242141	佐々木みすず/赤川次郎	いがらしゆみこ/夏見咲帆/佐々木みすず/大橋薫/池田恵/碧ゆかこ/望月あきら/あきよし菜魚/三上ヒロミ/瀬畑純/大矢結子/横濱マリア/湯沢直子/安武わたる/大塚あきら/宗美智子/風祭壮太
アンソロジー疑い	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	瀬畑純	5	9784253242165	佐々木みすず/赤川次郎	いがらしゆみこ/夏見咲帆/佐々木みすず/大橋薫/池田恵/碧ゆかこ/望月あきら/あきよし菜魚/三上ヒロミ/瀬畑純/大矢結子/横濱マリア/湯沢直子/安武わたる/大塚あきら/宗美智子/風祭壮太
アンソロジー疑い	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	碧ゆかこ	5	9784253242172	佐々木みすず/赤川次郎	いがらしゆみこ/夏見咲帆/佐々木みすず/大橋薫/池田恵/碧ゆかこ/望月あきら/あきよし菜魚/三上ヒロミ/瀬畑純/大矢結子/横濱マリア/湯沢直子/安武わたる/大塚あきら/宗美智子/風祭壮太
アンソロジー疑い	akagawa-jirou-mystery-mikeneko-holmes-to-meitanteitachi	赤川次郎ミステリー三毛猫ホームズと名探偵たち	風祭壮太	5	9784253242172	佐々木みすず/赤川次郎	いがらしゆみこ/夏見咲帆/佐々木みすず/大橋薫/池田恵/碧ゆかこ/望月あきら/あきよし菜魚/三上ヒロミ/瀬畑純/大矢結子/横濱マリア/湯沢直子/安武わたる/大塚あきら/宗美智子/風祭壮太
アンソロジー疑い	comic-akagawa-jirou-mystery	コミック赤川次郎ミステリー	夏木美香	3	9784821110988	中原まい/赤川次郎	大橋薫/油豆/赤川次郎/夏木美香/中原まい
