slug	title	ours	rakuten	year	isbn
akuyaku-reijou-ni-tensei-shitara-risou-no-heya-ga-te-ni-hairimashita	悪役令嬢に転生したら理想の部屋が手に入りました!	森長あやみ	岡野く仔	2026	9784781625232
hitomi-ni-utsuru-kimi-wa-zenbu-ore-no-mono	瞳に映るキミは、全部オレのもの	るすけ	カモ	2026	9784824014726
kamakura-shiyakusho-fuurekika	鎌倉市役所風歴課	池袋万里	うましむら	2026	9784047387508
kirishima-kun-wa-ijimetai	桐島くんはいじめたい	晴海にいな	あられちゃん	2026	9784867871201
koushakusamatatanaihazudewa-shoyakarazetsurinkedamonoetchi	侯爵様、勃たないはずでは!? : 初夜から絶倫ケダモノえっち	安里瀅	安里　けい	2026	9784302118045
mate-ga-dekinai-hinata-kun	待てができない日向くん	うじい	しろまゆ	2026	9784302113255
orutaa-ego	オルターエゴ	SánchezAnaC / 山口真果	アナ・C・サンチェス	2026	9784046854995
seifuku-shinya-2-ji	制服、深夜2時。	甘野めぐみ	コウキ。	2026	9784801988545
shin-shiawase-no-jikan-2026	シン幸せの時間	十河コウ	国友 やすゆき	2026	9784575861808
sub-doru-sensational	Subドルセンセーショナル	小池ノクト	高昌ゆり	2026	9784867782224
suki-nara-nugasete	好きなら脱がせて。	上田にく	佐倉 リコ	2026	9784799777022
1-tai-2-kousai-wa-rabukome-ni-hairimasuka	1: 2交際はラブコメに入りますか?	服部了	桃井桃子	2025	9784832204904
3itches-san-majo	3itches三魔女	永吉美幸	KIU	2025	9784047382725
40-made-ni-shitai-10-no-koto	40までにしたい10のこと	LA軍	マミタ	2025	9784799770689
ai-ga-omosugiru-kotani-kun-wa-zettai-ni-kanojo-o-nigasanai	愛が重すぎる小谷くんは、絶対に彼女を逃さない	城宮えす	タチバナ	2025	9784799773536
aibou-ni-doku-ga-arimashite	相棒に毒がありまして!	(4)	よなか	2025	9784065386774
akumade-taida-na-akuyaku-kizoku-comic	あくまで怠惰な悪役貴族@COMIC	マキムラK / イコ	セロタ	2025	9784867945285
akuyaku-reijou-no-yojouhan	悪役令嬢の四畳半	森長あやみ	岡野 く仔	2025	9784065413593
