type	slug	vol	isbn	title	date
B_ISBN帯不一致(帯混入/別版疑い)	31-banme-no-okisakisama	8	9784045000317	31番目のお妃様. 8	2026.6
B_ISBN帯不一致(帯混入/別版疑い)	akogare-no-maid-san-wa-tabako-ga-niau	4	9784301005889	憧れのメイドさんはタバコが似合う. 4	2026.6
M_頁ファイル無(override疑い)	anata-sama-ga-wasurete-hoshii-to-osshaimashita-node-konyaku-haki-sareta-watakushi-ga-juusha	2	9784299077783	貴方様が「忘れてほしい」とおっしゃいましたので : 婚約破棄された私が、従者から	2026.7
V_同番号既存(新装/特装/ISBN違い疑い)	arslan-senki	24	9784065429631	アルスラーン戦記 24	2026.3
V_同番号既存(新装/特装/ISBN違い疑い)	boku-no-hero-academia	18	9784081152834	僕のヒーローアカデミア. 18	2026.6
V_同番号既存(新装/特装/ISBN違い疑い)	bokura-no-kiseki	34	9784758099110	ボクラノキセキ. 34	2026.6
G_連番外(頁max=6 期待=7)	cardfight-vanguard-youthquake	8	9784049211634	カードファイト!!ヴァンガードYouthQuake. 8	2026.6
V_同番号既存(新装/特装/ISBN違い疑い)	citrus	7	9784758099660	Citrus +. 7	2026.7
V_同番号既存(新装/特装/ISBN違い疑い)	citrus	7	9784758099653	Citrus +. 7	2026.7
V_同番号既存(新装/特装/ISBN違い疑い)	dokaben	11	9784779654022	ドカベン. 11	2026.6
V_同番号既存(新装/特装/ISBN違い疑い)	dokaben	12	9784779654039	ドカベン. 12	2026.6
G_連番外(頁max=3 期待=4)	e-shanai-system-subete-wanope-shite-iru-watashi-o-kaikosareta-desu-ka	5	9784391167870	え、社内システム全てワンオペしている私を解雇ですか? 5	2026.6
M_頁ファイル無(override疑い)	edomae-no-shun	132	9784537173734	江戸前の旬. 132	2026.6
G_連番外(頁max=7 期待=8)	gekikou-kamen	9	9784098640232	劇光仮面. 9	2026.7
G_連番外(頁max=20 期待=21)	jiiteiioo-paradise-lost-kai	23	9784065438695	GTOパラダイス・ロスト改. 23	2026.6
V_同番号既存(新装/特装/ISBN違い疑い)	jujutsu-kaisen	11	9784081152957	呪術廻戦. 11	2026.6
V_同番号既存(新装/特装/ISBN違い疑い)	jujutsu-kaisen	12	9784081152964	呪術廻戦. 12	2026.6
M_頁ファイル無(override疑い)	kimi-wa-natsu-no-naka	1	9784825100039	君は夏のなか	2026.6
B_ISBN帯不一致(帯混入/別版疑い)	kirakira-to-giragira	6	9784045001109	キラキラとギラギラ. 6	2026.6
B_ISBN帯不一致(帯混入/別版疑い)	kirawaremono-no-tenisha-wa-demodotta-isekai-de-dekiai-dekiaisareru	4	9784045001482	嫌われ者の転移者は、出戻った異世界で溺愛される. 4	2026.6
V_同番号既存(新装/特装/ISBN違い疑い)	kirin	1	9784785980900	キリン. 第1巻	2026.1
V_同番号既存(新装/特装/ISBN違い疑い)	kirin	2	9784785980917	キリン. 第2巻	2026.1
V_同番号既存(新装/特装/ISBN違い疑い)	kirin	3	9784785980924	キリン. 第3巻	2026.1
B_ISBN帯不一致(帯混入/別版疑い)	komorebi-no-hito	6	9784334110116	木洩れ日のひと. 6	2026.7
V_同番号既存(新装/特装/ISBN違い疑い)	luce-to-shiro-no-keiyaku	8	9784758099707	ルーチェと白の契約. 8	2026.7
G_連番外(頁max=4 期待=5)	maid-wa-koisuru-hachiya-kun	6	9784098734733	メイドは恋する蜂谷くん. 6	2026.7
V_同番号既存(新装/特装/ISBN違い疑い)	onii-chan-wa-oshimai	11	9784758099080	お兄ちゃんはおしまい! 11	2026.6
B_ISBN帯不一致(帯混入/別版疑い)	ou-sama-rankingu	22	9784045001031	王様ランキング. 22	2026.6
V_同番号既存(新装/特装/ISBN違い疑い)	salaryman-kintarou-gojissai	2	9784081153183	サラリーマン金太郎五十歳. 2	2026.6
V_同番号既存(新装/特装/ISBN違い疑い)	salaryman-kintarou-gojissai	3	9784081153190	サラリーマン金太郎五十歳. 3	2026.6
V_同番号既存(新装/特装/ISBN違い疑い)	sekai-maou	2	9784575862355	セカイ魔王. 2	2026.6
V_同番号既存(新装/特装/ISBN違い疑い)	sekai-maou	3	9784575862362	セカイ魔王. 3	2026.6
G_連番外(頁max=7 期待=8)	smoke-blue-no-ame-nochi-hare	9	9784046600486	スモークブルーの雨のち晴れ. 9	2026.6
G_連番外(頁max=2 期待=3)	watashi-o-oidasu-nowa-ii-desukedo-kono-ie-no-kusuri-tsukutta-no-zenbu-watashi-desu-yo	4	9784434364969	私を追い出すのはいいですけど、この家の薬作ったの全部私ですよ? 4	2026.7
G_連番外(頁max=4 期待=5)	yuri-sm-de-futari-no-kimochi-wa-tsunagarimasuka	6	9784832206281	百合SMでふたりの気持ちはつながりますか? 6	2026.7
