slug	edition	vol	intruder	reason
aoharu-tetsudou	standard	1	9784040662909	NDL候補なし
arinko-no-uta	standard	2	9784834283686	NDL候補なし
aurora-housoukyoku	standard	2	9784257903345	NDL候補なし
black-angels	standard	1	9784081061617	複数候補[('9784834212013', ''), ('9784088515014', '')]
black-angels	standard	3	9784834212037	NDL候補なし
choukyori-love-no-kodoku	standard	1	9784344831247	NDL候補なし
clamp-premium-collection-clamp-gakuen-tanteidan	standard	1	9784049246643	NDL候補なし
cyborg-009	kanzenban	1	9784889917949	複数候補[('9784889915778', '1998.7'), ('9784091902511', ''), ('9784061095892', '')]
dabide-no-hoshi	standard	1	9784882192589	楽天裏取り不可 NDL候補=[('9784757201002', '1998.6')]
danzai-sareta-akuyaku-reijou-wa-gyakkou-shite-kanpeki-na-akujo-o-mezasu	standard	4	9784867942437	NDL候補なし
dennou-nao-san	standard	1	9784048687850	NDL候補なし
double-call	standard	2	9784877243739	NDL候補なし
double-call	standard	3	9784877243777	NDL候補なし
game-center-arashi	standard	1	9784872335125	NDL候補なし
game-center-arashi	standard	2	9784872335187	楽天裏取り不可 NDL候補=[('9784091403728', '1980.8')]
game-center-arashi	standard	3	9784872335279	楽天裏取り不可 NDL候補=[('9784091403735', '1980.11')]
game-center-arashi	standard	4	9784872335286	楽天裏取り不可 NDL候補=[('9784091403742', '1981.3')]
gegege-no-kitarou-1987	standard	1	9784091430229	複数候補[('9784480020949', ''), ('9784061730748', ''), ('9784065120781', '')]
haikara-san-ga-tooru	standard	8	9784063411867	NDL候補なし
hanzounomon	standard	1	9784883158072	楽天裏取り不可 NDL候補=[('9784048520898', '1988.3')]
hanzounomon	standard	2	9784883158089	楽天裏取り不可 NDL候補=[('9784048520904', '1988.3')]
hi-izuru-tokoro-no-tenshi	standard	2	9784049230024	NDL候補なし
hi-izuru-tokoro-no-tenshi	standard	4	9784049230048	NDL候補なし
hi-izuru-tokoro-no-tenshi	standard	5	9784049230055	楽天裏取り不可 NDL候補=[('9784592112358', '1984')]
hi-izuru-tokoro-no-tenshi	standard	6	9784049230062	楽天裏取り不可 NDL候補=[('9784592112365', '')]
isekai-meikyuu-no-saishinbu-o-mezasou	standard	5	9784824005106	NDL候補なし
isekai-meikyuu-no-saishinbu-o-mezasou	standard	6	9784824007766	NDL候補なし
itihasa	standard	4	9784088601908	NDL候補なし
janrou-densetsu-aoki-ookamitachi	standard	6	9784812450512	NDL候補なし
jikken-doll-dummy-oscar	standard	1	9784074302499	NDL候補なし
jikken-doll-dummy-oscar	standard	2	9784073414162	NDL候補なし
katakoi-saburou	standard	1	9784862253552	NDL候補なし
kemeko-dx	standard	1	9784840235020	NDL候補なし
kemeko-dx	standard	2	9784840237499	NDL候補なし
kemonomichi-kagemaru-1980	standard	1	9784408165936	NDL候補なし
kick-off	standard	1	9784834212518	楽天裏取り不可 NDL候補=[('9784088515212', '1982.9')]
kick-off	standard	2	9784834212525	楽天裏取り不可 NDL候補=[('9784088515229', '1982.11')]
kick-off	standard	3	9784834212532	楽天裏取り不可 NDL候補=[('9784088515236', '1983.2')]
koma-ga-mau	standard	1	9784916085191	NDL候補なし
kouun-ryuusui	standard	1	9784081138654	NDL候補なし
kouun-ryuusui	standard	2	9784081138661	NDL候補なし
kouun-ryuusui	standard	3	9784081138678	NDL候補なし
kouun-ryuusui-jofuku-nobunaga	standard	1	9784081138654	NDL候補なし
kouun-ryuusui-jofuku-nobunaga	standard	2	9784081138661	NDL候補なし
kouun-ryuusui-jofuku-nobunaga	standard	3	9784081138678	NDL候補なし
kouun-ryuusui-nobunaga	standard	1	9784081138654	NDL候補なし
kouun-ryuusui-nobunaga	standard	2	9784081138661	NDL候補なし
kouun-ryuusui-nobunaga	standard	3	9784081138678	NDL候補なし
kuchiyaku-mondo-kawaitesourou	standard	1	9784862257796	NDL候補なし
kyattsuai	standard	1	9784087826210	NDL候補なし
kyattsuai	standard	2	9784087826227	NDL候補なし
kyattsuai	standard	3	9784087826234	NDL候補なし
mad-buru-34	standard	1	9784862256430	楽天裏取り不可 NDL候補=[('9784088615219', '1987.4')]
mad-buru-34	standard	7	9784883158706	NDL候補なし
maicching-machiko-sensei	standard	2	9784883770687	NDL候補なし
maicching-machiko-sensei	standard	3	9784883770717	NDL候補なし
mangakenkanryuu	standard	1	9784863912380	楽天裏取り不可 NDL候補=[('9784883804788', '2005.9-')]
momogumi-plus-senki	standard	10	9784049250770	NDL候補なし
momogumi-plus-senki	standard	9	9784049250756	NDL候補なし
nekketsu-daibouken-tairiku	standard	1	9784931396944	NDL候補なし
nippon-no-rekishi-2007-2	standard	1	9784081951017	NDL候補なし
ooi-yamabiko	standard	5	9784063300222	楽天裏取り不可 NDL候補=[('9784620770451', '1990.7')]
orfina	standard	8	9784047124042	NDL候補なし
osomatsu-kun	bunkobon	1	9784091935717	複数候補[('9784884758646', '1995.10'), ('9784812419113', '2004.11')]
puroresu-super-star-rendetsu	standard	5	9784944154869	複数候補[('9784061014312', ''), ('9784091205452', '')]
ri-zero-kara-hajimeru-isekai-seikatsu	standard	3	9784046800343	NDL候補なし
ri-zero-kara-hajimeru-isekai-seikatsu	standard	4	9784046804716	NDL候補なし
ri-zero-kara-hajimeru-isekai-seikatsu	standard	5	9784046809483	NDL候補なし
ri-zero-kara-hajimeru-isekai-seikatsu	standard	6	9784046814340	NDL候補なし
rinjin-13gou	standard	1	9784344805460	複数候補[('9784344800632', ''), ('9784796296144', '')]
ruriiro-princess	standard	2	9784834271065	NDL候補なし
seiden-rg-veeda	standard	1	9784041200018	NDL候補なし
seiden-rg-veeda	standard	2	9784041200810	NDL候補なし
seiden-rg-veeda	standard	5	9784041204351	NDL候補なし
sengoku-jieitai	standard	2	9784845864010	楽天裏取り不可 NDL候補=[('9784418031269', '2003.7')]
shin-piihyoro-ikka	standard	1	9784834273281	複数候補[('9784391916171', '1996.11'), ('9784872871470', '')]
shoichi	standard	1	9784812450246	NDL候補なし
shoichi	standard	2	9784812450970	NDL候補なし
shounen-keniya	standard	1	9784775910528	楽天裏取り不可 NDL候補=[('9784041547014', '198402')]
shounen-keniya	standard	3	9784775910535	楽天裏取り不可 NDL候補=[('9784041547038', '1983.9')]
suikoden-sentaro-1980	standard	1	9784062040501	複数候補[('9784845822027', ''), ('9784418041572', ''), ('9784267905568', '')]
suikoden-sentaro-1980	standard	2	9784418041602	複数候補[('9784845822034', ''), ('9784267904783', ''), ('9784267905575', '')]
sukeban-deka	standard	10	9784253275804	NDL候補なし
sukeban-deka	standard	11	9784253275811	NDL候補なし
sukeban-deka	standard	12	9784253275828	NDL候補なし
