slug	edition	vol	isbn	date	cache_title	note
akuma-kun	standard	2	9784778031671	2010-08	貸本版悪魔くん 普及版（2）	majority帯9784257に対し後発(1巻より後)
aoharu-tetsudou	standard	1	9784040662909	2014-02	青春鉄道　2014年度版	majority帯9784840に対し後発(3巻より後)
aria	standard	1	9784800005014	2016-01	ARIA The MASTERPIECE完全版（1）	majority帯9784861に対し後発(9巻より後)
aria	standard	2	9784800005410	2016-03	ARIA　完全版（2）	majority帯9784861に対し後発(9巻より後)
aria	standard	3	9784800005717	2016-05	ARIA　完全版（3）	majority帯9784861に対し後発(9巻より後)
arinko-no-uta	standard	2	9784834283686	1998-06	アリンコの歌（2）	majority帯9784876に対し後発(1巻より後)
ashitakagayaku	standard	1	9784120024610	1995-07	あした輝く中公愛蔵版	majority帯9784061に対し後発(2巻より後)
astro-kyuudan	standard	4	9784872334616	1999-07	アストロ球団（第4巻（ビクトリー球団＜デスマ）	majority帯9784834に対し後発(1巻より後)
aurora-housoukyoku	standard	2	9784257903345	1998-03	オーロラ放送局（2）	majority帯9784056に対し後発(1巻より後)
black-angels	standard	1	9784081061617	1989-10		majority帯9784088に対し後発(17巻より後)
black-angels	standard	2	9784834212020	1989-11	ブラック・エンジェルズ（2）	majority帯9784088に対し後発(17巻より後)
black-angels	standard	3	9784834212037	1989-12	ブラック・エンジェルズ（3）	majority帯9784088に対し後発(17巻より後)
black-jack	standard	19	9784061759664	1994-04	手塚治虫漫画全集（366）	majority帯9784253に対し後発(5巻より後)
boku-wa-shitataka-kun	standard	3	9784834215335	1997-04	ボクはしたたか君（3）	majority帯9784088に対し後発(2巻より後)
buriki-zaiku-no-to-tan-yane	standard	2	9784063755251	2008-07	ブリキ細工のトタン屋根（2）	majority帯9784061に対し後発(2巻より後)
change	standard	3	9784886530844	1996-12	チェンジ（第3巻）	majority帯9784063に対し後発(1巻より後)
chiisana-ochakai	standard	1	9784594045470	2004-03	小さなお茶会完全版（第1巻）	majority帯9784592に対し後発(5巻より後)
chiisana-ochakai	standard	2	9784594045487	2004-03	小さなお茶会完全版（第2巻）	majority帯9784592に対し後発(5巻より後)
choukyori-love-no-kodoku	standard	1	9784344831247	2014-05	長距離恋愛の孤独（上）	majority帯9784887に対し後発(2巻より後)
clamp-premium-collection-clamp-gakuen-tanteidan	standard	1	9784049246643	1997-04	CLAMP学園探偵団　第1巻	majority帯9784048に対し後発(2巻より後)
cyborg-009	kanzenban	1	9784889917949	2001-10	サイボーグ009（1）	majority帯9784840に対し後発(1巻より後)
dabide-no-hoshi	standard	1	9784882192589	2012-01	堕靡泥の星（悪霊誕生編）	majority帯9784757に対し後発(2巻より後)
danzai-sareta-akuyaku-reijou-wa-gyakkou-shite-kanpeki-na-akujo-o-mezasu	standard	4	9784867942437	2024-08	断罪された悪役令嬢は、逆行して完璧な悪女を目指す＠COMIC 第4巻	majority帯9784866に対し後発(1巻より後)
dennou-nao-san	standard	1	9784048687850	2010-07	電脳なをさん（ver．1．0）	majority帯9784756に対し後発(3巻より後)
dennou-nao-san	standard	2	9784048860901	2011-10	電脳なをさん（Ver．2．0）	majority帯9784756に対し後発(3巻より後)
double-call	standard	2	9784877243739	2004-10	Double　call（2）	majority帯9784756に対し後発(2巻より後)
double-call	standard	3	9784877243777	2004-10	Double　call（3）	majority帯9784756に対し後発(2巻より後)
eat-man	standard	1	9784063768268	2014-05	EAT-MAN　COMPLETE　EDITION（1）	majority帯9784840に対し後発(10巻より後)
eat-man	standard	2	9784063768275	2014-05	EAT-MAN　COMPLETE　EDITION（2）	majority帯9784840に対し後発(10巻より後)
eat-man	standard	3	9784063768282	2014-06	EAT-MAN　COMPLETE　EDITION（3）	majority帯9784840に対し後発(10巻より後)
eat-man	standard	4	9784063768299	2014-06	EAT-MAN　COMPLETE　EDITION（4）	majority帯9784840に対し後発(10巻より後)
eat-man	standard	5	9784063768305	2014-07	EAT-MAN　COMPLETE　EDITION（5）	majority帯9784840に対し後発(10巻より後)
eat-man	standard	6	9784063768312	2014-07	EAT-MAN　COMPLETE　EDITION（6）	majority帯9784840に対し後発(10巻より後)
