slug	title	now	should_be
myuutantoden	ミュータント伝	桑田二郎	桑田次郎
kawari-ooini-warau	カワリ大いに笑う!	桑田二郎	桑田次郎
sandarabotchi	さんだらぼっち	石ノ森章太郎	石森章太郎
chijou-saikyou-no-otoko-ryuu	地上最強の男・竜	風忍|ダイナミックプロダクション	風忍|ダイナミックプロ
shikakui-jungle	四角いジャングル	中城けんたろう	中城健
ultra-q	ウルトラQ	中城けんたろう	中城健
ring-no-takaou	リングのタカ王	桑田二郎	桑田次郎
shichikai-karano-tegami	七階からの手紙	竹宮惠子	竹宮恵子
genji-monogatari-shin	源氏物語	とみ新蔵	臣新蔵
kanon-takemiya	カノン	竹宮惠子	竹宮恵子
denkou-shounen-supaaku-dan	電光少年スパーク・ダン	桑田二郎	桑田次郎
kiiroi-tebukuro-ekkusu	黄色い手袋X	桑田二郎	桑田次郎
dangan-toppu	弾丸トップ	桑田二郎	桑田次郎
denkou-shounen	電光少年	桑田二郎	桑田次郎
spade-j	スペードJ	桑田二郎	桑田次郎
arashino-champion	嵐のチャンピオン	桑田二郎	桑田次郎
jaiantsu16gou	巨人16号	桑田二郎	桑田次郎
jitsuwa-maji-de-kowaai-hanashi	実話マジで怖ーい話	岩田やすてる|風忍|のうずまみ|光永健一|青沼涼子|石橋明日香|田口たつみ|洋武|熊本雅弘|真原伊那|倉馬奈未|大峰らん|大本三根子|じゃんぐる堂|原田亜香音|ダイナミックプロダクション|速瀬みさき|津上柊子|こきま大|鷲塚三房	岩田やすてる|風忍|のうずまみ|光永健一|青沼涼子|石橋明日香|田口たつみ|洋武|熊本雅弘|真原伊那|倉馬奈未|大峰らん|大本三根子|じゃんぐる堂|原田亜香音|ダイナミックプロ|速瀬みさき|津上柊子|こきま大|鷲塚三房
gyaru-shinkan-wa-rizare-ga-darui	ギャル神官はリザレがダルい	秋★枝	秋枝
itsuwari-no-kenta	偽りのケンタ	馬場康誌	馬場康士
wakarerutame-no-ichiya	別れるための一夜	羽生シオン|リン・グレアム	羽生詩音|リン・グレアム
