slug	title	now	should_be	mangaka_qid	alt_names	madb_credits	rakuten_authors	verdict
rainbowsentai	レインボー戦隊	鈴木伸一	風田朗	Q11648538	風田朗	風田朗x1		MADB_ONLY
hamusarada-kun	ハムサラダくん	ヨシダ忠	吉田忠	Q11346055	吉田忠	吉田忠x2		MADB_ONLY
dakkan	奪還	須本壮一	本そういち	Q7564122	すもとそういち|本そういち	本そういちx2|蓮池透x2	本そういち/蓮池透x3|蓮池透/本そういちx1	CLEAR_FIX
jitsuwa-maji-de-kowaai-hanashi	実話マジで怖ーい話	おとと	じゃんぐる堂	ndl:00114215	菅辺吾郎|黒宮夕雅|じゃんぐる堂	洋武x3|津上柊子x3|田口たつみx3|青沼涼子x3|鷲塚三房x3|光永健一x2|瀬河美紀x2|石橋明日香x2|のうずまみx2|じゃんぐる堂x2|ダイナミックプロx2|倉馬奈未x2|原田亜香音x2|大峰らんx2|真原伊那x2|立花未来王x2|速瀬みさきx2|竹内ユキx1|こきま大x1|北本守正x1|倉馬奈美x1|大本三根子x1|河村万里x1|熊本雅弘x1|岩田やすてるx1|河原達弘x1|河村万理x1|野口千里x1|風忍x1|鯖玉弓x1		MADB_ONLY
bloody-monday-season2	ブラッディ・マンディ Season2	樹林伸	龍門諒	Q966701	亜樹直|伊賀大晃|天樹征丸|安童夕馬|有森丈時|青樹佑夜|龍門諒	龍門諒x14|恵広史x11	恵広史/龍門諒x5|龍門諒/恵広史x3	CLEAR_FIX
project-zeoraimaa-omega	冥王計画ゼオライマーΩ	高屋良樹	ちみもりを	Q1079837	ちみもりを	ワタリユウx13|ちみもりをx13	ワタリユウ/ちみもりをx11|ちみもりを/ワタリユウx2	CLEAR_FIX
little-n-flippers	リトルエヌフリッパーズ	銀子	リトルエヌ	ndl:00122818	リトルエヌ	リトルエヌx3		MADB_ONLY
megami-sama-no-iutoori-tsuyatsuya	女神さまのいうとおり	艶々	廣瀬良多	Q11614539	広瀬リョータ|廣瀬良多	廣瀬良多x1		MADB_ONLY
shadows-house	シャドーハウス	青インク	ソウマトウ	ndl:00114160	ソウマトウ|月見隆士	ソウマトウx22	ソウマトウx22	CLEAR_FIX
unnamed-memory	アンネームドメモリー	オカカ	越水ナオキ	ndl:00122596	越水ナオキ|ももたん	越水ナオキx9|古宮九時x9|chibix6	古宮　九時/越水　ナオキ/chibix11	CLEAR_FIX
tsumari-souiu-koto-karada-wa-ai-ni-hairimasuka	つまりそういうコト。	花本八満	獅山雨為	ndl:00125326	獅山雨為	獅山雨為x3		MADB_ONLY
akuyaku-no-go-reisoku-no-dounika-shitai-nichijou	悪役のご令息のどうにかしたい日常	光田さの	ふわいにむ	ndl:03244358	ふわいにむ	ふわいにむx7|馬のこえが聞こえるx7	ふわい にむ/馬のこえが聞こえる/コウキ。x7	CLEAR_FIX
danzai-sareta-akuyaku-reijou-wa-gyakkou-shite-kanpeki-na-akujo-o-mezasu	断罪された悪役令嬢は、逆行して完璧な悪女を目指す	泉すずしろ	北国良人	ndl:00130519	雪狸|北国良人	楢山幕府x6|北国良人x6|えびすしx4		MADB_ONLY
40-made-ni-shitai-10-no-koto	40までにしたい10のこと	LA軍	マミタ	ndl:00131388	マミタ	マミタx3		MADB_ONLY
akage-no-yakutatazu-to-kubi-ni-natta-maryoku-nashi-no-majo-desu-yakusou-no-chishiki-ga-hanpanai-to	「赤毛の役立たず」とクビになった魔力なしの魔女ですが、「薬草の知識がハンパない!」と王立研究所に即採用されました。	広路なゆる	糸加	ndl:00136334	糸加	糸加x4|天宮こなつx4	天宮 こなつ/糸加x5	CLEAR_FIX
neko-to-shinshi-no-tea-room	猫と紳士のティールーム	ハイソンヤギ	モリコロス	ndl:00118258	モリコロス	モリコロスx5|吉田直子x1		MADB_ONLY
