slug	title	canonical	norm_key	巻番号	版
0-shinohara-1977	0課の女	同名	有	SPコミツクス	重複	standard/SPコミックス/6巻[1, 2, 3, 4, 5, 6] || shinsoban/SPコミックス/1巻[6]
21-emon	21エモン	同名	有	てんとう虫コミツクス	重複	other/てんとう虫コミックス/4巻[1, 2, 3, 4] || shinsoban/てんとう虫コミックス/4巻[1, 2, 3, 4]
aahananoouendan	嗚呼!!花の応援団	同名	有	アクシヨンコミツクス	重複	standard/アクションコミックス/15巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15] || shinsoban/アクションコミックス/9巻[1, 2, 3, 4, 5, 6, 7, 9, 10] || deluxe/アクションコミックス/8巻[1, 2, 3, 4, 5, 6, 7, 8]
aburemon	あぶれもん	同名	有	近代麻雀コミツクス	重複	standard/近代麻雀コミックス/4巻[1, 2, 3, 4] || shinsoban/近代麻雀コミックス/2巻[3, 5]
ace-o-nerae	エースをねらえ!	同名	有	マーガレツトコミツクス	重複	standard/マーガレットコミックス/17巻[1, 2, 3, 4, 5, 6, 7, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18] || shinsoban/マーガレットコミックス/8巻[8, 11, 12, 13, 14, 16, 17, 18]
ai-to-makoto	愛と誠	同名	有	講談社漫画文庫	重複	bunkobon/講談社漫画文庫/16巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16] || bunkobon/講談社漫画文庫/10巻[1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
akira	AKIRA	同名	有	KCデラツクス	重複	standard/KCデラックス/6巻[1, 2, 3, 4, 5, 6] || shinsoban/KCデラックス/6巻[1, 2, 3, 4, 5, 6]
akumagari	悪魔狩り	同名	有	BLADECOMICS	重複	standard/BLADE COMICS/7巻[1, 2, 3, 4, 5, 6, 7] || shinsoban/BLADE COMICS/6巻[6, 5, 4, 3, 2, 1]
ariesu-no-otometachi	アリエスの乙女たち	同名	有	講談社コミツクスフレンド	重複	standard/講談社コミックスフレンド/7巻[6, 7, 5, 4, 3, 2, 1] || shinsoban/講談社コミックスフレンド/6巻[6, 4, 3, 5, 2, 1]
baddodaneyoshiokun	BADだねヨシオくん!	同名	有	ジヤンプコミツクス	重複	standard/ジャンプ・コミックス/5巻[1, 2, 3, 4, 5] || shinsoban/ジャンプ・コミックス/3巻[1, 2, 3]
