canonical_seed	title	seed_isbns	other_page	other_title	shared_isbns
blue-sakisaka-2006	BLUE	6	blue	BLUE	6
enueichikee-darwin-ga-kita	NHKダーウィンが来た!	6	darwin-ga-kita	ダーウィンが来た!	6
god-mazinger	ゴッドマジンガー	4	majindensetsu	魔神伝説	4
gold-2004	GOLD	16	gold-2	ゴールド	2
jigoku-shoujo-enma-ai-selection-geki-kowa-story	地獄少女閻魔あいセレクション激こわストーリー	1	jigoku-shoujo-enma-ai-selection-gekikowa-story	地獄少女閻魔あいセレクション激こわストーリー	1
kaibutsu-kun-1988	怪物くん	20	kaibutsu-kun	怪物くん	13
kinpeibai	金瓶梅	63	manga-grimm-douwa	まんがグリム童話	1
majima-kun-suttobasu	真島クンすっとばす!!	10	jinnairyuu-juujutsu-butouden-majima-kun-suttobasu	陣内流柔術武闘伝 真島クンすっとばす!!	5
majindensetsu	魔神伝説	4	god-mazinger	ゴッドマジンガー	4
seimaden-1984	聖魔伝	10	seimaden	聖魔伝	10
sengoku-jieitai	戦国自衛隊	4	sengoku-jieitai-2014	戦国自衛隊	4
x-men	X-MEN	9	x-men-1994	X-MEN	9
x-men	X-MEN	9	x-men-1994-4	エックスメン	1
