display	base	volumes	authors	publisher	latest	title_cands
インテンス（カラー版）	インテンス	42	zack	SNP	2022年10月04日	
私と上司の内緒の事情【フルカラー版】	私と上司の内緒の事情	34	たむら純子	アムコミ	2026年01月09日	
ジョジョの奇妙な冒険 第8部 ジョジョリオン カラー版	ジョジョの奇妙な冒険 第8部 ジョジョリオン	27	荒木飛呂彦	集英社	2022年12月19日	
[カラー版]イケメン・味めぐり〜密着とろとろ紀行	イケメン・味めぐり〜密着とろとろ紀行	25	たちばな雪乃,みれい綾音	パルソラ	2017年06月02日	
[カラー版]王先生の治療室〜あなたを女にして差し上げます	王先生の治療室〜あなたを女にして差し上げます	24	たちばな雪乃,如月奏,長岡桃白	パルソラ	2020年01月24日	
ジョジョの奇妙な冒険 第7部 スティール・ボール・ラン カラー版	ジョジョの奇妙な冒険 第7部 スティール・ボール・ラン	24	荒木飛呂彦	集英社	2012年10月05日	
愛になるまであたためて【フルカラー版】	愛になるまであたためて	21	山口恵	アムコミ	2021年01月22日	
To LOVEるーとらぶるーダークネス カラー版	To LOVEるーとらぶるーダークネス	18	矢吹健太朗,長谷見沙貴	集英社	2017年05月02日	
ジョジョの奇妙な冒険 第4部 ダイヤモンドは砕けない カラー版	ジョジョの奇妙な冒険 第4部 ダイヤモンドは砕けない	18	荒木飛呂彦	集英社	2013年03月19日	
ジョジョの奇妙な冒険 第5部 黄金の風 カラー版	ジョジョの奇妙な冒険 第5部 黄金の風	17	荒木飛呂彦	集英社	2013年10月18日	
ジョジョの奇妙な冒険 第6部 ストーンオーシャン カラー版	ジョジョの奇妙な冒険 第6部 ストーンオーシャン	17	荒木飛呂彦	集英社	2013年12月20日	
夫の家庭を壊すまで【フルカラー版ヨコ読み】	夫の家庭を壊すまでヨコ読み】	17	amuse,hykecomic,mugenfactory,赤石真菜	双葉社	2025年05月03日	
ジョジョの奇妙な冒険 第3部 スターダストクルセイダース カラー版	ジョジョの奇妙な冒険 第3部 スターダストクルセイダース	16	荒木飛呂彦	集英社	2012年07月13日	
【セミカラー版】戦×恋（ヴァルラヴ）	戦×恋（ヴァルラヴ）	16	朝倉亮介	スクウェア・エニックス	2023年08月10日	
小悪魔くんの甘い囁き【フルカラー版】	小悪魔くんの甘い囁き	16	有生青春	アムコミ	2020年07月24日	
小悪魔教師サイコ（Webtoon横カラー版）シリーズ	小悪魔教師サイコ（Webtoon横シリーズ	15	peep,三石メガネ	taskey	2026年02月04日	
エンゼルバンク ドラゴン桜外伝 フルカラー版	エンゼルバンク ドラゴン桜外伝	14	三田紀房	コルク	2026年07月31日	
HIYOKO BRAND おくさまは女子高生 カラー版	HIYOKO BRAND おくさまは女子高生	13	こばやしひよこ	集英社	2013年03月19日	
溺愛アレルギー【フルカラー版】	溺愛アレルギー	13	藤東馬	ファンギルド	2023年12月27日	
[カラー版]ねぇ姉貴、眠れないの？	ねぇ姉貴、眠れないの？	12	こりすキョコ,花緒みゆ	パルソラ	2021年10月30日	
僕のはじめて、キミにあげる【フルカラー版】	僕のはじめて、キミにあげる	12	高島えり	アムコミ	2020年07月24日	
先生×生徒　禁断の放課後【フルカラー版】	先生×生徒　禁断の放課後	12	小豆夜桃のん	OrangeVox	2023年08月09日	
恋するほろ酔いうさぎ【フルカラー版】	恋するほろ酔いうさぎ	12	なかはらももた,晴日青	サード・ライン	2025年04月19日	
ぬらりひょんの孫 カラー版 羽衣狐編	ぬらりひょんの孫羽衣狐編	10	椎橋寛	集英社	2012年11月16日	
エンバーミングーTHE ANOTHER TALE OF FRANKENSTEINー カラー版	エンバーミングーTHE ANOTHER TALE OF FRANKENSTEINー	10	和月伸宏	集英社	2018年09月04日	
[カラー版]うそつきパラドクス	うそつきパラドクス	10	きづきあきらサトウナンキ	白泉社	2014年07月25日	usotsuki-paradox
0歳児スタートダッシュ物語【フルカラー版】【単行本版】	0歳児スタートダッシュ物語【単行本版】	9	はやせれく,海華	秋水社ORIGINAL	2026年05月29日	
[カラー版]快楽レプリカ〜背徳の性玩具	快楽レプリカ〜背徳の性玩具	9	こりすキョコ,花緒みゆ	パルソラ	2022年02月10日	
センセイは嘘つき【フルカラー版】	センセイは嘘つき	9	東きゆう,欧坂ハル	アムコミ	2020年07月24日	
最初で最後のママの恋【フルカラー版】	最初で最後のママの恋	9	高島えり	アムコミ	2020年07月24日	
DRAGON BALL カラー版 人造人間・セル編	DRAGON BALL人造人間・セル編	8	鳥山明	集英社	2013年09月04日	
エルフさんは痩せられない。【秋田書店フルカラー版】	エルフさんは痩せられない。【秋田書店	8	シネクドキ	秋田書店	2023年02月20日	
