severity	kind	slug	title	ed_idx	ed_type	ed_imprint	ed_publisher	date	gran	n	ed_vols	frac	ed_batch	vols	cadence_mo	cad_src	span_months	serial_years	year_started	year_ended	event_slugs	isbn_block	nbr_n	nbr_same	nbr_inside	nbr_titles	nbr_titles_flat	nbr_span_mo	serial_width	isbn_proof_ok	local_rate	implied_months	rakuten	rk_distinct	rk_spread_mo	rk_offset_mo	rk_mono	rakuten_dates	legit_hint
BROKEN	RAKUTEN_STAGGERED	kamuigaiden	カムイ外伝	2	kanzenban	カムイ伝全集	小学館	2006	year	11	11	1.0	11	1-11		assumed	25.0	5	1983	1987	1	11/11	89	3	9	5	0	143	11	0	0.46	21.5	6種/11件/散5ヶ月 ★楽天はバラける=本番の同一日が偽	6	5	7	1	1:2006年10月30日 2:2006年11月30日 3:2006年11月30日 4:2006年12月26日 5:2006年12月26日 6:2007年01月30日 7:2007年01月30日 8:2007年02月28日 9:2007年02月28日 10:2007年03月30日 11:2007年03月30日	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 学習/全集/BOX語 / 再版種別
BROKEN	RAKUTEN_STAGGERED	break-blade	ブレイクブレイド	0	standard	Flex comix	ほるぷ出版	2012-02	month	10	20	0.5	1	1-10	6.7	observed	60.6	11	2012	2022	2	10/22	115	2	12	31	1	45	22	0	3.17	6.6	5種/10件/散4ヶ月 ★楽天はバラける=本番の同一日が偽	5	4	19	1	1:2013年07月12日頃 2:2013年07月12日頃 3:2013年08月12日頃 4:2013年08月12日頃 5:2013年09月12日頃 6:2013年09月12日頃 7:2013年10月12日頃 8:2013年10月12日頃 9:2013年11月12日頃 10:2013年11月12日頃	
BROKEN	RAKUTEN_CONFLICT	ginga-tetsudou-999	銀河鉄道999	1	bunkobon	少年画報社文庫	少年画報社	1994-05-04	day	8	18	0.44	6	3-10	10.1	observed	70.8	18	1988	2005	1	8/8	94	0	0	16	0	271	8	0	0.45	15.5	3種/8件/散20ヶ月 ★楽天はバラける=本番の同一日が偽	3	20	20	0	3:1996年01月 4:1996年01月 5:1994年05月 6:1994年05月04日頃 7:1996年01月 8:1994年05月 9:1994年05月 10:1996年01月	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 再版種別
BROKEN	ISBN_SPREAD_PROOF	sprite-arimura-1995	SPRITE	0	standard	YKコミックス	少年画報社	1997-04-15	day	5	9	0.56	1	2-6	4.5	observed	18.0	4	1995	1998	1	5/110	166	0	62	31	0	58	110	1	4.34	25.1	1種/5件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	2:1997年04月15日頃 3:1997年04月15日頃 4:1997年04月15日頃 5:1997年04月15日頃 6:1997年04月15日頃	楽天も実質同日
BROKEN	RAKUTEN_STAGGERED	peleliu-rakuen-no-gerunika	ペリリュー-楽園のゲルニカ-	0	standard	YOUNG ANIMAL COMICS	白泉社	2017-08	month	4	11	0.36	1	1-4	4.8	observed	14.4	5	2017	2021	1	4/4	64	1	0	16	0	156	4	0			4種/4件/散19ヶ月 ★楽天はバラける=本番の同一日が偽	4	19	-1	1	1:2016年07月29日頃 2:2017年01月27日頃 3:2017年07月28日頃 4:2018年02月28日	ISBN連番(弱い証拠=採番ブロック予約でも連番になる)
BROKEN	RAKUTEN_STAGGERED	tonari-no-seki-kun	となりの関くん	0	standard	MFコミックスフラッパーシリーズ	KADOKAWA	2013-12	month	4	10	0.4	1	1-4	4.3	observed	13.0	5	2013	2017	1	4/4	48	0	0	6	0	30	4	0	1.89	1.6	4種/4件/散24ヶ月 ★楽天はバラける=本番の同一日が偽	4	24	-17	1	1:2011年04月 2:2011年11月 3:2012年07月23日 4:2013年04月05日頃	ISBN連番(弱い証拠=採番ブロック予約でも連番になる)
BROKEN	PRE_SERIAL	aikoku-sensou	哀国戦争	0	standard	キングシリーズ	集英社	1990-08-01	day	4	6	0.67	1	1-4	3.2	observed	9.6	27	2000		1	4/4	43	1	0	6	0	94	4	0	0.66	4.5	1種/4件/散0ヶ月 (楽天も実質同日=一挙刊行の可能性)	1	0	0	1	1:1990年08月01日頃 2:1990年08月01日頃 3:1990年08月01日頃 4:1990年08月01日頃	ISBN連番(弱い証拠=採番ブロック予約でも連番になる) / 楽天も実質同日
BROKEN	ISBN_SPREAD_PROOF	bambi	バンビ	0	standard	アスペクトコミックス	エンターブレイン	2001-01	month	4	6	0.67	1	1-5(飛)	3.0	observed	9.0	2	2000	2001	1	4/161	92	5	42	19	2	51	161	1	3.7	43.2	2種/4件/散7ヶ月 ★楽天はバラける=本番の同一日が偽	2	7	-7	1	1:2000年06月 2:2000年06月 3:2000年06月 5:2001年01月	
BROKEN	ISBN_SPREAD_PROOF	jibaku-kun	ジバクくん	0	standard	BROS.COMICS	エンターブレイン	2000-07	month	4	6	0.67	1	1-5(飛)	1.4	observed	4.2	2	2000	2001	1	4/28	26	11	3	6	2	26	28	1	1.69	16.0	2種/2件/散1ヶ月 (楽天も実質同日=一挙刊行の可能性)	2	1	0	0	3:2000年06月 5:2000年07月	
BROKEN	RAKUTEN_STAGGERED	kochira-bonjingumi	こちら凡人組	0	standard	マンサンコミックス	実業之日本社	1987-12-25	day	3	17	0.18	1	3-7(飛)	12.5	observed	25.0	18	1987	2004	1	3/5	27	0	0	5	0	43	5	0	0.21	19.1	3種/3件/散9ヶ月 ★楽天はバラける=本番の同一日が偽	3	9	7	1	3:1987年11月25日頃 6:1988年07月27日頃 7:1988年08月24日頃	
