tier	worst_days	shape	slug	title	ed_idx	ed_type	ed_label	ed_imprint	publisher	status	n_vols	n_pairs	n_offenders	offender_nums	worst_pair	prec	isbn_pattern	isbn_pub_code	max_same_date	in_5y_ledger
T1_1年以上	1770	SINGLE	sonna-omizu-no-hitorigoto	そんなお水のひとりごと	0	standard	通常版	講談社コミックスミミ	講談社	completed	4	1	1	1	1巻(1998-12-18)→2巻(1994-02-12)	D/D	有→有	40632/40632	2	
T1_1年以上	1742	BLOCK	iraka-no-nami	いらかの波	0	standard	通常版	マーガレット・コミックス	講談社	completed	10	24	4	1,2,3,4	4巻(1984-12-06)→5巻(1980-02)	D/M	有→有	40610/40610	1	
T1_1年以上	1742	SINGLE	oh-takarazuka	Oh!タカラヅカ	0	standard	通常版	ヤングマガジンコミックス	講談社	completed	8	5	1	3	3巻(1986-11-18)→4巻(1982-02-10)	D/D	有→有	40610/40617	1	
T1_1年以上	1735	BLOCK	g-defend	G・defend	1	standard	通常版	ラキッシュ・コミックス	冬水社	ongoing	76	316	11	37,38,39,40,41,42,43,44	33巻(2015-06)→37巻(2010-08)	M/M	有→有	48642/48642	5	yes
T1_1年以上	1611	BLOCK	ri-zero-kara-hajimeru-isekai-seikatsu	Re:ゼロから始める異世界生活	0	standard	通常版	MFコミックス	KADOKAWA	ongoing	13	25	5	2,3,4,5,6	6巻(2022-06-22)→7巻(2018-01-23)	D/D	有→有	40468/40406	1	
T1_1年以上	1597	SINGLE	circuit-no-ookami	サーキットの狼	0	standard	通常版	ジャンプコミックス	集英社	completed	23	22	1	0	0巻(1980-06-15)→1巻(1976-01-31)	D/D	無→無	-/-	1	
T1_1年以上	1578	SCATTER	mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	1	shinsoban	水木しげる漫画大全集(2014)	水木しげる漫画大全集	講談社	completed	37	276	24	3,4,5,9,10,11,13,18	5巻(2018-05)→61巻(2014-01-04)	M/D	有→有	40651/40637	2	
T1_1年以上	1567	SCATTER	ou-sama-no-shitateya	王様の仕立て屋	3	deluxe	ジャンプ・コミックスデラックス(2004-04)	ジャンプ・コミックスデラックス	集英社	completed	26	27	3	1,3,4	1巻(2008-08)→2巻(2004-04-17)	M/D	有→有	40885/40885	2	
T1_1年以上	1554	SCATTER	richou-suikoden	李朝水滸伝	0	standard	通常版		JICC出版局	completed	9	12	3	3,6,9	1巻(1989-11)→3巻(1985-07)	M/M	有→有	48806/48806	6	
T1_1年以上	1531	BLOCK	watashi-ga-mama-yo	わたしがママよ	1	standard	通常版		集英社	completed	5	6	2	4,5	2巻(1999-08)→4巻(1995-05-23)	M/D	有→有	40878/40886	2	
T1_1年以上	1523	SINGLE	hidoku-shinaide	酷くしないで	0	standard	通常版	Be-boy comics	リブレ出版	completed	9	3	1	1	1巻(2014-12-10)→2巻(2010-10-09)	D/D	有→有	47997/48626	1	
T1_1年以上	1484	SINGLE	clamp-premium-collection-clamp-gakuen-tanteidan	CLAMP PREMIUM COLLECTION CLAMP学園探偵団	1	standard	あすかコミックスDX（1993–1997）	あすかコミックスDX	角川書店	completed	3	2	1	1	1巻(1997-04-24)→2巻(1993-04-01)	D/D	有→有	40492/40485	1	
T1_1年以上	1484	SINGLE	hyouryuu	漂流	0	standard	通常版	SPコミックス	リイド社	completed	4	2	1	2	2巻(1997-12)→3巻(1993-11-08)	M/D	有→有	48458/48458	1	
T1_1年以上	1432	SINGLE	kimi-wa-boku-o-suki-ni-naru	君は僕を好きになる	0	standard	通常版	ラキッシュ・コミックス	冬水社	completed	4	2	1	2	2巻(1999-11)→3巻(1995-11)	M/M	有→有	48874/48874	1	
T1_1年以上	1431	SINGLE	the-live	ザ・ライブ	0	standard	通常版	近代麻雀コミックス	竹書房	completed	4	3	1	1	1巻(1994-08)→2巻(1990-08)	M/M	無→有	-/48847	1	
T1_1年以上	1422	BLOCK	uchuu-kazoku-carlvinson	宇宙家族カールビンソン	0	standard	通常版	少年キャプテンコミックス	講談社	completed	13	22	2	12,13	11巻(2000-05-24)→12巻(1996-07-02)	D/D	有→有	40631/41983	2	
T1_1年以上	1400	SCATTER	mizuki-shigeru-manga-dai-zenshuu	水木しげる漫画大全集	0	standard	通常版	水木しげる漫画大全集	講談社	completed	69	1143	54	2,4,5,8,12,15,21,25	26巻(2017-04-03)→29巻(2013-06-03)	D/D	有→有	40637/40637	3	
T1_1年以上	1370	SINGLE	janrou-densetsu-aoki-ookamitachi	雀狼伝説 蒼き狼たち	0	standard	通常版	アクションコミックス	双葉社	completed	5	1	1	6	6巻(1996-06)→7巻(1992-08)	M/M	有→有	48124/45758	1	
T1_1年以上	1344	BLOCK	hakkyuu-no-uta	白球の詩	0	standard	通常版	一球入魂コミックス	講談社	completed	9	20	4	6,7,8,9	5巻(1985-07-06)→6巻(1981-10)	D/M	有→無	40610/-	1	
T1_1年以上	1313	BLOCK	e-s	E'S	0	standard	通常版	Gファンタジーコミックス	エニックス	completed	16	18	3	1,2,3	1巻(2003-03)→4巻(1999-07-27)	M/D	有→有	47575/47575	3	
T1_1年以上	1312	SINGLE	amai-mizu	甘い水	0	standard	通常版		講談社	completed	2	1	1	1	1巻(2007-02)→2巻(2003-06)	M/M	有→有	40628/40633	1	
T1_1年以上	1309	SINGLE	mangetsunoyoruni	まんげつのよるに	0	standard	通常版	あらしのよるにシリーズ	講談社	completed	3	2	1	7	3巻(2009-07)→7巻(2005-11)	M/M	有→有	40627/40625	1	
T1_1年以上	1302	SINGLE	haai-mari-chan-ai-no-toile	ハーイ!まりちゃん 愛のエトワール	0	standard	通常版	てんとう虫コミックス	小学館	completed	7	1	1	1	1巻(1989-08-25)→2巻(1986-01)	D/M	有→有	40914/40914	1	
T1_1年以上	1280	SINGLE	nekketsu-daibouken-tairiku	熱血!大冒険大陸	0	standard	通常版	HOBBY JAPAN COMICS	ホビージャパン	completed	5	4	1	6	5巻(1996-10)→6巻(1993-03)	M/M	有→有	48942/49384	1	
T1_1年以上	1277	BLOCK	hadashi-no-gen	はだしのゲン	0	standard	通常版		汐文社	completed	10	14	2	8,9	2巻(1986-08)→8巻(1983-02-01)	M/D	有→無	41241/-	6	
T1_1年以上	1277	BLOCK	kumo-desu-nanika-kakashi-2020	蜘蛛ですが、なにか?	0	standard	通常版	角川コミックス・エース	KADOKAWA	ongoing	16	19	5	5,6,7,8,9	6巻(2023-01-07)→7巻(2019-07-10)	D/D	有→有	40411/40410	2	
T1_1年以上	1276	SINGLE	hetaria	ヘタリア	0	standard	通常版	BIRZ EXTRA	幻冬舎コミックス	completed	6	3	1	3	3巻(2014-12-24)→4巻(2011-06-27)	D/D	有→有	43448/43448	1	
T1_1年以上	1263	SINGLE	boku-shika-shiranai-kimi-no-naka	僕しか知らない君のナカ。	0	standard	通常版	Bamboo comics	竹書房	completed	3	1	1	2	2巻(2022-03)→3巻(2018-09-15)	M/D	有→有	48019/48019	2	
T1_1年以上	1233	SINGLE	guranpuri-tengoku	グランプリ天国	0	standard	通常版	NEWS MOOK	三栄書房	completed	5	2	1	2	2巻(2010-07-15)→3巻(2007-02)	D/M	有→有	47796/48910	1	
T1_1年以上	1227	SINGLE	kanna	神無	0	standard	通常版	Dengeki Comics EX	メディアワークス	completed	4	3	1	4	3巻(2003-12-25)→4巻(2000-08-15)	D/D	有→有	48402/48402	1	
T1_1年以上	1219	SINGLE	jientoruman	ジェントル萬	1	bunkobon	文庫版	スコラ漫画文庫シリーズ	メディアファクトリー	completed	3	1	1	1	1巻(2002-08)→2巻(1999-03)	M/M	有→有	48401/47962	1	
