class	slug	deluxe_imprint	dx_vols	st_vols	num_overlap	isbn_overlap
DUP	12-no-kekkon-monogatari	KCデラックス	4-4(1)	2-6(5)	1	1
DUP	captain-kid	KCデラックス	1-10(10)	1-12(12)	10	3
DUP	card-kyaputaa-sakura-2016	KCデラックス	1-3(3)	1-3(3)	3	3
DUP	clamp-premium-collection-chobittsu	デラックスKC	1-8(8)	1-8(8)	8	4
DUP	densetsu-no-yarichin-vs-teppeki-no-shiriana	ビーボーイコミックスデラックス	2-5(4)	1-4(2)	1	1
DUP	golden-boy-1993	ジャンプ・コミックスデラックス	1-10(10)	1-10(10)	10	10
DUP	green-no-kifujin	KCデラックス	1-3(3)	2-2(1)	1	1
DUP	hana-ni-kamiguse	KCデラックス	1-4(4)	2-5(2)	1	1
DUP	heba-hello-chan	ミスターマガジンKCデラックス	2-4(2)	1-5(5)	2	1
DUP	inasaku	KCデラックス	1-1(1)	1-1(1)	1	1
DUP	kousaka-shachou-wa-gaman-dekinai	KCデラックス	1-6(6)	5-5(1)	1	1
DUP	myououden-rei	KCデラックス	8-15(6)	1-12(12)	3	3
DUP	noragami	講談社コミックスデラックス. 月刊少年マガジン	1-14(14)	1-27(27)	14	3
DUP	ouji-sama-no-dakimakura	ビーボーイコミックスデラックス	1-4(4)	2-2(1)	1	1
DUP	rinta-no-momoiro-comic	デラックス近代映画 エルティーンBOOKS	2-2(1)	1-19(19)	1	1
DUP	ruriko-joou-no-kareinaru-hibi	ジャンプ・コミックスデラックス	1-5(5)	1-2(2)	2	1
DUP	saikyou-de-saisoku-no-mugen-level-appu	講談社コミックスデラックス. 月刊少年マガジン	6-11(6)	1-12(12)	6	6
DUP	shi-no-white-magic	KCデラックス	2-2(1)	1-4(4)	1	1
DUP	shippo-ga-tomodachi	Youコミックスデラックス	1-3(2)	1-7(7)	2	1
DUP	tenka-musou	ジャンプ・コミックスデラックス	1-10(10)	3-3(1)	1	1
DUP	tsuihousareta-sareta-cheat-fuyo-majutsushi-wa-kimama-na-sekando-life-o-ouka-suru	講談社コミックスデラックス. 月刊少年マガジン	11-20(10)	1-21(21)	10	10
DUP	tsuma-to-boku-no-shoukibo-na-ikuji	KCデラックス	1-14(14)	11-12(2)	2	2
DUP	watashi-ga-mama-yo	Youコミックスデラックス	1-4(4)	1-5(5)	4	1
DUP	yappa-ningen-yamete-seikai-dawa	講談社コミックスデラックス. 月刊少年マガジン	1-4(4)	2-2(1)	1	1
PARALLEL	100-man-doru-kid	KCデラックス	5-7(3)	1-9(9)	3	0
PARALLEL	ai-hitotsu-akiko	ヤングレディKCデラックス YLKC	1-3(3)	1-3(3)	3	0
PARALLEL	ai-to-makoto	KCデラックス	1-10(10)	1-16(16)	10	0
PARALLEL	aitora	講談社コミックスデラックス. 月刊少年マガジン	3-3(1)	1-1(1)	0	0
PARALLEL	aitsu-to-lullaby	KCデラックス	1-18(18)	1-39(39)	18	0
PARALLEL	akai-tsurugi	KCデラックス	1-7(7)	1-10(10)	7	0
PARALLEL	akkanbeeikkyuu	アフタヌーンKCデラックス	1-4(4)	1-4(4)	4	0
PARALLEL	alkali-lady	ユーコミックスデラックス	1-3(3)	1-2(2)	2	0
PARALLEL	aoi-juujiro	KCデラックスス	1-2(2)	1-2(2)	2	0
PARALLEL	aozora-shoujo-tai	YKコミックス・デラックス	1-2(2)	1-3(3)	2	0
PARALLEL	arion	アニメージュコミックスデラックス	1-3(3)	1-5(5)	3	0
PARALLEL	asakusa-young-youhinten	ホラーミステリーデラックスシリーズ	2-4(3)	1-6(6)	3	0
PARALLEL	atagoul	バーガーSCデラックス	1-2(2)	1-9(5)	2	0
PARALLEL	azuki-chan	KCデラックス	1-5(5)	1-8(8)	5	0
