action	slug	detail
HOLD_number_overlap	100-man-doru-kid	[5, 6, 7]
HOLD_number_overlap	12-no-kekkon-monogatari	[4]
HOLD_number_overlap	crisis-2050	[1]
HOLD_number_overlap	3-3eyes	[1, 2, 3, 4]
HOLD_number_overlap	3saijikun	[1]
HOLD_number_overlap	4p-tanaka-kun	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	a-ressha-de-ikou	[1]
HOLD_number_overlap	aa-hana-no-ouendan	[1]
HOLD_number_overlap	ai-hitotsu-akiko	[1, 2, 3]
HOLD_number_overlap	ai-no-jikken	[1]
HOLD_number_overlap	ai-to-makoto	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	aiiro-shinwa	[1]
HOLD_not_contiguous	aitora	[1, 3]
HOLD_number_overlap	aitsu-to-lullaby	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	akai-gsen	[1]
HOLD_number_overlap	akai-tsurugi	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	akaneiro-no-kaze	[1]
HOLD_number_overlap	akkanbeeikkyuu	[1, 2, 3, 4]
HOLD_number_overlap	alice-no-13-jikan	[1]
HOLD_number_overlap	alice12	[1]
HOLD_number_overlap	alkali-lady	[1, 2]
HOLD_number_overlap	amaenjaneeyo	[1]
HOLD_number_overlap	amai-toge	[1]
HOLD_number_overlap	angelic-house	[1]
HOLD_number_overlap	aoi-juujiro	[1, 2]
HOLD_number_overlap	aoi-uchuu-no-runa	[1]
HOLD_number_overlap	aozora-shoujo-tai	[1, 2]
HOLD_number_overlap	appleseed	[1]
HOLD_number_overlap	arion	[1, 2, 3]
HOLD_number_overlap	asakusa-young-youhinten	[2, 3, 4]
HOLD_override_exists	atagoul	
HOLD_number_overlap	azuki-chan	[1, 2, 3, 4, 5]
HOLD_number_overlap	bakudan-1985	[1, 2]
HOLD_number_overlap	bashism	[1]
HOLD_number_overlap	be-free	[2]
HOLD_number_overlap	beast-wars-neo	[1]
HOLD_number_overlap	beck	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	bem-hunter-sword	[1]
HOLD_number_overlap	beniiro-majiyutsu-tanteidan	[1]
HOLD_number_overlap	bg-promotion	[1]
HOLD_number_overlap	binbari-highschool	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	bishoujo-suit-sailor-moon	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	blue-hole	[1, 2]
HOLD_number_overlap	blue-world	[1, 2, 3]
HOLD_number_overlap	boku-to-ohiru-o	[1]
HOLD_number_overlap	bukkomi-no-taku	[1, 2, 3]
HOLD_number_overlap	buraiden-gai	[1, 2, 3, 4]
HOLD_number_overlap	busamen-otoko	[1, 2, 3, 4]
HOLD_number_overlap	captain-kid	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	card-kyaputaa-sakura-2016	[1, 2, 3]
HOLD_number_overlap	card-kyaputaa-sakura	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	champ	[1]
HOLD_number_overlap	chandelier	[1, 2]
HOLD_number_overlap	chibi-san-deito	[1, 2]
HOLD_number_overlap	chiiro-no-yami	[1]
HOLD_number_overlap	chikashitsu-no-mushijigoku	[1]
HOLD_number_overlap	chikyuu-hyoukai-gotoki-no	[1, 2]
HOLD_number_overlap	chinmoku-no-kantai	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	chou-ka-han-ka	[4]
HOLD_number_overlap	chou-puroresu-fun-rendetsu	[1, 2, 3]
HOLD_number_overlap	chrome-kidoutai	[1]
HOLD_multi_edition	clamp-premium-collection-chobittsu	dx2/st1
HOLD_multi_edition	clover-1997	dx2/st2
HOLD_number_overlap	cobra	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	code-name-wa-sailor-v	[1, 2]
HOLD_number_overlap	crush-gear-n	[1, 2]
HOLD_number_overlap	daa-daa-daa	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	dear-boys	[1, 2, 3, 4, 5, 6]
HOLD_override_exists	deimosu-no-hanayome	
HOLD_number_overlap	dekichatta-otoko	[1, 2]
HOLD_number_overlap	densetsu-no-yarichin-vs-teppeki-no-shiriana	[4]
HOLD_number_overlap	desire-2nd-season	[1, 2]
HOLD_number_overlap	devil	[1, 2]
HOLD_number_overlap	doll-no-kuni	[1, 2, 3, 4, 5]
HOLD_number_overlap	dungeons-and-dragons	[1]
HOLD_number_overlap	eater	[1, 2, 3, 4]
HOLD_number_overlap	eiji	[1]
HOLD_number_overlap	eirieru-to-earian-no-uta	[1]
HOLD_number_overlap	eiyuu-sangokushi	[2]
HOLD_number_overlap	epotoransu-mai	[1]
HOLD_number_overlap	erika-no-oka-no-monogatari	[1, 2]
HOLD_number_overlap	eroika-yori-ai-o-komete	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	forget-me-not	[1]
HOLD_number_overlap	fostine	[1, 2, 3]
HOLD_number_overlap	furoagari-no-yozora-ni	[1, 3, 5]
HOLD_number_overlap	fusuma-land-45	[1]
HOLD_number_overlap	futari-2-omakase	[1]
HOLD_number_overlap	futari-wa-precure-splash-star	[1]
HOLD_number_overlap	gaburin	[1]
HOLD_number_overlap	ganbare-goemon	[1, 2, 3]
HOLD_number_overlap	gang-king	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	gegege-no-kitarou-shin-youkai-senmonogatari	[1, 2, 3]
HOLD_number_overlap	gegege-no-kitarou-youkai-senmonogatari	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	gegege-no-kitarou	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	gensou-kumikyoku	[1]
HOLD_number_overlap	getsukoujiyu	[1]
HOLD_number_overlap	ghost-hunt	[1, 2, 3, 4, 5]
HOLD_number_overlap	giniro-no-tani	[1]
HOLD_number_overlap	go-go-bakusou-highschool	[1, 2, 3]
HOLD_number_overlap	go-san-no-heart	[1]
HOLD_number_overlap	godzilla-kyou-jidai	[1]
HOLD_number_overlap	golden-boy-1993	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	good-morning-meg	[1]
HOLD_number_overlap	green-no-kifujin	[2]
HOLD_number_overlap	gunkan-shounen	[1]
HOLD_number_overlap	gunryuuden	[1, 2, 3]
HOLD_number_overlap	gyakkounokoro	[1]
HOLD_number_overlap	hagane-no-renkinjutsushi	[1, 2, 3, 4, 5, 6]
HOLD_number_overlap	hagishiri-kyuudan	[1]
HOLD_number_overlap	haisouki	[1]
HOLD_number_overlap	hajimemashite	[1]
HOLD_number_overlap	hana-ni-kamiguse	[2]
HOLD_number_overlap	hana-no-youna-lilibeth	[1]
HOLD_number_overlap	hanashippanashi	[2]
