tier	slug	isbn	series	title	sub	publisher	author	salesDate	page_vols_hit
TITLE	asagaya-succubus-doujin-monogatari	9784253004862	少年チャンピオン・コミックス	阿佐ヶ谷サキュバス同人物語 1		秋田書店	縁山	2025年11月07日	3
TITLE	asagaya-succubus-doujin-monogatari	9784253004862	少年チャンピオン・コミックス	阿佐ヶ谷サキュバス同人物語 1		秋田書店	縁山	2025年11月07日	3
TITLE	asagaya-succubus-doujin-monogatari	9784253013925	少年チャンピオン・コミックス	阿佐ヶ谷サキュバス同人物語 2		秋田書店	縁山	2026年06月08日	3
TITLE	bishoujo-doujin-sakka-to-wakagashira	9784758066921		美少女同人作家と若頭		一迅社	ベニガシラ	2017年11月	8
TITLE	bishoujo-doujin-sakka-to-wakagashira	9784758066921		美少女同人作家と若頭		一迅社	ベニガシラ	2017年11月	8
TITLE	bishoujo-doujin-sakka-to-wakagashira	9784758067560		美少女同人作家と若頭(2)		一迅社	ベニガシラ	2018年08月	8
TITLE	bishoujo-doujin-sakka-to-wakagashira	9784758067560		美少女同人作家と若頭(2)		一迅社	ベニガシラ	2018年08月	8
TITLE	bishoujo-doujin-sakka-to-wakagashira	9784758068048		美少女同人作家と若頭(3)		一迅社	ベニガシラ	2019年06月	8
TITLE	bishoujo-doujin-sakka-to-wakagashira	9784758068048		美少女同人作家と若頭(3)		一迅社	ベニガシラ	2019年06月	8
TITLE	bishoujo-doujin-sakka-to-wakagashira	9784758068376		美少女同人作家と若頭 (4)		一迅社		2019年12月27日頃	8
TITLE	bishoujo-doujin-sakka-to-wakagashira	9784758068871		美少女同人作家と若頭 (5)		一迅社		2020年09月28日	8
TITLE	daidoujin-monogatari	9784847032806	ガムコミックス	大同人物語(1)		ワニブックス	平野耕太	1998年06月	2
TITLE	daidoujin-monogatari	9784847032806	ガムコミックス	大同人物語(1)		ワニブックス	平野耕太	1998年06月	2
TITLE	denpa-kyoushi	9784091591661	小学館プラス・アンコミックス	電波教師(9)	「公式同人誌・電波先生」付き限定版	小学館	東毅	2013年11月18日頃	2
TITLE	denpa-kyoushi	9784091591661	小学館プラス・アンコミックス	電波教師(9)	「公式同人誌・電波先生」付き限定版	小学館	東毅	2013年11月18日頃	2
TITLE	diy	9784756706218	Double edge comics special iss	Diy+α	魅惑の猫娘コメディー創作同人作品個人集	桜桃書房	あらなが輝	1997年01月	2
TITLE	diy	9784756706218	Double edge comics special iss	Diy+α	魅惑の猫娘コメディー創作同人作品個人集	桜桃書房	あらなが輝	1997年01月	2
TITLE	doujin-hakkenden	9784253230582	チャンピオンREDコミックス	同人はっけん伝		秋田書店	堂高しげる	2010年02月	3
TITLE	doujin-hakkenden	9784253230582	チャンピオンREDコミックス	同人はっけん伝		秋田書店	堂高しげる	2010年02月	3
TITLE	doujin-hakkenden	9784253230582	チャンピオンREDコミックス	同人はっけん伝		秋田書店	堂高しげる	2010年02月	3
TITLE	doujin-jo-apaato-tatete-mita	9784253310666	ヤングチャンピオン・コミックス	同人女アパート建ててみた 1		秋田書店	賀来	2023年06月20日	4
TITLE	doujin-jo-apaato-tatete-mita	9784253310666	ヤングチャンピオン・コミックス	同人女アパート建ててみた 1		秋田書店	賀来	2023年06月20日	4
TITLE	doujin-jo-apaato-tatete-mita	9784253310673	ヤングチャンピオン・コミックス	同人女アパート建ててみた 2		秋田書店	賀来	2024年03月18日	4
TITLE	doujin-jo-apaato-tatete-mita	9784253310673	ヤングチャンピオン・コミックス	同人女アパート建ててみた 2		秋田書店	賀来	2024年03月18日	4
SERIES	doujin-sakka-collection	9784893931276	同人作家コレクション	上田信舟・藤たまき	真田シスターズ	ふゅ〜じょんぷろだくと	上田信舟/藤たまき	1993年02月	5
SERIES	doujin-sakka-collection	9784893931276	同人作家コレクション	上田信舟・藤たまき	真田シスターズ	ふゅ〜じょんぷろだくと	上田信舟/藤たまき	1993年02月	5
SERIES	doujin-sakka-collection	9784893931276	同人作家コレクション	上田信舟・藤たまき	真田シスターズ	ふゅ〜じょんぷろだくと	上田信舟/藤たまき	1993年02月	5
SERIES	doujin-sakka-collection	9784893931276	同人作家コレクション	上田信舟・藤たまき	真田シスターズ	ふゅ〜じょんぷろだくと	上田信舟/藤たまき	1993年02月	5
SERIES	doujin-sakka-collection	9784893931276	同人作家コレクション	上田信舟・藤たまき	真田シスターズ	ふゅ〜じょんぷろだくと	上田信舟/藤たまき	1993年02月	5
TITLE	doujin-shoujo-jieibii	9784575840063	アクションコミックス	同人少女JB(1)		双葉社	一本木蛮	2011年12月	8
TITLE	doujin-shoujo-jieibii	9784575840063	アクションコミックス	同人少女JB(1)		双葉社	一本木蛮	2011年12月	8
TITLE	doujin-shoujo-jieibii	9784575841800	アクションコミックス	同人少女JB 2		双葉社	一本木蛮	2012年12月	8
TITLE	doujin-shoujo-jieibii	9784575841800	アクションコミックス	同人少女JB 2		双葉社	一本木蛮	2012年12月	8
TITLE	doujin-shoujo-jieibii	9784575842678	アクションコミックス	同人少女JB(3)		双葉社	一本木蛮	2013年07月26日頃	8
TITLE	doujin-shoujo-jieibii	9784575842678	アクションコミックス	同人少女JB(3)		双葉社	一本木蛮	2013年07月26日頃	8
TITLE	doujin-shoujo-jieibii	9784575843545	アクションコミックス	同人少女JB(4)		双葉社	一本木蛮	2014年02月	8
TITLE	doujin-shoujo-jieibii	9784575843545	アクションコミックス	同人少女JB(4)		双葉社	一本木蛮	2014年02月	8
TITLE	doujinshi-doujin-sofuto-nyuushu-manual	9784765906227		同人誌同人ソフト入手マニュアル	同人フリークのための総合通販カタログ...!!	久保書店	ユナイト	1995年08月	4
TITLE	doujinshi-doujin-sofuto-nyuushu-manual	9784765906227		同人誌同人ソフト入手マニュアル	同人フリークのための総合通販カタログ...!!	久保書店	ユナイト	1995年08月	4
TITLE	doujinshi-doujin-sofuto-nyuushu-manual	9784765906234		同人誌同人ソフト入手マニュアル(2)	同人フリークのための総合通販カタログ第2弾	久保書店	ユナイト	1996年01月	4
TITLE	doujinshi-doujin-sofuto-nyuushu-manual	9784765906234		同人誌同人ソフト入手マニュアル(2)	同人フリークのための総合通販カタログ第2弾	久保書店	ユナイト	1996年01月	4
SERIES	hal-ayase	9784865893540	POE BACKS 同人作家コレクション 268	ハル(2)		ふゅ〜じょんぷろだくと	ハル	2017年05月24日頃	1
TITLE	hirano-to-kagiura	9784046843968	MFコミックス ジーンシリーズ	平野と鍵浦 05 公式同人誌付き特装版		KADOKAWA	春園ショウ	2025年02月27日	2
TITLE	hirano-to-kagiura	9784046843968	MFコミックス ジーンシリーズ	平野と鍵浦 05 公式同人誌付き特装版		KADOKAWA	春園ショウ	2025年02月27日	2
SERIES	ichiko	9784865893977	POE BACKS 同人作家コレクション 280	いちこ	マルチビタミン	ふゅ〜じょんぷろだくと	いちこ	2017年09月23日頃	2
SERIES	ichiko	9784865893977	POE BACKS 同人作家コレクション 280	いちこ	マルチビタミン	ふゅ〜じょんぷろだくと	いちこ	2017年09月23日頃	2
TITLE	isekai-doujin-katsudouki	9784821158720	RK COMICS COMIC異世界ハーレム	異世界同人活動記〜魔王と勇者をネタに神作家をめざします〜(1)		ぶんか社	松本ミトヒ。	2024年07月10日	2
TITLE	isekai-doujin-katsudouki	9784821158720	RK COMICS COMIC異世界ハーレム	異世界同人活動記〜魔王と勇者をネタに神作家をめざします〜(1)		ぶんか社	松本ミトヒ。	2024年07月10日	2
TITLE	joshikousei-ga-maaku-tsuki-doujinshi-o-kaitemita	9784537136661	ニチブンコミックス CH コミックス	女子高生がマーク付き同人誌を描いてみた ( 1)		日本文芸社	東雲 龍	2017年12月09日頃	4
TITLE	joshikousei-ga-maaku-tsuki-doujinshi-o-kaitemita	9784537136661	ニチブンコミックス CH コミックス	女子高生がマーク付き同人誌を描いてみた ( 1)		日本文芸社	東雲 龍	2017年12月09日頃	4
TITLE	joshikousei-ga-maaku-tsuki-doujinshi-o-kaitemita	9784537138696	ニチブンコミックス CH コミックス	女子高生がマーク付き同人誌を描いてみた ( 2)		日本文芸社	東雲 龍	2019年01月09日頃	4
TITLE	joshikousei-ga-maaku-tsuki-doujinshi-o-kaitemita	9784537138696	ニチブンコミックス CH コミックス	女子高生がマーク付き同人誌を描いてみた ( 2)		日本文芸社	東雲 龍	2019年01月09日頃	4
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507175	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている 1		徳間書店	ミナモトカズキ	2020年09月12日頃	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507175	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている 1		徳間書店	ミナモトカズキ	2020年09月12日頃	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507175	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている 1		徳間書店	ミナモトカズキ	2020年09月12日頃	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507175	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている 1		徳間書店	ミナモトカズキ	2020年09月12日頃	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507373	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている 2		徳間書店	ミナモトカズキ	2021年04月13日頃	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507373	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている 2		徳間書店	ミナモトカズキ	2021年04月13日頃	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507373	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている 2		徳間書店	ミナモトカズキ	2021年04月13日頃	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507373	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている 2		徳間書店	ミナモトカズキ	2021年04月13日頃	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507595	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(3)		徳間書店	ミナモトカズキ	2021年11月12日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507595	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(3)		徳間書店	ミナモトカズキ	2021年11月12日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507595	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(3)		徳間書店	ミナモトカズキ	2021年11月12日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507595	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(3)		徳間書店	ミナモトカズキ	2021年11月12日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507694	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(4)		徳間書店	ミナモトカズキ	2022年06月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507694	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(4)		徳間書店	ミナモトカズキ	2022年06月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507694	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(4)		徳間書店	ミナモトカズキ	2022年06月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507694	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(4)		徳間書店	ミナモトカズキ	2022年06月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507946	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(5)		徳間書店	ミナモトカズキ	2022年10月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507946	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(5)		徳間書店	ミナモトカズキ	2022年10月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507946	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(5)		徳間書店	ミナモトカズキ	2022年10月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199507946	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(5)		徳間書店	ミナモトカズキ	2022年10月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199508011	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(6)		徳間書店	ミナモトカズキ	2023年02月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199508011	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(6)		徳間書店	ミナモトカズキ	2023年02月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199508011	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(6)		徳間書店	ミナモトカズキ	2023年02月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199508011	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(6)		徳間書店	ミナモトカズキ	2023年02月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199508196	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(7)		徳間書店	ミナモトカズキ	2023年07月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199508196	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(7)		徳間書店	ミナモトカズキ	2023年07月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199508196	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(7)		徳間書店	ミナモトカズキ	2023年07月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199508196	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(7)		徳間書店	ミナモトカズキ	2023年07月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199508479	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(8)		徳間書店	ミナモトカズキ	2024年03月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199508479	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(8)		徳間書店	ミナモトカズキ	2024年03月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199508479	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(8)		徳間書店	ミナモトカズキ	2024年03月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199508479	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(8)		徳間書店	ミナモトカズキ	2024年03月13日	44
TITLE	kabesaa-doujin-sakka-no-nekoyashiki-kun-wa-shounin-yokkyuu-o-kojirasete-iru	9784199508776	リュウコミックス	壁サー同人作家の猫屋敷くんは承認欲求をこじらせている(9)		徳間書店	ミナモトカズキ	2024年11月13日	44
