slug	title	route	ei	etype	label	imprint	publisher	min	missing	have	min_isbn	min_date	lower_in
1-2-no-1-rou	1・2の三四郎	canon:extra[1]	2	shinsoban	講談社コミックス	講談社コミックス	講談社	8	[1, 2, 3, 4, 5, 6, 7]	[8, 15, 16, 18]	9784061726840	1980-08	[0, 3, 4]
3-three	3 THREE	seed4	1	bunkobon	文庫版	小学館文庫	小学館	5	[1, 2, 3, 4]	[5, 6, 7, 8]	9784091911452	1997-02	[0]
40-made-ni-shitai-10-no-koto	40までにしたい10のこと	seed4	1	deluxe	デラックス版	ビーボーイコミックスデラックス	リブレ	2	[1]	[2, 3]	9784799770689	2025-03-03	[0]
81-bunch-no-inu	81番地の犬	canon:volumes	0	standard	通常版	あおばコミックス	スコラ	3	[1, 2]	[3, 4, 5]	9784796288880	1998-09-16	[1]
aburemon	あぶれもん	canon:extra[0]	1	shinsoban	近代麻雀コミックス	近代麻雀コミックス	竹書房	3	[1, 2]	[3, 4, 5]	9784884754259	1988-03-22	[0]
aitora	#アイトラ	seed4	1	deluxe	デラックス版	講談社コミックスデラックス. 月刊少年マガジン	講談社	2	[1]	[2, 3]	9784065369432	2024-10-17	[0]
alfheim-no-kishi	妖精国の騎士	seed4	1	bunkobon	文庫版	秋田文庫	秋田書店	6	[1, 2, 3, 4, 5]	[6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]	9784253176316	2002-04-10	[0]
asakusa-young-youhinten	浅草ヤング妖品店	seed4	0	deluxe	デラックス版	ホラーミステリーデラックスシリーズ	ぶんか社	2	[1]	[2, 3, 4]	9784821196012	1997-10	[1]
bacchus	バッコス	canon:volumes	0	standard	通常版	ビッグコミックス	小学館	2	[1]	[2, 3, 4, 5]		1979-01-01	[1, 2]
bastard	BASTARD!!	seed4	1	aizoban	愛蔵版	Young jump愛蔵版	集英社	2	[1]	[2, 3, 4, 5, 6, 7, 8, 9]	9784087826708	2003-05	[0, 2]
