stem	title	route	ei	etype	label	imprint	number	kind	main_prefix	publisher	prev_num	prev_date	prev_isbn	next_num	next_date	next_isbn	ed_isbn_min	ed_isbn_max	have_n	have_min	have_max
1-2-no-1-rou	1・2の三四郎	canon:extra[1]	2	shinsoban	講談社コミックス	講談社コミックス	1	ELEAD	9784061	講談社				8	1980-08	9784061726840	9784061726840	9784061728479	4	8	18
1-2-no-1-rou	1・2の三四郎	canon:extra[1]	2	shinsoban	講談社コミックス	講談社コミックス	2	ELEAD	9784061	講談社				8	1980-08	9784061726840	9784061726840	9784061728479	4	8	18
1-2-no-1-rou	1・2の三四郎	canon:extra[1]	2	shinsoban	講談社コミックス	講談社コミックス	3	ELEAD	9784061	講談社				8	1980-08	9784061726840	9784061726840	9784061728479	4	8	18
1-2-no-1-rou	1・2の三四郎	canon:extra[1]	2	shinsoban	講談社コミックス	講談社コミックス	4	ELEAD	9784061	講談社				8	1980-08	9784061726840	9784061726840	9784061728479	4	8	18
1-2-no-1-rou	1・2の三四郎	canon:extra[1]	2	shinsoban	講談社コミックス	講談社コミックス	5	ELEAD	9784061	講談社				8	1980-08	9784061726840	9784061726840	9784061728479	4	8	18
1-2-no-1-rou	1・2の三四郎	canon:extra[1]	2	shinsoban	講談社コミックス	講談社コミックス	6	ELEAD	9784061	講談社				8	1980-08	9784061726840	9784061726840	9784061728479	4	8	18
1-2-no-1-rou	1・2の三四郎	canon:extra[1]	2	shinsoban	講談社コミックス	講談社コミックス	7	ELEAD	9784061	講談社				8	1980-08	9784061726840	9784061726840	9784061728479	4	8	18
3-three	3 THREE	seed4	1	bunkobon	文庫版	小学館文庫	1	ELEAD	9784091	小学館				5	1997-02	9784091911452	9784091911452	9784091911483	4	5	8
3-three	3 THREE	seed4	1	bunkobon	文庫版	小学館文庫	2	ELEAD	9784091	小学館				5	1997-02	9784091911452	9784091911452	9784091911483	4	5	8
3-three	3 THREE	seed4	1	bunkobon	文庫版	小学館文庫	3	ELEAD	9784091	小学館				5	1997-02	9784091911452	9784091911452	9784091911483	4	5	8
3-three	3 THREE	seed4	1	bunkobon	文庫版	小学館文庫	4	ELEAD	9784091	小学館				5	1997-02	9784091911452	9784091911452	9784091911483	4	5	8
40-made-ni-shitai-10-no-koto	40までにしたい10のこと	seed4	1	deluxe	デラックス版	ビーボーイコミックスデラックス	1	ELEAD	9784799	リブレ				2	2025-03-03	9784799770689	9784799770689	9784799778241	2	2	3
81-bunch-no-inu	81番地の犬	canon:volumes	0	standard	通常版	あおばコミックス	1	ELEAD	9784873	スコラ				3	1998-09-16	9784796288880	9784796288880	9784873171296	3	3	5
81-bunch-no-inu	81番地の犬	canon:volumes	0	standard	通常版	あおばコミックス	2	ELEAD	9784873	スコラ				3	1998-09-16	9784796288880	9784796288880	9784873171296	3	3	5
aburemon	あぶれもん	canon:extra[0]	1	shinsoban	近代麻雀コミックス	近代麻雀コミックス	1	ELEAD	9784884	竹書房				3	1988-03-22	9784884754259	9784884754259	9784884754273	3	3	5
aburemon	あぶれもん	canon:extra[0]	1	shinsoban	近代麻雀コミックス	近代麻雀コミックス	2	ELEAD	9784884	竹書房				3	1988-03-22	9784884754259	9784884754259	9784884754273	3	3	5
aitora	#アイトラ	seed4	1	deluxe	デラックス版	講談社コミックスデラックス. 月刊少年マガジン	1	ELEAD	9784065	講談社				2	2024-10-17	9784065369432	9784065369432	9784065392690	2	2	3
