分類	slug	題	版type	imprint	publisher	版の巻数	多数派	少数派	少数派ISBN
HEAD(前半別社)	0-saiji-start-dash-monogatari	0歳児スタートダッシュ物語	None	Shusui digital comics TLシリーズ	青泉社	9	978486778x6	9784910429x3	9784910429090,9784910429298,9784910429663
HEAD(前半別社)	35-sai-no-sentaku	35歳の選択	None	NOVA COMICS	一二三書房	9	97848242x7	978489199x2	9784891998509,9784891999292
HEAD(前半別社)	5-nin-no-ou	5人の王	None	Daria comics	フロンティアワークス	9	978486657x7	978486134x2	9784861348259,9784861349140
HEAD(前半別社)	adashino-kishoukan	あだしの奇象官	None	ガンガンコミックス	スクウェア・エニックス	3	9784301x2	97847575x1	9784757598461
HEAD(前半別社)	adoribu-tenchou-aaru	アドリブ店長R	None	GW comics	ガイドワークス	7	978486535x6	9784906936x1	9784906936151
HEAD(前半別社)	after-5-wa-kiss-no-ame	アフター5はkissの雨	None	Be-boy comics	ビブロス	7	97848352x6	978488271x1	9784882717805
HEAD(前半別社)	ai-no-tatakiuri-bussanten	愛のたたき売り物産展	None	Bamboo comics	竹書房	4	97848019x3	97848124x1	9784812484586
HEAD(前半別社)	aimaimii	あいまいみー	None	Bamboo comics	竹書房	11	97848019x6	97848124x5	9784812474402,9784812476673,9784812480847,9784812484944,9784812487785
HEAD(前半別社)	aion-mooru-isekaiten-honjitsu-grand-open	アイヲンモール異世界店、本日グランドオープン!	None	Ride Comics	マイクロマガジン社	4	978486716x3	978489637x1	9784896379617
HEAD(前半別社)	aitsu-no-daihonmei	アイツの大本命	None	Be-boy comics	リブレ出版	14	97847997x10	978486263x4	9784862634337,9784862635396,9784862637192,9784862638816
HEAD(前半別社)	akutou-ikka-no-manamusume-tenseisaki-mo-otome-game-no-gokudou-reijou-deshita-saijoukyuu-rank-no	悪党一家の愛娘、転生先も乙女ゲームの極道令嬢でした。～最上級ランクの悪役さま、その溺愛は不要です!～@COMIC	None	コロナ・コミックス	TOブックス	4	978486794x3	978486699x1	9784866998459
HEAD(前半別社)	akuyaku-reijou-ni-tensei-shita-hazu-ga-shujinkou-yorimo-dekiai-sareteru-mitai-desu	悪役令嬢に転生したはずが、主人公よりも溺愛されてるみたいです	None	LAVARE comics	一二三書房	7	97848242x5	978489199x2	9784891998691,9784891999506
HEAD(前半別社)	amanchu	あまんちゅ!	None	Blade comics	マッグガーデン	17	97848000x13	978486127x4	9784861276422,9784861276965,9784861277573,9784861279607
HEAD(前半別社)	amatsumizushi-gago-bokumetsu-dayori-gagohan	天津水市「がご」撲滅だより がごはん	None	ヒーローズコミックス	小学館クリエイティブ	6	978486805x4	978486468x2	9784864682381,9784864682732
HEAD(前半別社)	ame-nochi-hare	あめのちはれ	None	ビーズログコミックス	エンターブレイン	8	978404x7	97847577x1	9784757748125
HEAD(前半別社)	angels	Angels	None	None	ソフトバンククリエイティブ	3	97847973x2	978486176x1	9784861762161
HEAD(前半別社)	ansangu-cinderella	アンサングシンデレラ	None	ゼノンコミックス	コアミックス	14	978486720x11	978419x3	9784199805325,9784199805622,9784199805905
HEAD(前半別社)	ansatsusha-de-aru-ore-no-suteetasu-ga-yuusha-yorimo-akiraka-ni-tsuyoi-nodaga	暗殺者である俺のステータスが勇者よりも明らかに強いのだが	None	ガルドコミックス	オーバーラップ	7	97848240x4	978486554x3	9784865544435,9784865545371,9784865546699
HEAD(前半別社)	aoharu-tetsudou	青春鉄道	None	MFコミックス	メディアファクトリー	4	97848401x3	978404x1	9784040662909
HEAD(前半別社)	aonuma-san-no-inu-wa-haraguro-da	青沼さんちの犬は腹黒だ	None	SUKUPARA SELECTION	竹書房	3	97848019x2	97848124x1	9784812498156
HEAD(前半別社)	arekusandaa-eiyuu-senki	アレクサンダー英雄戦記	None	講談社コミックスデラックス. 月刊少年マガジン	講談社	3	978406x2	97847580x1	9784758093170
HEAD(前半別社)	aria	ARIA	None	Blade comics	マッグガーデン	12	978486127x9	9784901926x3	9784901926126,9784901926362,9784901926713
HEAD(前半別社)	arifureta-shokugyou-de-sekai-saikyou	ありふれた職業で世界最強	None	ガルドコミックス	オーバーラップ	17	97848240x9	978486554x8	9784865541830,9784865542615,9784865543438,9784865544350,9784865545050,9784865546
HEAD(前半別社)	asaha-furu	朝羽振る	None	LINE COMICS	LINE Digital Frontier	4	978486697x3	9784909767x1	9784909767943
HEAD(前半別社)	b-boy	b-Boy	None	Seventeen Comics	青磁ビブロス	4	978488271x3	978408x1	9784088542997
HEAD(前半別社)	babelheim-no-shounin	バベルハイムの商人	None	Blade comics	マッグガーデン	5	97848000x4	978486127x1	9784861279744
