消えた巻数	slug	title	type	表示label	表示imprint	表示巻数	畳まれた種2版[出版社]	canonical	消えたISBN
59	shaman-king	シャーマンキング	standard	通常版	ジャンプ・コミックス	35	ジャンプ・コミックス[集英社] / マガジンエッジコミックス[講談社]		9784065197943;9784065197950;9784065197936;9784065197899;9784065197905;9784065197912
23	fuuunjitachi	風雲児たち	standard	通常版	希望コミックス	34	SPコミックス[リイド社] / 希望コミックス[潮出版社]		9784267902635;9784267903618;9784267900860;9784267903946;9784845801800;9784845801794
22	hyakki-yagyou-show	百鬼夜行抄	bunkobon	文庫版	ソノラマコミック文庫	21	ソノラマコミック文庫[朝日ソノラマ,朝日新聞出版,朝日新聞社] / 朝日コミック文庫[朝日新聞出版]		9784022690494;9784022690449;9784022690470;9784022690487;9784022690500;9784022690456
20	doragonkuesuto-4-koma-manga-gekijou	ドラゴンクエスト4コママンガ劇場	standard	通常版	4コママンガシリーズ	22	4コママンガシリーズ[エニックス] / 4コママンガシリーズ[エニックス] / None[エニックス] / ドラクエ4コママンガシリーズ[エニックス,エニックス出版局] / ドラクエ4コママンガ劇場シリーズ[エニックス] / ドラゴンクエストブックシリーズ[エニックス]		9784870256859;9784870253087;9784870259850;9784870259713;9784757501881;9784757500839
20	ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	standard	通常版	Comp comics DX	27	DENGEKI COMICS[メディアワークス,主婦の友社] / Dengeki Comics EX[主婦の友社,角川書店]		9784073013976;9784073011446;9784073017240;9784073017189;9784073014058;9784073012276
20	mahoutsukai-no-yome	魔法使いの嫁	standard	通常版	Blade comics	25	Blade comics[マッグガーデン] / Blade comics[マッグガーデン] / ブシロードコミックス[KADOKAWA]		9784048996167;9784048995931;9784048996112;9784048995900;9784048995979;9784048996211
19	gegege-no-kitarou	ゲゲゲの鬼太郎	standard	通常版	講談社コミックス	17	Chukoコミックlite[中央公論新社] / SHONEN MAGAZINE COMICS[講談社] / 少年マガジンコミックス[講談社] / 講談社コミックス[講談社]		9784065120781;9784065120804;9784065120835;9784061730748;9784124105193;9784124105131
19	hoshirenge	星恋華	standard	通常版	ミッシィコミックス	12	Missy comics[宙出版] / ミッシィコミックス[主婦と生活社,宙出版]		9784391914634;9784391914535;9784391914528;9784872874440;9784872874280;9784872874082
16	haru-o-daiteita	春を抱いていた	standard	通常版	Super be-boy comics	14	Super be-boy comics[ビブロス,リブレ出版] / Super be×boy comics[リブレ,リブレ出版]		9784882719984;9784835218632;9784835217475;9784835216515;9784835214948;9784835214191
16	jotei	女帝	standard	通常版	Gコミックス	24	Gコミックス[日本文芸社] / HOUBUNSHA COMICS[芳文社] / Nichibun comics[日本文芸社] / None[芳文社]		9784832227873;9784832227835;9784832227811;9784832227798;9784832227767;9784537109078
16	shizukanaru-don	静かなるドン	bunkobon	文庫版	実業之日本社漫画文庫	54	実業之日本社漫画文庫[実業之日本社] / 小学館文庫[小学館]		9784091963024;9784091963017;9784091963031;9784091963048;9784091963055;9784091963062
15	citrus	Citrus +	standard	通常版	IDコミックス	10	IDコミックス[一迅社,講談社] / IDコミックス[一迅社] / IDコミックス[講談社]		9784758079761;9784758079952;9784758021043;9784758021050;9784758022187;9784758022194
