tier	stem	title	route	ei	etype	label	imprint	number	kind	isbn	date	rak_title	rak_author	rak_publisher	g_pub	g_isbn	g_date	g_author	g_token	main_prefix	prev_num	prev_isbn	prev_date	next_num	next_isbn	next_date	publisher	n_cands	why	cover
ACCEPT	aburemon	あぶれもん	canon:extra[0]	1	shinsoban	近代麻雀コミックス	近代麻雀コミックス	1	ELEAD	9784884754235	1987-02-20	あぶれもん(1)	嶺岸信明/来賀友志	竹書房	o	o	o	o	o	9784884				3	9784884754259	1988-03-22	竹書房	4	版元o+ISBN連番o+日付o	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4235/9784884754235.jpg
ACCEPT	aburemon	あぶれもん	canon:extra[0]	1	shinsoban	近代麻雀コミックス	近代麻雀コミックス	2	ELEAD	9784884754242	1987-06-20	あぶれもん(2)	嶺岸信明/来賀友志	竹書房	o	o	o	o	o	9784884				3	9784884754259	1988-03-22	竹書房	4	版元o+ISBN連番o+日付o	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/4242/9784884754242.jpg
ACCEPT	asakusa-young-youhinten	浅草ヤング妖品店	seed4	0	deluxe	デラックス版	ホラーミステリーデラックスシリーズ	1	ELEAD	9784821195961	1997-08-08	浅草ヤング妖品店(1)	真崎春望	ぶんか社	o	o	o	o	o	9784821				2	9784821196012	1997-10	ぶんか社	1	版元o+ISBN連番o+日付o(既存候補2件も有)	
ACCEPT	double-call	Double call	canon:extra[0]	1	shinsoban	新装版(海王社)	KAIOHSHA COMICS GUSH COMICS	1	ELEAD	9784877243722	2004-10-09	Double call(1)	緋色れーいち	海王社	o	o	o	o	o	9784877				2	9784877243739	2004-10-09	海王社	2	版元o+ISBN連番o+日付o(既存候補1件も有)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/8772/87724372.jpg
ACCEPT	haguhagu	はぐはぐ	seed4	0	standard	通常版	アクションコミックス	1	ELEAD	9784575932966	1992-05-28	はぐはぐ(1)	こなみかなた	双葉社	o	o	o	o	o	9784575				2	9784575933222	1993-03-12	双葉社	1	版元o+ISBN連番o+日付o	
ACCEPT	hanashippanashi	はなしっぱなし	seed4	0	deluxe	デラックス版	アフタヌーンKCデラックス	1	ELEAD	9784063196207	1995-09-21	はなしっぱなし(1)	五十嵐大介	講談社	o	o	o	o	o	9784063				2	9784063197075	1996-06-21	講談社	2	版元o+ISBN連番o+日付o	
ACCEPT	kaishain-no-merodii	かいしゃいんのメロディー	seed4	0	standard	通常版	Bamboo comics	1	ELEAD	9784812451069	1996-12	かいしゃいんのメロディー(1)	大橋ツヨシ	竹書房	o	o	o	o	o	9784812				2	9784812451434	1997-09	竹書房	1	版元o+ISBN連番o+日付o(既存候補2件も有)	https://thumbnail.image.rakuten.co.jp/@0_mall/book/cabinet/1069/9784812451069.jpg
ACCEPT	maifurendo-doubutsubyouin-nisshi	MF動物病院日誌	seed4	0	standard	通常版	コミック	1	ELEAD	9784785914233	1994-10	MF動物病院日誌(1)	たらさわみち	少年画報社	o	o	o	o	o	9784785				18	9784785923556	2003-10	少年画報社	2	版元o+ISBN連番o+日付o(既存候補2件も有)	
ACCEPT	maifurendo-doubutsubyouin-nisshi	MF動物病院日誌	seed4	0	standard	通常版	コミック	2	ELEAD	9784785914585	1995-05	MF動物病院日誌(2)	たらさわみち	少年画報社	o	o	o	o	o	9784785				18	9784785923556	2003-10	少年画報社	1	版元o+ISBN連番o+日付o(既存候補2件も有)	
ACCEPT	maifurendo-doubutsubyouin-nisshi	MF動物病院日誌	seed4	0	standard	通常版	コミック	3	ELEAD	9784785915063	1995-12	MF動物病院日誌(3)	たらさわみち	少年画報社	o	o	o	o	o	9784785				18	9784785923556	2003-10	少年画報社	1	版元o+ISBN連番o+日付o(既存候補2件も有)	
ACCEPT	maifurendo-doubutsubyouin-nisshi	MF動物病院日誌	seed4	0	standard	通常版	コミック	4	ELEAD	9784785915278	1996-07	MF動物病院日誌(4)	たらさわみち	少年画報社	o	o	o	o	o	9784785				18	9784785923556	2003-10	少年画報社	2	版元o+ISBN連番o+日付o(既存候補2件も有)	
ACCEPT	maifurendo-doubutsubyouin-nisshi	MF動物病院日誌	seed4	0	standard	通常版	コミック	5	ELEAD	9784785915513	1996-11	MF動物病院日誌(5)	たらさわみち	少年画報社	o	o	o	o	o	9784785				18	9784785923556	2003-10	少年画報社	1	版元o+ISBN連番o+日付o(既存候補2件も有)	
