first_date	latest_date	n_vols	slug	title	missing	genres	authors
2014-05-01	2017-03-03	43	gekkan-kochikame	月刊こち亀	both	comedy,gag,slice-of-life	秋本治
2008-08-13	2010-11-23	24	kochikame-bunko	こち亀文庫	both	comedy	秋本治
2013-12-04	2015-03-04	17	jojonium	JOJONIUM	both	action,fantasy,horror	荒木飛呂彦
2013-07-23	2013-07-23	13	giant-killing-extra-giant-killing-hatsu-sakkaa-entaateinmento-magazine	GIANT KILLING extra ジャイアントキリング発サッカーエンターテインメントマガジン	both	soccer,sports	講談社
2018-08-08	2020-07-15	10	ryojou-mystery-special-2020	旅情ミステリースペシャル	both	mystery	たむら純子/鞠之子/日下部拓海
2022-04-22	2024-07-26	10	nakeru-golgo-13	泣ける!ゴルゴ13	both	action,drama	さいとう・たかを/さいとうプロダクション
2024-09-06	2025-03-31	10	ima-demo-wasurerarenai-ano-taikendan-hanashimasu	今でも忘れられないアノ体験談、話します	both	drama,romance	八月薫
1990-02-17	2012-12-21	9	esudii-musha-gundam-fuuunroku	SD武者ガンダム風雲録	both	mecha,historical	やまと虹一
1987-07-10	2014-08-16	9	lilliput	リリパット	both	bl,romance	松崎司
2013-08-05	2017-08-05	9	teni-muhou	天威無法	syn	historical,action	武村勇治
2005-08-04	2010-03-15	8	dokusha-toukou-shinrei-taiken	読者投稿心霊体験	both	horror	高港基資
2006-06-15	2011-01-27	8	tales-of-the-abyss-rei	TALES OF THE ABYSS	catch	action,adventure,fantasy	玲衣
2006-06-15	2011-01-27	8	tales-of-the-abyss-rei2006	TALES OF THE ABYSS	catch	action,adventure,fantasy	玲衣
2012-04-17	2012-10-19	8	now	ナウ	both	action,fantasy,historical	丁昌烈/朴晟佑
2012-04-09	2015-08-09	8	strike-zone	ストライクZONE!	both	baseball,sports	影山なおゆき
2025-08-29	2026-06-27	8	hal-s-moto	HAL'S MOTO	both	sports,drama	東本昌平
2003-06-25	2011-09-20	7	honoo-no-tsuki	炎の月	both	action	河惣益巳
2009-03-09	2013-12-09	7	jump-sq-comic-selection	ジャンプSQ.Comic Selection	both	action,comedy	集英社
2008-04-23	2010-03-17	6	mayoiya-no-miseban-tokiwa	マヨイ屋の店番トキワ	both	fantasy,supernatural	菅原キク
2008-11-22	2011-04-23	6	oz	Oz	both	sci-fi	刻夜セイゴ
2010-05-15	2011-12-15	6	majikyuu-4-koma-steins-gate	マジキュー4コマ STEINS;GATE	both	4-koma,comedy	エンターブレイン
2010-04-16	2012-04-17	6	boys-be-next-season	BOYS BE…next season	both	romance,school,drama	玉越博幸
1968-11-25	2012-07-01	6	supootsuman-kintarou	スポーツマン金太郎	both	sports,comedy	寺田ヒロオ
2008-10-22	2012-08-22	6	kiyomura-kun-to-suginokouji-kun-ro	清村くんと杉小路くんろ	both	comedy,school	土塚理弘
2012-10-06	2012-10-06	6	sokonuke-rpg	そこぬけRPG	both	fantasy,comedy	佐藤両々
2012-12-20	2012-12-20	6	chou-adoribu-ouji	超アドリブ王子	both	comedy,drama	あかつきけいいち
2013-01-18	2013-09-19	6	bartender-paris	バーテンダーà Paris	catch	slice-of-life	加治佐修
1981-12-30	2014-04-02	6	mach-sos	マッハSOS	both	sports,action	桜多吾作
2014-04-26	2014-04-26	6	sonna-mainichi	そんな毎日	both	essay,slice-of-life	おーはしるい
2013-09-13	2014-10-10	6	mondeki	モンでき。	both	action,comedy,fantasy	津々巳あや
2013-08-09	2014-11-19	6	oshitaimoushiagemasu	お慕い申し上げます	both	drama,romance	朔ユキ蔵
