first_date	latest_date	n_vols	slug	title	missing	genres	authors
1990-07-17	2001-05-01	62	emblem-take2	代紋TAKE2	both	action,drama,suspense	渡辺潤
1989-10-09	1991-07-01	55	gekiga-ningen-kakumei	劇画人間革命	catch	action	石井いさみ
1999-12-09	2004-04-20	52	dokaben-puroyakyuuhen	ドカベン プロ野球編	both	sports	水島新司
1978-10-30	1996-06-10	50	nanahan-rider	750ライダー	both	action,comedy	石井いさみ
1990-05-10	2000-03-03	43	eleven	イレブン	catch	soccer,sports	高橋広
1993-09-13	2001-04-13	39	angel-nisshi	エンジェル日誌	both	romance,drama,school	ごとう和
1999-08-17	2007-04-17	39	get-bakkaazu-dakkanya	Get backers奪還屋	catch	action,comedy,drama,ecchi,fantasy,mystery	綾峰欄人/青樹佑夜
1980-03-01	1987-06-25	37	ranpou	らんぽう	both	comedy	内崎まさとし
1977-12-31	1981-08-15	33	shouwa-gokudoushi	昭和極道史	both	action,drama,historical	村上和彦
1986-06-30	1996-07-24	33	ipponbouchoumantarou	一本包丁満太郎	both	gourmet,slice-of-life	ビッグ錠
1993-05-15	2006-08-15	33	boy	BOY	syn	action,school,drama,comedy	梅澤春人
1982-04-20	1984-01-20	31	rikon-jidai	離婚時代	both	romance	ひびきゆうぞう
1975-10-25	1986-06-25	31	uwasa-no-himeko	うわさの姫子	both	comedy,school,romance	藤原栄子
1994-06-15	1997-04-15	30	love	LOVE	catch	drama,sports	石渡治
1994-01-11	2004-07-07	30	double-hard	ダブル・ハード	catch	action,comedy	今野直樹
2002-08-30	2007-08-30	29	fuuunjitachibakumatsuhen	風雲児たち 幕末編	both	adventure,drama,historical	みなもと太郎
1994-06-09	1998-04-09	28	yabou-no-mure	野望の群れ	both	action	司敬
1973-05-30	1998-08-10	28	otoko-do-ahou-koshien	男どアホウ甲子園	both	action,baseball,drama,sports	水島新司
1988-06-21	1995-08-20	27	hontoni-atta-kowai-hanashi	ほんとにあった怖い話	both	horror,essay	山本まゆり
1999-04-28	1999-04-28	27	vf	VF	both	sports,drama	林崎文博
1999-08-25	2001-12-25	27	ginga-sengoku-gunyuuden-rai	銀河戦国群雄伝ライ	catch	action,romance,sci-fi	真鍋譲治
1992-07-13	2002-08-09	27	shouta-no-sushi	将太の寿司	syn	gourmet,drama	寺沢大介
1997-03-07	2000-12-09	26	pachipuro-tantei-nana	パチプロ探偵ナナ	both	drama	谷村ひとし
1993-10-22	2001-08-15	26	kochira-tsubaki-sanfujinka	こちら椿産婦人科	both	drama,slice-of-life	あまねかずみ
1983-09-02	2001-12-10	26	dai-koshien	大甲子園	both	baseball,sports	水島新司
1998-06-15	2002-08-12	26	zettai-reido	絶対麗奴	both	romance,drama	華炎/明治カナ子/みさと美夕稀/とりマイア/紅迫青実/山田幸子/堀井甚五郎/白石明日香
1994-11-15	2003-06-15	26	cat-rookie	キャットルーキー	both	baseball,sports	丹羽啓介
1994-03-11	1994-03-11	25	keishiki-kekkon	形式結婚	both	romance,drama	柳沢きみお
1990-02-19	1995-08-21	25	modena-no-ken	モデナの剣	both	action,drama,ecchi,romance,sports	池沢さとし
1997-11-04	2001-03-02	25	desire-2nd-season	DESIRE 2nd season	syn	ecchi,mind-game	小谷憲一
2009-02-13	2009-02-13	25	seito-sho-kun-kyoushi-hen	生徒諸君!教師編	catch	comedy,drama,romance	庄司陽子
1980-11-25	1985-08-25	24	campus-croquis	キャンパスクロッキー	both	sports,drama,school	八潮路つとむ
1988-10-07	1996-05-15	24	jump-housoukyoku	ジャンプ放送局	both	comedy,essay	佐久間あきら/さくまあきら
1971-09-30	2000-02-21	24	toilet-hakase	トイレット博士	catch	comedy,ecchi,gag,slice-of-life	とりいかずよし
