slug	title	at	batch	reason
uragirareta-no-de-ouhi-zuki-jijo-ni-job-change	裏切られたので、王妃付き侍女にジョブチェンジ!	2026-08-06	9203	楽天captionが5-7巻のみ=1〜2巻の材料が無く、規律「文面は1〜2巻の範囲」を満たせない
oshino-teki-ni-nattanode	推しの敵になったので	2026-08-06	9203	captionが宣伝文のみでpremise記述なし(ジャンル推定も不可)
saikyou-no-seibishi	最強の整備士	2026-08-06	9202	楽天にcaptionなし
jadou-season	ジャドウ・シーズン	2026-08-06	9202	楽天にcaptionなし
ken-oni-tensei-kiwameshi-ken-wa-majutsu-o-kiri-saku	剣鬼転生 極めし剣は魔術を斬り裂く	2026-08-06	9202	楽天にcaptionなし
shokigai-kara-tabidatanai-yuusha-no-harem-life-yuushasama-konpura-teki-ni-out	初期街から旅立たない勇者のハーレムライフ	2026-08-06	9202	楽天にcaptionなし
saikyou-majutsushi-no-dekiai-saijo-moto-partner-to-fukuen-shitara-nido	最強魔術師の溺愛才女	2026-08-06	9202	楽天にcaptionなし
watashi-no-konoe-kishi-ga-oneena-riyuu	私の近衛騎士が女装をする理由	2026-08-06	9202	楽天にcaptionなし
norowareta-akujo-wa-shishi-no-to-ai-ni-torawareru	呪われた悪女は獣の執愛に囚われる	2026-08-06	9202	captionが3巻のみ=1〜2巻の材料なし(ジャンルのみ付与済)
dot-alice	.A-ドットアリスー	2026-08-06	9204	captionが宣伝文1行のみでpremise記述なし
kyuuketsuki-to-chocolatier	吸血鬼とショコラティエ	2026-08-06	9204	captionがキャッチコピーと刊行案内のみでpremise記述なし
mobile-suit-gundam-flanagan-buun-senki	機動戦士ガンダムフラナガン・ブーン戦記	2026-08-06	9207	楽天captionが刊行案内のみでpremise記述なし
takaga-nyokan-no-watashi-ga-sukina-no	たかが女官の私が好きなの!?	2026-08-06	9209	楽天captionが2巻のみで1〜2巻の材料に不足
amatsumizushi-gago-bokumetsu-dayori-gagohan	天津水市「がご」撲滅だより がごはん	2026-08-06	9210	楽天captionが書名のみ
kekkon-nochi-love	結婚、のち恋愛。	2026-08-06	9210	captionが4巻のみで1〜2巻の材料なし
tensei-majo-no-kimamana-gourmet-tabi	転生魔女の気ままなグルメ旅	2026-08-06	9211	captionが2巻の宣伝文のみ
akuyaku-reijou-no-naka-no-hito	悪役令嬢の中の人	2026-08-06	9212	楽天captionが後半巻のみ/刊行案内のみで1〜2巻の材料なし
boku-wa-subete-o-shitteiru	僕はすべてを知っている	2026-08-06	9212	楽天captionが後半巻のみ/刊行案内のみで1〜2巻の材料なし
buchou-no-yoru-teku-ga-sugosu-gite-koshi-ga-uki-masu-uzuki-masu	部長の夜テクが凄すぎて腰が浮きます疼きます	2026-08-06	9212	楽天captionが後半巻のみ/刊行案内のみで1〜2巻の材料なし
chikaano-k	チカーノKEI	2026-08-06	9212	楽天captionが後半巻のみ/刊行案内のみで1〜2巻の材料なし
gyokuza-to-nightingale	玉座と小夜啼鳥	2026-08-06	9212	楽天captionが後半巻のみ/刊行案内のみで1〜2巻の材料なし
hanabi-chan-wa-okuregachi	ハナビちゃんは遅れがち	2026-08-06	9212	楽天captionが後半巻のみ/刊行案内のみで1〜2巻の材料なし
hii-sama-muri-desu	姫様、無理です!	2026-08-06	9212	楽天captionが後半巻のみ/刊行案内のみで1〜2巻の材料なし
