分類	slug	頁題	著者	頁巻数	対象巻数	再録元候補	isbn	楽天題	楽天副題	レーベル	同著者他頁数
REVIEW	14sai-ootomateikku	14さいオートマティック	久我山リカコ	1	1		9784872789836	14さいオートマティック	パロディ傑作集	Oak　comix	3
REVIEW	21seiki-no-asaatsu	21世紀のアサーッ!	谷岡ヤスジ	1	1		9784592131991	21世紀のアサーッ！	「鼻血ブー」な傑作集	ジェッツコミックス	5
VERSION_MIX	2bun-no-1-heart	1/2ハート	藤村真理	2	1		9784086191081	1／2ハート	藤村真理読切り傑作選	集英社文庫	22
RECOLLECT	3355	3355	池谷理香子	1	1	ハコイリのムスメ(13巻) / シックスハーフ(11巻)	9784088651002	3355	スペシャル読み切りセレクション	クイーンズコミックス	25
RECOLLECT	77-rubaa-77	シルバー77	久松文雄	1	1	史記(22巻) / まんがで読む古事記(7巻)	9784775911754	シルバー77	久松文雄傑作集	マンガショップシリーズ	23
RECOLLECT	9gatsu-no-popii	9月のポピィ	一条ゆかり	1	1	有閑倶楽部(30巻) / プライド(19巻)	9784086186865	9月のポピィ	一条ゆかりロマコメ長編傑作選	集英社文庫	36
VERSION_MIX	abunougozaimasu-obotchama	あぶのうございますお坊ちゃま	内村月子	3	1		9784063173109	あぶのうございますお坊ちゃま（1）	内村月子傑作選	BE　LOVE　KC	21
RECOLLECT	abusan-no-yakyuu-jinsei-zen-56shou	あぶさんの野球人生全56章	水島新司	2	2	あぶさん(107巻) / ドカベン(79巻)	9784091828156	水島新司セレクション[あぶさん]傑作選 あぶさんの野球人生 全56章（上）	水島新司 セレクション『あぶさん』傑作選	ビッグ コミックス	35
RECOLLECT	abusan-no-yakyuu-jinsei-zen-56shou	あぶさんの野球人生全56章	水島新司	2	2	あぶさん(107巻) / ドカベン(79巻)	9784091828163	水島新司セレクション[あぶさん]傑作選 あぶさんの野球人生 全56章（下）	水島新司 セレクション『あぶさん』傑作選	ビッグ コミックス	35
RECOLLECT	adauchi	仇討	里見桂	1	1	ゼロ(78巻) / なんか妖かい!?(16巻)	9784537102178	仇討	里見桂時代劇傑作選	ニチブンコミックス	18
VERSION_MIX	after-0	アフター0	岡崎二郎	17	7		9784091961815	アフター0（1）	文庫版 特別編集	コミック文庫（青年）	11
VERSION_MIX	after-0	アフター0	岡崎二郎	17	7		9784091961822	アフター0（2）	文庫版 特別編集	コミック文庫（青年）	11
VERSION_MIX	after-0	アフター0	岡崎二郎	17	7		9784091961839	アフター0（3）	文庫版 特別編集	コミック文庫（青年）	11
VERSION_MIX	after-0	アフター0	岡崎二郎	17	7		9784091961846	アフター0（4）	文庫版 特別編集	コミック文庫（青年）	11
VERSION_MIX	after-0	アフター0	岡崎二郎	17	7		9784091961853	アフター0（5）	文庫版 特別編集	コミック文庫（青年）	11
VERSION_MIX	after-0	アフター0	岡崎二郎	17	7		9784091961860	アフター0（6）	文庫版 特別編集	コミック文庫（青年）	11
VERSION_MIX	after-0	アフター0	岡崎二郎	17	7		9784091961877	アフター0（7）	文庫版 特別編集	コミック文庫（青年）	11
REVIEW	akai-memai	赤い眩暈	石井隆	1	1		9784537031683	赤い眩暈	石井隆傑作集		11
RECOLLECT	akakke-no-itoko	赤ッ毛のいとこ	萩尾望都	1	1	残酷な神が支配する(27巻) / メッシュ(10巻)	9784091907196	赤ッ毛のいとこ	珠玉傑作集	小学館文庫	68
