slug	reason
1936-2021-furuya-mitsutoshi-memorial-selection	傑作選(再録)
21-seiki-no-tame-no-azuma-hideo	ベスト選集(再録)
anno-moyoko-taidanshuu-ronpaasu-room	対談集(非漫画)
aoike-yasuko-kareinaru-genga-no-sekai	原画集(画集)
black-jack-historical-color-pieces	カラー原画集(画集)
boku-to-kanojo-to-norimono-to	自選作品集+高精細原画(自選=drop pattern)
chocola-2008	イラスト集(画集)
comic-furusato	アンソロジー
der-mond	イラスト集(画集)
glass-no-chikyuu-o-sukue	文章エッセイ本(非漫画)
godzilla-manga-collection-1954-58	コミカライズ集成アンソロジー
hasegawa-machiko-omoide-kinenkan	エッセイ対談アルバム(関連書)
he-no-youna-jinsei	作品+証言の網羅ムック(関連書)
hinkon-ryokou-ki	文章紀行(非漫画疑い)
hino-matsuri-irasutoreeshonzu	イラスト集(画集)
hirokaneryuu-kouhansei-wa-jinsei-tanoshindamon-gachi	自己啓発本(非漫画疑い)
hitomi-gokuu-ron	評論(非漫画)
ikki-tousen-master-works	画集
imashiro-takashi-kessaku-tanpenshuu	傑作短編集(再録)
inosensu-mesozzu-oshii-mamoru-enshutsu-note	映画解説本(非漫画)
inosensu-sousaku-note	創作ノート(非漫画)
japanimeeshon-wa-naze-yabureru-ka	評論(非漫画)
kagi-no-kakaru-tengoku	イラスト集(画集)
kaizou-ningen	カラーイラスト集(画集)
katsura-zuroku-ekusutendiddo-vaajon	画集
kodaka-kazuma-illustrations	イラスト集(画集)
kon-s-tone	文章エッセイ本(非漫画)
kore-ga-boku-no-kaitou-de-aru	語り下ろし発言集(非漫画)
kotoba-no-anata-manga-no-watashi	トーク集(非漫画)
kuramochibon	トリビュートムック(関連書)
manben	自伝的画集
manga-no-anata-esuefu-no-watashi	対話集(非漫画)
manga-no-diienuee	記念ムック(関連書)
manga-no-kokoro	語り集(非漫画)
manga-no-kouzou	評論(非漫画)
monogatari-shoumetsu-ron	評論(非漫画)
nichigetsu-jutsu-tan	アンソロジー
oboegaki	習作ノート資料集
ochi-yoshihiko-aatowaakusu-daikaiten	画集
pixel-works	画集
reboot-2010	画集
reborn-colore	画集
reighborhood	イラストコラム集(画集)
saien	画集
sakisaka-io-irasutoreeshonzu	画集
second-treasure	画集
seinarunamakemononoboukensashieshuu	小説挿絵集(非漫画)
sekai-mangajuku	ワークショップ論(非漫画疑い)
sekirei-endearment	ビジュアルブック(画集)
shii-chan-no-tamatebako	傑作集(再録)
shimura-takako-irasuto-works	画集
shoujo-zasshiron	評論(非漫画)
subete-no-eiga-wa-anime-ni-naru	発言集(非漫画)
sugiyama-genshou-irasuto-sakuhinshuu	画集
system-to-gishiki	評論(非漫画)
terada-katsuya-koko-10-nen	図録(画集)
terada-katsuya-zenbu	アートワーク集(画集)
terada-katsuyashiki-gasorin-seikatsu	小説挿絵再構成(画集)
tezuka-osamu-bunkashou-sakka-ga-erabu-best-obu-tezukazu-waaku	傑作選(再録)
tezuka-osamu-no-doubutsu	テーマ別名作選(再録)
tezuka-osamu-no-mori	テーマ別名作選(再録)
tezuka-osamu-no-umi	テーマ別名作選(再録)
totoro-no-sumu-ie	画文集(非漫画)
touzai-youkai-zue	妖怪図絵(画集)
tsubaki-anna-factory	ポスター集(画集)
tsumugi-taku-pikuchaa-book	絵本(再構成)
vividgarden	画集
vividmemorial	画集
vividstyle	画集
wotaku-no-seishinshi	評論(非漫画)
yokoyama-mitsuteru-rea-collection	希少傑作集(再録)
yorimichi-drop	イラスト集(画集)
youkai-gadan	妖怪画集(図鑑)
