slug	title	現行	Gemini案	bad_tags	desc
01-2001	01	["drama"]	["sci-fi"]	[]	近未来を舞台にしたSF作品。全1巻。
0rii-uchikoshi-0-n	0リー打越くん!!	["school", "sports"]	["comedy", "gag"]	[]	麻雀を題材にしたギャグ漫画作品。
1-1-wa	1+1は?	["comedy", "romance"]	["drama", "slice-of-life"]	[]	さそうあきらによる短編集。日常の機微や人間模様を描いた作品群。
1-ga-moshi-sekai-ga-hitotsu-no-class-dattara	マンガもし世界が1つのクラスだったら	["comedy"]	["school"]	[]	世界各国の人口や経済状況をクラスの生徒に見立てて解説する学習漫画。
1-nen-366-nichi-no-himitsu	1年366日のひみつ	["essay", "school"]	[]	[]	366日の誕生日の由来や星座、花言葉などを紹介する学習漫画。
1-nichi-ikkai-ero-seikatsu	一日1回エロ生活!	["romance"]	["comedy", "ecchi", "romcom"]	[]	性的な衝動を抑えられない主人公が、ヒロインと協力して生活を送るコメディ作品。
1-oku-issenman-no-watashi	1億1千万のわたし	["comedy", "romance"]	["drama"]	[]	多重人格の主人公が織りなす人間模様を描いたヒューマンドラマ。
1-orange	1%ORANGE	["comedy", "romance"]	["school", "slice-of-life"]	[]	女子高生たちの日常や友情を描いた青春ストーリー。
1-suu-no-douka	1スウの銅貨	["drama", "historical"]	[]	[]	大陸書房から刊行された筒井百々子の単行本。
1-tasu-ichi-wa-0	1+1=0	["comedy", "drama"]	["romance", "school"]	[]	女子高生と教師の恋愛を描いた作品。
1-you1-time	小1タイム	["comedy"]	["essay", "slice-of-life"]	[]	小学1年生の娘との日常を描いた育児エッセイ漫画。
10-2000	10	["drama"]	["sci-fi"]	[]	近未来を舞台にしたSF作品。全1巻。
100-kai-omiai-shita-ota-joshi-no-shussanki	100回お見合いしたヲタ女子の出産記	["comedy"]	["essay", "slice-of-life"]	[]	100回のお見合いを経て結婚・出産した著者の実録エッセイ。
1000-no-kodou	1000の鼓動	["drama", "romance"]	["sports"]	[]	ボクシングを題材にしたスポーツ漫画。
100chou-no-otoko	100兆の男	["drama"]	["comedy", "gag"]	[]	100兆円の遺産を相続した男が巻き込まれる騒動を描くコメディ作品。
100mandoru-kid	100万ドルキッド	["drama", "sports"]	["mind-game", "mystery"]	[]	天才的な頭脳を持つ少年が、様々な難事件を解決していく推理漫画。
11-piki-no-neko-doronko	11ぴきのねこどろんこ	["comedy"]	[]	[]	馬場のぼるによる、ねこたちが泥遊びをする絵本作品。
110-yooji-kun-no-manga-bungaku-zenshuu-110sen	ショージ君の漫画文学全集110選	["comedy"]	["essay", "gag"]	[]	東海林さだおによる、漫画とエッセイを交えた文学作品の紹介・批評集。
12shoku-no-cocktail	12色のカクテル	["gourmet"]	["drama", "slice-of-life"]	[]	バーを舞台に、カクテルにまつわる人間模様を描いた短編集。
13dogs	13DOGs	["action", "drama", "mystery"]	["adventure", "fantasy"]	[]	13匹の犬と少年が織りなす、不思議な力を持つ犬たちとの冒険ファンタジー。
15-sai-purokanojo	15歳、プロ彼女	["drama", "romance"]	["comedy", "romcom"]	[]	15歳の少女がプロ彼女を目指す物語。
16-byoukan-no-misshitsu	16秒間の密室	["drama", "mystery"]	["horror", "suspense"]	[]	大橋薫によるホラー・サスペンス短編集。
1936-2021-furuya-mitsutoshi-memorial-selection	1936-2021古谷三敏メモリアルセレクション	["other"]	["comedy", "gag", "slice-of-life"]	[]	古谷三敏の代表作や名作を収録した追悼作品集。
198x-memories	198Xメモリーズ	["drama", "essay"]	["romance", "school", "slice-of-life"]	[]	80年代の地方都市を舞台に、少年たちの青春と淡い恋模様を描いたノスタルジックな作品。
1993-no-nippon-koufukuna-kekkon	1993年の日本幸福な結婚?	["drama", "historical"]	["essay"]	[]	当時の日本の結婚事情や社会状況をテーマにしたエッセイ漫画。
1999-nostradamus-jigoku-no-x-file	1999ノストラダムス地獄のX-file	["mystery", "supernatural"]	["sci-fi"]	[]	ノストラダムスの予言を題材にしたオカルト・解説漫画。
1999-seikimatsu-no-daikyoufu	1999世紀末の大恐怖!!	["mystery", "supernatural"]	["horror"]	[]	ノストラダムスの大予言を題材にしたオカルト・解説漫画。
1dk	1DK	["comedy", "romance"]	["romcom", "slice-of-life"]	[]	同棲生活を送る男女の日常を描いた作品。
2-2-game	2×2ゲーム	["comedy", "ecchi"]	["romcom", "school"]	[]	日本文芸社より刊行された、全1巻の漫画作品。
2-bunnoichi-engage	1/2エンゲージ	["romance"]	["romcom", "school"]	[]	女子高生と人気アイドルの同居生活を描いたラブコメディ。
2-densetsu-dai-2shou	天才伝説第2章	["action", "drama", "school"]	["sports"]	[]	ゴルフ漫画。天才ゴルファーの活躍を描く。
20-dai-no-kokoro-to-karada	20代の心とカラダ	["drama"]	["essay"]	[]	20代女性の健康や悩み、ライフスタイルをテーマにした実用・啓発漫画。
20-jisugi-no-houkokukai	20時過ぎの報告会	["drama"]	["comedy", "slice-of-life"]	[]	会社帰りのOLたちが居酒屋で仕事や日常の愚痴を語り合う、大人の日常系作品。
2003-nen-no-365-nichi	2003年の365日	["drama"]	["essay", "gag"]	[]	2003年の出来事を日めくり形式で描いた時事風刺漫画。
2012-nen-chikyuu-metsubou-no-kiki	2012年地球滅亡の危機!!	["essay", "supernatural"]	["sci-fi"]	[]	2012年人類滅亡説をテーマにした学習漫画。
2014-nama-dokusha-toukou-natsu-za-best	〔○生〕読者投稿夏ザ・ベスト2014	["essay"]	["4-koma", "comedy", "gag"]	[]	芳文社の漫画雑誌に掲載された読者投稿作品をまとめたアンソロジー。
21-g	21-G	["drama"]	["action", "sci-fi"]	[]	近未来を舞台にしたSFアクション作品。
21-seiki-no-tame-no-azuma-hideo	21世紀のための吾妻ひでお	["other"]	["gag", "sci-fi"]	[]	吾妻ひでおの短編作品集。初期から中期にかけての作品を収録。
23-no-sakana	23のさかな	["drama"]	["comedy", "gag", "slice-of-life"]	[]	森下裕美による初期の短編集。日常や人間模様を描いた作品を収録。
24000-no-hijitetsu	24000回の肘鉄	["comedy", "drama"]	["essay"]	[]	内田春菊による、自身の体験や日常を綴ったエッセイ漫画。
3-nen-a-gumi-obake-kyoushitsu	3年A組おばけ教室	["comedy", "horror"]	["fantasy", "school", "yokai"]	[]	おばけたちが通う学校を舞台にした水木しげるの児童向け漫画作品。
30-akuzuma-kana-30sai	極悪妻・花奈30歳	["ecchi"]	["drama", "suspense"]	[]	夫を支配し、周囲を翻弄する悪女・花奈の姿を描いたサスペンス・ドラマ作品。
30dai-wa-mada-kirei	30代はまだキレイ	["comedy"]	["essay", "slice-of-life"]	[]	30代の女性の日常や美容、恋愛などを描いたエッセイ漫画。
35sai-de-dokushin-de	35歳で独身で	["comedy", "drama", "slice-of-life"]	["4-koma", "essay", "gag"]	[]	35歳独身女性の日常や心情を綴ったエッセイ漫画。
365ho-no-ryuuta	365歩の竜太	["drama", "sports"]	["comedy", "school"]	[]	小学館の学年誌で連載された、少年竜太の成長を描く物語。
3ji-no-oyatsu	3時のおやつ	["comedy"]	["drama", "romance", "slice-of-life"]	[]	池谷理香子による短編集。表題作ほか、恋愛や日常を描いた短編を収録。
3saijikun	3歳児くん	["comedy"]	["gag", "slice-of-life"]	[]	3歳児の視点から日常を描いた、いがらしみきおによるシュールなギャグ漫画。
4-koma-manga-de-wakaru-kotowaza-150	4コマまんがでわかることわざ150	["comedy"]	["4-koma"]	[]	4コマ漫画を通して150のことわざの意味や使い方を解説する学習漫画。
4-n-megami-tensei-devil-children-koma-gyagu-battle	真・女神転生デビルチルドレン 4コマギャグバトル	["comedy"]	["4-koma", "gag"]	[]	ゲーム『デビルチルドレン』を題材にした4コマ漫画集。
4-sha-no-yokkakan	死者の4日間	["drama", "mystery"]	["action", "suspense"]	[]	望月三起也によるサスペンス・アクション作品。
40-dai-josei-mangaka-ga-houmon-kaigo-herupaa-ni-nattara	40代女性マンガ家が訪問介護ヘルパーになったら	["drama"]	["essay", "slice-of-life"]	[]	40代で漫画家が訪問介護ヘルパーとして働いた実体験を描いたエッセイ漫画。
40-sai-kara-rajikon-dekiru-kana-type-s	40歳からラジコンできるかな?TYPE-S	["comedy"]	["essay"]	[]	40歳からラジコンを趣味として始める様子を描いたエッセイ漫画。
40-sai-kara-rajikon-dekirukana	40歳からラジコンできるかな?	["comedy"]	["essay", "slice-of-life"]	[]	40歳からラジコンを始めた著者の体験を描くエッセイ漫画。
40-sai-ni-naru-nodaga-konomama-shiseikatsu-kiriuri-manga-o-kaite-ite-ii-noka	40歳になるのだがこのまま私性活切り売りマンガを描いていていいのか。	["comedy"]	["essay", "gag"]	[]	40歳を迎えた女性漫画家が自身の私生活や仕事の現状を綴るエッセイ漫画。
4koma-4-tama-nikki	4コマ漫玉日記	["comedy", "slice-of-life"]	["4-koma", "essay", "gag"]	[]	桜玉吉による、自身の日常やゲーム体験を描いたエッセイ漫画。
4ldk-company	4LDKカンパニー	["romance"]	["romcom", "slice-of-life"]	[]	同居生活をテーマにした荻丸雅子の少女漫画作品。
4p-no-jijou	4Pの事情	["comedy"]	["drama", "romance"]	[]	男女の恋愛模様を描いた短編集。
4tsu-no-hanzai	四つの犯罪 七つの墓場	["drama"]	["mystery", "suspense"]	[]	つげ義春の初期貸本漫画作品を収録した短編集。
5-ma-kousaku-hoka-5dai-animeka-sakuhin-kyouen	島耕作他5大アニメ化作品共演	["drama"]	["comedy", "gag"]	[]	講談社の漫画家たちが島耕作ら人気キャラを描いたコラボ短編集。
5-ma-kousaku-hoka-5dai-animeka-sakuhin-toujou	島耕作他5大アニメ化作品登場	["drama"]	["comedy", "gag"]	[]	講談社の漫画家による、島耕作を題材としたアンソロジー作品。
5-nenme-no-u-turn	5年めのUターン	["romance"]	["drama", "slice-of-life"]	[]	地方へUターンした主人公の生活を描くドラマ作品。
5-okunengo-ni-igai-na-ketsumatsu	5億年後に意外な結末	["comedy"]	["fantasy", "mystery", "sci-fi"]	[]	usiのイラストとショートショートを組み合わせた短編集。
50-dai-kara-no-tairyoku-kakumei	50代からの体力革命	["essay"]	[]	[]	50代からの健康維持や体力向上を目的とした実用書。
5ji-kara-0ji-made	5時から0時まで	["drama"]	["romcom", "slice-of-life"]	[]	望月あきらによる、OLの日常や恋愛模様を描いた作品。
5tsu-no-akogare-oshigoto-story	5つのあこがれお仕事ストーリー	["drama"]	["romance", "school", "slice-of-life"]	[]	少女漫画家5名による、憧れの職業をテーマにした読み切り短編集。
67-sai-no-shinjin	67歳の新人	["comedy"]	["essay", "slice-of-life"]	[]	67歳で漫画家デビューした著者の日常と創作活動を描くエッセイ漫画。
7-rayukihime-to-7nin-no-kodomo	白雪姫と7人のコドモ	["drama", "fantasy"]	["comedy", "slice-of-life"]	[]	7人の子供を育てることになった主人公の奮闘を描くホームコメディ。
777	777	["drama", "romance"]	["fantasy", "school"]	[]	女子高生が不思議な力を持つコインを拾う物語。
8-miri-no-akuma-vs-tokumeihan	8ミリの悪魔vs特命班	["action"]	["horror", "supernatural"]	[]	8ミリフィルムに映る怪異と特命班の戦いを描くホラー作品。
9-de-ware	9で割れ!!	["drama", "historical"]	["adventure"]	[]	釣りや自然を題材とした矢口高雄による漫画作品。
a-boy	A・Boy	["romance"]	["drama"]	[]	遊園地を舞台に、アトラクションの整備士である主人公の活躍を描く物語。
a-c-d-c-2	A.C.D.C.2	["action", "sci-fi"]	["fantasy", "school"]	[]	秋田書店の月刊プリンセスで連載された、学園を舞台にしたファンタジー作品。
a-homance	ア・ホーマンス	["drama"]	["action", "mystery", "supernatural"]	[]	記憶を失った男が、超能力を駆使して事件を解決していくハードボイルド作品。
a-or-abc	A or ABC	["drama", "romance"]	["bl"]	[]	ビブロスから刊行された、吹山りこによるボーイズラブ作品。
40-sai-ni-natta-koto-dashi	40歳になったことだし	["comedy"]	["essay", "slice-of-life"]	[]	40歳を迎えた著者の日常や心境の変化を描いたエッセイ漫画。
a-su	ア○ス	["drama"]	["comedy", "gag"]	[]	しりあがり寿による短編集。日常の歪みやシュールな世界観を描く。
aa-eikan-wa-kimi-niwa-kagayakanai	嗚呼!栄冠は君には輝かない	["comedy", "sports"]	["4-koma", "baseball", "gag"]	[]	いしいひさいちによる野球を題材とした4コマ漫画作品集。
aamin-no-burari-youkai-sanpo	アーミンのぶらり妖怪散歩	["comedy", "slice-of-life", "supernatural"]	["essay", "yokai"]	[]	柴田亜美が各地の妖怪ゆかりの地を巡るエッセイ漫画。
ab-furyaa	AB.フリャー	["drama"]	["comedy", "gag"]	[]	小学館の学年誌等で連載された、清水洋三によるギャグ漫画作品。
abc-arbacks	ABCアーバックス	["action"]	["baseball", "sports"]	[]	野球を題材にしたスポーツ漫画。
abekubo-kyouju-no-rifujin-na-kougi	安倍窪教授の理不尽な講義	["horror", "mystery"]	["comedy", "gag"]	[]	大学教授を主人公とした、理不尽な状況や不条理を描いた短編集。
abmotion	ABmotion	["drama", "sports"]	["action", "school", "sci-fi"]	[]	学園を舞台にした、超能力やSF要素を含むアクション漫画。
