slug	title	vol	ghost_date	vol1_date
0-shinohara-1977	0課の女	2	1977-09-25	2017-04
0-shinohara-1977	0課の女	3	1977-12-25	2017-04
0-shinohara-1977	0課の女	4	1978-05-20	2017-04
0-shinohara-1977	0課の女	5	1978-05-25	2017-04
0-shinohara-1977	0課の女	6	1978-03-25	2017-04
0	0戦はやと	2	1968-05-28	2005-06-04
0	0戦はやと	4	1968-10-01	2005-06-04
0	0戦はやと	5	1965-01-01	2005-06-04
1-2-3-to-4-5-roku	1・2・3と4・5・ロク	3	1977-03	1981-06-20
1-2-no-ahho	1・2のアッホ!!	7	1978-03	1986-03
1-2-no-ahho	1・2のアッホ!!	8	1978-06-30	1986-03
1-2-no-ahho	1・2のアッホ!!	9	1978-09-30	1986-03
1-2-no-ahho	1・2のアッホ!!	10	1978-11	1986-03
10-2000	10	2	1994-03	2000-04
10-2016	10	2	1994-03	2016-05
1000-nen-joou	1000年女王	4	1982-11	1991-07-10
1000-nen-joou	1000年女王	5	1983-08	1991-07-10
13gou-hasshinseyo	13号発進せよ	2	1963	2006-03-03
24-no-hitomi-1994	二十四の瞳	2	1981-01	1994-12
7-nwairudo7	新ワイルド7	13	1990-10-01	2005-03
7-nwairudo7	新ワイルド7	14	1991-02-20	2005-03
99-suikan-super-99	潜水艦スーパー99	2	1977-11	1997-08-05
aahananoouendan	嗚呼!!花の応援団	13	1979-01-08	1989-10
aahananoouendan	嗚呼!!花の応援団	14	1979-04-15	1989-10
aahananoouendan	嗚呼!!花の応援団	15	1979-07-01	1989-10
abare-tendou	あばれ天童	7	1976-01	1986-09-06
ace-o-nerae	エースをねらえ!	11	1979-01	1989-07
ace-o-nerae	エースをねらえ!	12	1979-02	1989-07
ace-o-nerae	エースをねらえ!	13	1980-01	1989-07
ace-o-nerae	エースをねらえ!	14	1980-02	1989-07
ace-o-nerae	エースをねらえ!	15	1980-03	1989-07
ace-o-nerae	エースをねらえ!	16	1980-04	1989-07
ace-o-nerae	エースをねらえ!	17	1980-05-30	1989-07
ace-o-nerae	エースをねらえ!	18	1980-06-30	1989-07
ace-o-nerae	エースをねらえ!	15	1981-07-25	1989-07
ace-o-nerae	エースをねらえ!	16	1981-07-25	1989-07
ace-o-nerae	エースをねらえ!	17	1981-08-25	1989-07
ace-o-nerae	エースをねらえ!	18	1981-08-25	1989-07
ai-no-aranjuez	愛のアランフェス	6	1980-10	1989-09
ai-no-aranjuez	愛のアランフェス	7	1980-11-30	1989-09
ai-to-makoto	愛と誠	11	1975-07-25	1986-02-06
ai-to-makoto	愛と誠	12	1975-10-05	1986-02-06
ai-to-makoto	愛と誠	13	1975-12-10	1986-02-06
ai-to-makoto	愛と誠	14	1976-04-20	1986-02-06
ai-to-makoto	愛と誠	15	1976-07	1986-02-06
ai-to-makoto	愛と誠	16	1976-09-15	1986-02-06
ai-to-makoto	愛と誠	11	1978-04	1986-02-06
ai-to-makoto	愛と誠	12	1978-04	1986-02-06
ai-to-makoto	愛と誠	13	1978-05	1986-02-06
ai-to-makoto	愛と誠	14	1978-05	1986-02-06
ai-to-makoto	愛と誠	15	1978-06	1986-02-06
ai-to-makoto	愛と誠	16	1978-06	1986-02-06
akadou-suzunosuke	赤胴鈴之助	14	1957-12	1991-07
akadou-suzunosuke	赤胴鈴之助	15	1958-01	1991-07
akadou-suzunosuke	赤胴鈴之助	17	1958-09	1991-07
akadou-suzunosuke	赤胴鈴之助	19	1959-02	1991-07
akai-fuushiya	赤い風車	2	1968-09-30	2006-09-02
akai-ito-no-densetsu	赤い糸の伝説	2	1975-09-10	1986-10
akatsuki-sentoutai	あかつき戦闘隊	2	1969-08-10	2005-03-05
akuma-ha-nemura-nai	悪魔は眠らない	2	1982-03-30	1991-07-10
akuma-ha-nemura-nai	悪魔は眠らない	3	1982-04	1991-07-10
akuma-no-youna-aitsu	悪魔のようなあいつ	2	1975-09-25	2004-11
angel-no-oka	エンゼルの丘	3	1961-09	1978-03-15
angel-no-oka	エンゼルの丘	4	1963-04-10	1978-03-15
anta-ga-waruitsu	あんたが悪いっ	2	1983-11-18	2002-12
anta-ga-waruitsu	あんたが悪いっ	3	1984-10-19	2002-12
aoi-hanabira	青い花びら	2	1981-03-25	2007-03-20
aoi-sora-o-shiroi-kumo-ga-kaketetta	青い空を、白い雲がかけてった	2	1979-05-25	2004-07-07
aoi-sora-o-shiroi-kumo-ga-kaketetta	青い空を、白い雲がかけてった	3	1981-02-15	2004-07-07
arashino-champion	嵐のチャンピオン	2	2002-06-15	2007-02-02
ariesu-no-otometachi	アリエスの乙女たち	7	1975-04-10	1983-09
arion	アリオン	2	1981-06-05	1986-01-01
arion	アリオン	3	1982-06-05	1986-01-01
arion	アリオン	4	1983-07-10	1986-01-01
arion	アリオン	5	1985-01-10	1986-01-01
asahi-no-koibito	朝日の恋人	2	1971-12	2006-07
asahi-no-koibito	朝日の恋人	4	1973-03	2006-07
asatarou-den	朝太郎伝	8	1979-10-15	1987-10
asatarou-den	朝太郎伝	9	1979-12	1987-10
asatarou-den	朝太郎伝	10	1980-04	1987-10
asatarou-den	朝太郎伝	11	1980-07-15	1987-10
